The Streak	Ray Stevens
Band On The Run	Paul McCartney And Wings
Dancing Machine	Jackson 5
You Make Me Feel Brand New	The Stylistics
The Entertainer	Marvin Hamlisch/"The Sting"
Midnight At The Oasis	Maria Muldaur
Sundown	Gordon Lightfoot
Help Me	Joni Mitchell
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
Oh Very Young	Cat Stevens
For The Love Of Money	The O'Jays
My Girl Bill	Jim Stafford
The Loco-Motion	Grand Funk
The Show Must Go On	Three Dog Night
Be Thankful For What You Got	William DeVaughn
Don't You Worry 'Bout A Thing	Stevie Wonder
I Won't Last A Day Without You	Carpenters
(i've Been) Searchin' So Long	Chicago
I'm In Love	Aretha Franklin
If You Love Me (let Me Know)	Olivia Newton-John
Bennie And The Jets	Elton John
Hollywood Swinging	Kool & The Gang
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
Just Don't Want To Be Lonely	The Main Ingredient
Tubular Bells	Mike Oldfield
You Won't See Me	Anne Murray
Haven't Got Time For The Pain	Carly Simon
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Come And Get Your Love	Redbone
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
One Hell Of A Woman	Mac Davis
Son Of Sagittarius	Eddie Kendricks
Mighty Mighty	Earth, Wind & Fire
Hooked On A Feeling	Blue Swede
The Payback - Part I	James Brown
Another Park, Another Sunday	The Doobie Brothers
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Oh My My	Ringo Starr
Daybreak	Nilsson
On And On	Gladys Knight And The Pips
No Charge	Melba Montgomery
I'm Coming Home	The Spinners
The Air That I Breathe	The Hollies
Rock Around The Clock	Bill Haley And His Comets
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Star Baby	The Guess Who
I Don't See Me In Your Eyes Anymore	Charlie Rich
Let's Get Married	Al Green
Sideshow	Blue Magic
Let It Ride	Bachman-Turner Overdrive
One Chain Don't Make No Prison	Four Tops
Already Gone	Eagles
Can You Handle It?	Graham Central Station
Keep On Singing	Helen Reddy
Rikki Don't Lose That Number	Steely Dan
I'll Have To Say I Love You In A Song	Jim Croce
The Same Love That Made Me Laugh	Bill Withers
Wildflower	The New Birth
Train Of Thought	Cher
La Grange	ZZ Top
(I'm A) YoYo Man	Rick Cunha
Living In The U.s.a.	The Steve Miller Band
Help Yourself	The Undisputed Truth
Chameleon	Herbie Hancock
Rock And Roll Heaven	The Righteous Brothers
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
This Heart	Gene Redding
Rhapsody In White	Love Unlimited Orchestra
Sleepin'	Diana Ross
Rock The Boat	The Hues Corporation
Time Will Tell	Tower Of Power
Radar Love	Golden Earring
Takin' Care Of Business	Bachman-Turner Overdrive
Seasons In The Sun	Terry Jacks
Waterloo	ABBA
The Lone Ranger	Oscar Brown Jr.
I'm The Leader Of The Gang	Brownsville Station
King Of Nothing	Seals & Crofts
Come Monday	Jimmy Buffett
Keep On Smilin'	Wet Willie
I Hate Hate	Razzy
When The Morning Comes	Hoyt Axton
Wonderful	Isaac Hayes
Rebel Rebel	David Bowie
Teen Angel	Wednesday
Annie's Song	John Denver
Scratch	The Crusaders
Daybreaker	Electric Light Orchestra
Lamplight	David Essex
Too Late	Tavares
Kissin' Time	KISS
Rock Your Baby	George McCrae
Dancin' (On A Saturday Night)	Flash Cadillac And The Continental Kids
Fox Hunt	Herb Alpert & The Tijuana Brass
(everybody Wanna Get Rich) Rite Away	Dr. John
It's Her Turn To Live	Smokey Robinson
Please Come To Boston	Dave Loggins
Georgia Porcupine	George Fischoff
Love That Really Counts	Natural Four
