Heartbreaker	Mariah Carey Featuring Jay-Z
Smooth	Santana Featuring Rob Thomas
Unpretty	TLC
Mambo No. 5 (A Little Bit Of...)	Lou Bega
She's All I Ever Had	Ricky Martin
Genie In A Bottle	Christina Aguilera
Someday	Sugar Ray
I Need To Know	Marc Anthony
My Love Is Your Love	Whitney Houston
Scar Tissue	Red Hot Chili Peppers
Bailamos	Enrique Iglesias
All Star	Smash Mouth
We Can't Be Friends	Deborah Cox With R.L.
Where My Girls At?	702
I Do (Cherish You)	98 Degrees
Black Balloon	Goo Goo Dolls
If I Could Turn Back The Hands Of Time	R. Kelly
Steal My Sunshine	Len
Summer Girls	LFO
She's So High	Tal Bachman
I Want It That Way	Backstreet Boys
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Lost In You	Garth Brooks as Chris Gaines
Back At One	Brian McKnight
Spend My Life With You	Eric Benet Featuring Tamia
So Anxious	Ginuwine
Bills, Bills, Bills	Destiny's Child
Something Like That	Tim McGraw
(You Drive Me) Crazy	Britney Spears
I Want It All	Warren G Featuring Mack 10
Vivrant Thing	Q-Tip
If You Had My Love	Jennifer Lopez
Out Of My Head	Fastball
Larger Than Life	Backstreet Boys
I Love You	Martina McBride
Never Gonna Let You Go	Faith Evans
Get Gone	Ideal
There She Goes	Sixpence None The Richer
Ready To Run	Dixie Chicks
Man! I Feel Like A Woman!	Shania Twain
Music Of My Heart	'N Sync & Gloria Estefan
Last Kiss	Pearl Jam
Amazed	Lonestar
Gotta Man	Eve
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Bug A Boo	Destiny's Child
Tell Me It's Real	K-Ci & JoJo
U Know What's Up	Donell Jones
Little Man	Alan Jackson
You Had Me From Hello	Kenny Chesney
Angels Would Fall	Melissa Etheridge
What Ya Want	EVE & Nokio
Lesson In Leavin'	Jo Dee Messina
What Do You Say To That	George Strait
Girls' Best Friend	JAY-Z
Better Days (And The Bottom Drops Out)	Citizen King
Jigga My N****	JAY-Z
I'm Already Taken	Steve Wariner
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
What's My Age Again?	Blink-182
Higher	Creed
American Woman	Lenny Kravitz
Satisfy You	Puff Daddy Featuring R. Kelly
It's All About You (Not About Me)	Tracie Spencer
Candy	Mandy Moore
Lonely And Gone	Montgomery Gentry
I'll Still Love You More	Trisha Yearwood
I Could Not Ask For More	Edwin McCain
All That I Can Say	Mary J. Blige
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
She's In Love	Mark Wills
You'll Be In My Heart	Phil Collins
Meeting In My Bedroom	Silk
Home To You	John Michael Montgomery
The Secret Of Life	Faith Hill
Meet Virginia	Train
I'll Go Crazy	Andy Griggs
Jamboree	Naughty By Nature Featuring Zhane
Beauty	Dru Hill
The Chemicals Between Us	Bush
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
(Now You See Me) Now You Don't	Lee Ann Womack
Happily Ever After	Case
Stay The Night	IMx
15 Minutes	Marc Nelson
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
All Things Considered	Yankee Grey
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Lightning Does The Work	Chad Brock
Smile	Vitamin C Featuring Lady Saw
I'll Be Your Everything	Youngstown
Beautiful Stranger	Madonna
Everyone Falls In Love	Tanto Metro & Devonte
Everything Is Everything	Lauryn Hill
Nookie	Limp Bizkit
Sexual (Li Da Di)	Amber
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
I Love You Came Too Late	Joey McIntyre
Sunshine	Coko
You've Got A Way	Shania Twain
