Closer	The Chainsmokers Featuring Halsey
Heathens	twenty one pilots
Cold Water	Major Lazer Featuring Justin Bieber & MO
Cheap Thrills	Sia Featuring Sean Paul
Don't Let Me Down	The Chainsmokers Featuring Daya
Ride	twenty one pilots
This Is What You Came For	Calvin Harris Featuring Rihanna
Send My Love (To Your New Lover)	Adele
Needed Me	Rihanna
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
One Dance	Drake Featuring WizKid & Kyla
Let Me Love You	DJ Snake Featuring Justin Bieber
Treat You Better	Shawn Mendes
Broccoli	D.R.A.M. Featuring Lil Yachty
Into You	Ariana Grande
Can't Stop The Feeling!	Justin Timberlake
Too Good	Drake Featuring Rihanna
Side To Side	Ariana Grande Featuring Nicki Minaj
Luv	Tory Lanez
Gold	Kiiara
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
I Hate U I Love U	gnash Featuring Olivia O'Brien
For Free	DJ Khaled Featuring Drake
Panda	Desiigner
Never Be Like You	Flume Featuring Kai
Hymn For The Weekend	Coldplay
Controlla	Drake
Sit Still, Look Pretty	Daya
Unsteady	X Ambassadors
This Girl	Kungs vs Cookin' On 3 Burners
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Just Like Fire	P!nk
Make Me...	Britney Spears Featuring G-Eazy
Tiimmy Turner	Desiigner
Peter Pan	Kelsea Ballerini
No Limit	Usher Featuring Young Thug
Stressed Out	twenty one pilots
Work	Rihanna Featuring Drake
Starving	Hailee Steinfeld & Grey Featuring Zedd
H.O.L.Y.	Florida Georgia Line
I Took A Pill In Ibiza	Mike Posner
Mama Said	Lukas Graham
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
Low Life	Future Featuring The Weeknd
7 Years	Lukas Graham
Different For Girls	Dierks Bentley Featuring Elle King
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Me Too	Meghan Trainor
Setting The World On Fire	Kenny Chesney Featuring P!nk
Don't Mind	Kent Jones
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
The Greatest	Sia Featuring Kendrick Lamar
Make You Miss Me	Sam Hunt
Vice	Miranda Lambert
I Got The Keys	DJ Khaled Featuring Jay Z & Future
In The Name Of Love	Martin Garrix & Bebe Rexha
Money Longer	Lil Uzi Vert
You & Me	Marc E. Bassy Featuring G-Eazy
Father Stretch My Hands Pt. 1	Kanye West
May We All	Florida Georgia Line Featuring Tim McGraw
THat Part	ScHoolboy Q Featuring Kanye West
Rise	Katy Perry
Gangsta	Kehlani
American Country Love Song	Jake Owen
Sorry	Beyonce
Wat U Mean (Aye, Aye, Aye)	Dae Dae
It Don't Hurt Like It Used To	Billy Currington
Middle Of A Memory	Cole Swindell
Hold Up	Beyonce
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
She's Got A Way With Words	Blake Shelton
Purple Lamborghini	Skrillex & Rick Ross
My PYT	Wale
Rock On	Tucker Beathard
From The Ground Up	Dan + Shay
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Childs Play	Drake
With You Tonight / Hasta El Amanecer	Nicky Jam
Scars To Your Beautiful	Alessia Cara
I Met A Girl	William Michael Morgan
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
OOOUUU	Young M.A
Come And See Me	PARTYNEXTDOOR Featuring Drake
1 Night	Lil Yachty
No Shopping	French Montana Featuring Drake
You Look Like I Need A Drink	Justin Moore
You Don't Own Me	Grace Featuring G-Eazy
Move	Luke Bryan
Kill Em With Kindness	Selena Gomez
Grass Ain't Greener	Chris Brown
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Goosebumps	Travis Scott
I Know Somebody	LOCASH
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
You Was Right	Lil Uzi Vert
Caroline	Amine
Sex With Me	Rihanna
Fade	Kanye West
Lockjaw	French Montana Featuring Kodak Black
Famous	Kanye West
