Magic	Olivia Newton-John
Sailing	Christopher Cross
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Emotional Rescue	The Rolling Stones
Upside Down	Diana Ross
It's Still Rock And Roll To Me	Billy Joel
Shining Star	The Manhattans
Little Jeannie	Elton John
Let My Love Open The Door	Pete Townshend
More Love	Kim Carnes
Cupid/I've Loved You For A Long Time	The Spinners
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Fame	Irene Cara
Misunderstanding	Genesis
Give Me The Night	George Benson
Take A Little Rhythm	Ali Thomson
Into The Night	Benny Mardones
Empire Strikes Back (Medley)	Meco
JoJo	Boz Scaggs
Why Not Me	Fred Knoblock
All Out Of Love	Air Supply
Stand By Me	Mickey Gilley
Old-Fashion Love	Commodores
Boulevard	Jackson Browne
Make A Little Magic	The Dirt Band
You're The Only Woman (You & I)	Ambrosia
Drivin' My Life Away	Eddie Rabbitt
Lookin' For Love	Johnny Lee
Late In The Evening	Paul Simon
Tulsa Time/Cocaine	Eric Clapton And His Band
Tired Of Toein' The Line	Rocky Burnette
Hot Rod Hearts	Robbie Dupree
One In A Million You	Larry Graham
All Over The World	Electric Light Orchestra
Someone That I Used To Love	Natalie Cole
In America	The Charlie Daniels Band
You'll Accomp'ny Me	Bob Seger
Love The World Away	Kenny Rogers
Don't Ask Me Why	Billy Joel
One Fine Day	Carole King
I Can't Let Go	Linda Ronstadt
The Rose	Bette Midler
Steal Away	Robbie Dupree
I'm Alright	Kenny Loggins
Hey There Lonely Girl	Robert John
Gimme Some Lovin'	Blues Brothers
Jesse	Carly Simon
How Does It Feel To Be Back	Daryl Hall John Oates
You're Supposed To Keep Your Love For Me	Jermaine Jackson
Under The Gun	Poco
You Better Run	Pat Benatar
He's So Shy	The Pointer Sisters
Free Me	Roger Daltrey
The Royal Mile (Sweet Darlin')	Gerry Rafferty
No Night So Long	Dionne Warwick
All Night Long	Joe Walsh
Let Me Love You Tonight	Pure Prairie League
I'm Alive	Electric Light Orchestra
First Time Love	Livingston Taylor
First...Be A Woman	Lenore O'malley
Don't Misunderstand Me	Rossington Collins Band
Honey, Honey	David Hudson
Xanadu	Olivia Newton-John And The Electric Light Orchestra
Fool For Your Loving	Whitesnake
(Call Me) When The Spirit Moves You	Touch
Rock It	Lipps, Inc.
Another One Bites The Dust	Queen
Darlin'	Yipes!!
How Do I Survive	Amy Holland
Let's Get Serious	Jermaine Jackson
Never Knew Love Like This Before	Stephanie Mills
Half Moon Silver	Hotel
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?	Elton John
Play The Game	Queen
Love That Got Away	Firefall
Red Light	Linda Clifford
Whatever You Decide	Randy VanWarmer
Funkytown	Lipps, Inc.
Years From Now	Dr. Hook
Over You	Roxy Music
Shiver And Shake	The Silencers
Late At Night	England Dan Seals
Let Me Be Your Angel	Stacy Lattisaw
The Legend Of Wooley Swamp	The Charlie Daniels Band
I Hear You Now	Jon & Vangelis
True Love Ways	Mickey Gilley
Treasure	The Brothers Johnson
Who'll Be The Fool Tonight	Larsen-Feiten Band
Out Here On My Own	Irene Cara
Games Without Frontiers	Peter Gabriel
Shandi	KISS
Against The Wind	Bob Seger
Walks Like A Lady	Journey
That Lovin' You Feelin' Again	Roy Orbison & Emmylou Harris
Wango Tango	Ted Nugent
My Mistake	The Kingbees
Beyond	Herb Alpert
One More Time For Love	Billy Preston & Syreeta
Everything Is Alright	Spider
Stranger In My Home Town	Foghat
