Lady	Kenny Rogers
Woman In Love	Barbra Streisand
The Wanderer	Donna Summer
Another One Bites The Dust	Queen
I'm Coming Out	Diana Ross
More Than I Can Say	Leo Sayer
Master Blaster (Jammin')	Stevie Wonder
(Just Like) Starting Over	John Lennon
Love On The Rocks	Neil Diamond
Dreaming	Cliff Richard
Hungry Heart	Bruce Springsteen
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Hit Me With Your Best Shot	Pat Benatar
Whip It	Devo
Never Be The Same	Christopher Cross
Guilty	Barbra Streisand & Barry Gibb
He's So Shy	The Pointer Sisters
Never Knew Love Like This Before	Stephanie Mills
Every Woman In The World	Air Supply
Without Your Love	Roger Daltrey
Let Me Be Your Angel	Stacy Lattisaw
Lovely One	The Jacksons
Everybody's Got To Learn Sometime	The Korgis
De Do Do Do, De Da Da Da	The Police
Deep Inside My Heart	Randy Meisner
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
It's My Turn	Diana Ross
Upside Down	Diana Ross
Sequel	Harry Chapin
This Time	John Cougar
I Believe In You	Don Williams
Celebration	Kool & The Gang
Tell It Like It Is	Heart
On The Road Again	Willie Nelson
Suddenly	Olivia Newton-John & Cliff Richard
Turning Japanese	The Vapors
Passion	Rod Stewart
The Tide Is High	Blondie
Girls Can Get It	Dr. Hook
One-Trick Pony	Paul Simon
Out Here On My Own	Irene Cara
One Step Closer	The Doobie Brothers
You Shook Me All Night Long	AC/DC
I'm Happy That Love Has Found You	Jimmy Hall
Dreamer	Supertramp
If You Should Sail	Nielsen/Pearson
I Made It Through The Rain	Barry Manilow
She's So Cold	The Rolling Stones
Together	Tierra
Switchin' To Glide/This Beat Goes On	The Kings
Texas In My Rear View Mirror	Mac Davis
Time Is Time	Andy Gibb
I Love A Rainy Night	Eddie Rabbitt
Stop This Game	Cheap Trick
Could I Be Dreaming	The Pointer Sisters
The Horizontal Bop	Bob Seger
Real Love	The Doobie Brothers
Turn And Walk Away	The Babys
Jesse	Carly Simon
Help Me!	Marcy Levy & Robin Gibb
Look What You've Done To Me	Boz Scaggs
All Out Of Love	Air Supply
That Girl Could Sing	Jackson Browne
Gotta Have More Love	Climax Blues Band
Hey Nineteen	Steely Dan
I'm Alright	Kenny Loggins
Sometimes A Fantasy	Billy Joel
You	Earth, Wind & Fire
Shine On	L.T.D.
Morning Man	Rupert Holmes
The Winner Takes It All	ABBA
He Can't Love You	Michael Stanley Band
9 To 5	Dolly Parton
Teacher Teacher	Rockpile
My Mother's Eyes	Bette Midler
Need Your Loving Tonight	Queen
Killin' Time	Fred Knoblock & Susan Anton
Easy Love	Dionne Warwick
Real People/Chip Off The Old Block	Chic
I Need Your Lovin'	Teena Marie
Cold Love	Donna Summer
Trickle Trickle	The Manhattan Transfer
Smoky Mountain Rain	Ronnie Milsap
Could I Have This Dance	Anne Murray
Love T.K.O.	Teddy Pendergrass
Drivin' My Life Away	Eddie Rabbitt
Miss Sun	Boz Scaggs
Keep On Loving You	REO Speedwagon
Rough Boys	Pete Townshend
Brite Eyes	Robbin Thompson Band
Don't Say No	Billy Burnette
Remote Control	The Reddings
Hold On	Kansas
Xanadu	Olivia Newton-John And The Electric Light Orchestra
Give Me The Night	George Benson
Blues Power	Eric Clapton And His Band
Lookin' For Love	Johnny Lee
Gypsy Spirit	Pendulum
I Could Be Good For You	707
Fame	Irene Cara
