Honey	Bobby Goldsboro
Cry Like A Baby	The Box Tops
Young Girl	The Union Gap Featuring Gary Puckett
Lady Madonna	The Beatles
Tighten Up	Archie Bell & The Drells
I Got The Feelin'	James Brown And The Famous Flames
Cowboys To Girls	The Intruders
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
A Beautiful Morning	The Rascals
The Unicorn	The Irish Rovers
If You Can Want	Smokey Robinson & The Miracles
Dance To The Music	Sly & The Family Stone
Take Time To Know Her	Percy Sledge
Summertime Blues	Blue Cheer
The Ballad Of Bonnie And Clyde	Georgie Fame
Ain't No Way	Aretha Franklin
Love Is All Around	The Troggs
Sweet Inspiration	The Sweet Inspirations
(Sittin' On) The Dock Of The Bay	Otis Redding
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
Do You Know The Way To San José	Dionne Warwick
(Sweet Sweet Baby) Since You've Been Gone	Aretha Franklin
Funky Street	Arthur Conley
Playboy	Gene And Debbe
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
La - La - Means I Love You	The Delfonics
Delilah	Tom Jones
Forever Came Today	Diana Ross & The Supremes
Mighty Quinn (Quinn The Eskimo)	Manfred Mann
Soul Serenade	Willie Mitchell
U.S. Male	Elvis Presley With The Jordanaires
Mrs. Robinson	Simon & Garfunkel
Take Good Care Of My Baby	Bobby Vinton
Mony Mony	Tommy James And The Shondells
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Scarborough Fair (/Canticle)	Simon & Garfunkel
Ame Caline (Soul Coaxing)	Raymond Lefevre and His Orchestra
Cab Driver	The Mills Brothers
The Unknown Soldier	The Doors
Call Me Lightning	The Who
She's Lookin' Good	Wilson Pickett
The Son Of Hickory Holler's Tramp	O.C. Smith
Jennifer Eccles	The Hollies
I Will Always Think About You	The New Colony Six
Valleri	The Monkees
Like To Get To Know You	Spanky And Our Gang
The Happy Song (Dum-Dum)	Otis Redding
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
My Girl/Hey Girl	Bobby Vee
Look To Your Soul	Johnny Rivers
Loving You Has Made Me Bananas	Guy Marks
Jennifer Juniper	Donovan
Goodbye Baby (I Don't Want To See You Cry)	Tommy Boyce & Bobby Hart
Paying The Cost To Be The Boss	B.B. King
Foggy Mountain Breakdown	Flatt & Scruggs
Security	Etta James
Jumbo	Bee Gees
The Impossible Dream	The Hesitations
We're Rolling On (Part I)	The Impressions
You've Still Got A Place In My Heart	Dean Martin
I Wanna Live	Glen Campbell
Wear It On Our Face	The Dells
Master Jack	Four Jacks And A Jill
Sherry Don't Go	The Lettermen
I Can't Believe I'm Losing You	Frank Sinatra
Friends	The Beach Boys
Me, The Peaceful Heart	Lulu
Cinderella Rockefella	Esther & Abi Ofarim
If I Were A Carpenter	Four Tops
Funky Walk Part I (East)	Dyke And The Blazers
Impossible Mission (Mission Impossible)	Soul Survivors
L. David Sloane	Michele Lee
Baby Make Your Own Sweet Music	Jay And The Techniques
I Got A Sure Thing	Ollie & The Nightingales
Unwind	Ray Stevens
If You Don't Want My Love	Robert John
I'm Sorry	The Delfonics
I Promise To Wait My Love	Martha Reeves & The Vandellas
Goin' Away	The Fireballs
Anything	Eric Burdon & The Animals
Cabaret	Herb Alpert & The Tijuana Brass
(You Keep Me) Hangin' On	Joe Simon
May I Take A Giant Step (Into Your Heart)	1910 Fruitgum Co.
Gentle On My Mind	Patti Page
I Love You	People
Chain Gang	Jackie Wilson & Count Basie
I Could Never Love Another (After Loving You)	The Temptations
Yummy Yummy Yummy	Ohio Express
A Tribute To A King	William Bell
Soul Train	Classics IV
Never Give You Up	Jerry Butler
I Have A Dream	Rev. Martin Luther King, Jr.
He Don't Really Love You	The Delfonics
I Can Remember	James & Bobby Purify
I Wish I Knew (How It Would Feel To Be Free)	Solomon Burke
Lili Marlene	Al Martino
Angel Of The Morning	Merrilee Rush & The Turnabouts
Greasy Heart	Jefferson Airplane
Here's To You	Hamilton Camp
How'd We Ever Get This Way	Andy Kim
