Smooth	Santana Featuring Rob Thomas
Back At One	Brian McKnight
I Wanna Love You Forever	Jessica Simpson
I Knew I Loved You	Savage Garden
My Love Is Your Love	Whitney Houston
I Need To Know	Marc Anthony
U Know What's Up	Donell Jones
Waiting For Tonight	Jennifer Lopez
Hot Boyz	Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
24/7	Kevon Edmonds
Bring It All To Me	Blaque
Steal My Sunshine	Len
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Girl On TV	LFO
Unpretty	TLC
Then The Morning Comes	Smash Mouth
Where My Girls At?	702
What A Girl Wants	Christina Aguilera
Satisfy You	Puff Daddy Featuring R. Kelly
Get Gone	Ideal
4, 5, 6	Sole Featuring JT Money & Kandi
Meet Virginia	Train
Someday	Sugar Ray
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Learn To Fly	Foo Fighters
Big Deal	LeAnn Rimes
15 Minutes	Marc Nelson
Breathe	Faith Hill
Blue (Da Ba Dee)	Eiffel 65
He Didn't Have To Be	Brad Paisley
When I Said I Do	Clint Black
He Can't Love U	Jagged Edge
Black Balloon	Goo Goo Dolls
That's The Way It Is	Celine Dion
Hanginaround	Counting Crows
(You Drive Me) Crazy	Britney Spears
Got Your Money	Ol' Dirty Bastard Featuring Kelis
Get It On Tonite	Montell Jordan
Shake Your Bon-Bon	Ricky Martin
Stay The Night	IMx
Heartbreaker	Mariah Carey Featuring Jay-Z
If You Love Me	Mint Condition
Will 2K	Will Smith Featuring K-Ci
She's So High	Tal Bachman
Genie In A Bottle	Christina Aguilera
Dancin'	Guy
Scar Tissue	Red Hot Chili Peppers
Got To Get It	Sisqo Featuring Make It Hot
I Love You	Martina McBride
You Can Do It	Ice Cube Featuring Mack 10 & Ms. Toi
What Do You Say	Reba
Take A Picture	Filter
Home To You	John Michael Montgomery
Don't Say You Love Me	M2M
All Things Considered	Yankee Grey
I Do (Cherish You)	98 Degrees
Pop A Top	Alan Jackson
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Gotta Man	Eve
Higher	Creed
Cowboy Take Me Away	Dixie Chicks
Angels	Robbie Williams
We Can't Be Friends	Deborah Cox With R.L.
My Best Friend	Tim McGraw
Larger Than Life	Backstreet Boys
Something Like That	Tim McGraw
Caught Out There	Kelis
Thank God I Found You	Mariah Carey Featuring Joe & 98 Degrees
All The Small Things	Blink-182
Come On Over	Shania Twain
Bug A Boo	Destiny's Child
I Want It All	Warren G Featuring Mack 10
Deep Inside	Mary J. Blige
She's All I Ever Had	Ricky Martin
The Chemicals Between Us	Bush
Sexual (Li Da Di)	Amber
Left & Right	D'Angelo Featuring Method Man And Redman
Give You What You Want (Fa Sure)	Chico DeBarge
Rhythm Divine	Enrique Iglesias
There She Goes	Sixpence None The Richer
She Thinks My Tractor's Sexy	Kenny Chesney
Notorious B.I.G.	The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim
The Rockafeller Skank	Fatboy Slim
None Of Ur Friends Business	Ginuwine
N 2 Gether Now	Limp Bizkit Featuring Method Man
Music Of My Heart	'N Sync & Gloria Estefan
The Greatest Romance Ever Sold	Prince
Steam	Ty Herndon
Smile	Lonestar
Re-arranged	Limp Bizkit
Guerrilla Radio	Rage Against The Machine
Tha Block Is Hot	Lil' Wayne Featuring Juvenile & B.G.
The Dolphin's Cry	Live
Live, Laugh, Love	Clay Walker
What Do You Say To That	George Strait
If I Could Turn Back The Hands Of Time	R. Kelly
The Christmas Song (Chestnuts Roasting On An Open Fire)	Christina Aguilera
Still D.R.E.	Dr. Dre Featuring Snoop Dogg
L.A. Song	Beth Hart
NAStradamus	Nas
