Vision Of Love	Mariah Carey
Cradle Of Love (From "Ford Fairlane")	Billy Idol
Rub You The Right Way	Johnny Gill
The Power	Snap!
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Girls Nite Out	Tyler Collins
When I'm Back On My Feet Again	Michael Bolton
If Wishes Came True	Sweet Sensation
Hold On	En Vogue
Unskinny Bop	Poison
Come Back To Me	Janet Jackson
King Of Wishful Thinking (From "Pretty Woman")	Go West
Hanky Panky	Madonna
Make You Sweat	Keith Sweat
Do Me!	Bell Biv DeVoe
Jerk Out	The Time
Epic	Faith No More
Could This Be Love	Seduction
Have You Seen Her	M.C. Hammer
Enjoy The Silence	Depeche Mode
Don't Go Away Mad (Just Go Away)	Motley Crue
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
Release Me	Wilson Phillips
You Can't Deny It	Lisa Stansfield
Mentirosa	Mellow Man Ace
It Must Have Been Love (From "Pretty Woman")	Roxette
Banned In The U.S.A.	Luke Featuring The 2 Live Crew
Possession	Bad English
Across The River	Bruce Hornsby & The Range
Step By Step	New Kids On The Block
Pure	Lightning Seeds
I Didn't Want To Need You	Heart
Poison	Bell Biv DeVoe
The Other Side	Aerosmith
Love And Emotion	Stevie B
I'll Be Your Shelter	Taylor Dayne
Tonight	New Kids On The Block
My Kinda Girl	Babyface
Hold On	Wilson Phillips
Tic-Tac-Toe	Kyper
We're All In the Same Gang	The West Coast Rap All-Stars
The Girl I Used To Know	Brother Beyond
(Can't Live Without Your) Love And Affection	Nelson
Talk To Me	Anita Baker
Bad Of The Heart	George LaMond
Close To You	Maxi Priest
Can't Stop Falling Into Love	Cheap Trick
All I Do Is Think Of You	Troop
Do You Remember?	Phil Collins
Vogue	Madonna
La Raza	Kid Frost
Cuts Both Ways	Gloria Estefan
Oh Girl	Paul Young
Bang Bang	Danger Danger
Thieves In The Temple	Prince
My, My, My	Johnny Gill
How Bad Do You Want It?	Don Henley
U Can't Touch This	M.C. Hammer
Stranger To Love	St. Paul
Ready Or Not	After 7
The Emperor's New Clothes	Sinead O'Connor
Something Happened On The Way To Heaven	Phil Collins
The Ballad Of Jayne	L.A. Guns
Heart Of Stone	Taylor Dayne
Sending All My Love	Linear
Dirty Cash (Money Talks)	The Adventures Of Stevie V
Can't Stop	After 7
All The Way	Calloway
Club At The End Of The Street	Elton John
Tell Me Something	Indecent Obsession
Don't You Come Cryin'	Linear
The Humpty Dance	Digital Underground
The Right Combination	Seiko & Donnie Wahlberg
Slow Love	Doc Box & B. Fresh
Summer Vacation	The Party
All Lips N' Hips	Electric Boys
Everybody Everybody	Black Box
Same Old Look	Jimmy Ryser
Hearts In Trouble (From "Days Of Thunder")	Chicago
I Melt With You	Modern English
All I Wanna Do Is Make Love To You	Heart
First True Love	Tiana
"B" Girls	Young And Restless
Can't Get Enuff	Winger
Baby, It's Tonight	Jude Cole
I Don't Have The Heart	James Ingram
Children Of The Night	Richard Marx
Sittin' In The Lap Of Luxury	Louie Louie
Holy Water	Bad Company
Time For Letting Go	Jude Cole
Innocent	The Whispers
Notice Me	Nikki
That's Not Her Style	Billy Joel
I'm Never Gonna Give You Up	The Brat Pack
Don't You Love Me	49-ers
What Will I Do	Timmy T.
Nothing Compares 2 U	Sinead O'Connor
Turtle Power	Partners In Kryme
I'll See You In My Dreams	Giant
The Blues	Tony Toni Tone
