Sister Golden Hair	America
Love Will Keep Us Together	The Captain & Tennille
When Will I Be Loved	Linda Ronstadt
Bad Time	Grand Funk
Old Days	Chicago
I'm Not Lisa	Jessi Colter
Love Won't Let Me Wait	Major Harris
Thank God I'm A Country Boy	John Denver
Philadelphia Freedom	The Elton John Band
Get Down, Get Down (Get On The Floor)	Joe Simon
Cut The Cake	AWB
Wildfire	Michael Murphey
Only Women	Alice Cooper
Take Me In Your Arms (Rock Me)	The Doobie Brothers
Bad Luck (Part 1)	Harold Melvin And The Blue Notes
Shining Star	Earth, Wind & Fire
Magic	Pilot
How Long	Ace
Before The Next Teardrop Falls	Freddy Fender
The Last Farewell	Roger Whittaker
I'll Play For You	Seals & Crofts
Listen To What The Man Said	Wings
I Wanna Dance Wit' Choo (Doo Dat Dance), Part I	Disco Tex & The Sex-O-Lettes
Attitude Dancing	Carly Simon
Remember What I Told You To Forget/My Ship	Tavares
Shakey Ground	The Temptations
The Way We Were/try To Remember	Gladys Knight And The Pips
Misty	Ray Stevens
The Hustle	Van McCoy & The Soul City Symphony
Baby That's Backatcha	Smokey Robinson
Hey You	Bachman-Turner Overdrive
Dynomite-Part I	Tony Camillo's Bazuka
Judy Mae	Boomer Castleman
Swearin' To God	Frankie Valli
T-R-O-U-B-L-E	Elvis Presley
Why Can't We Be Friends?	War
Lizzie And The Rainman	Tanya Tucker
I'm Not In Love	10cc
One Of These Nights	Eagles
Midnight Blue	Melissa Manchester
Rockin' Chair	Gwen McCrae
I'm On Fire	Dwight Twilley Band
Black Friday	Steely Dan
Only Yesterday	Carpenters
Give The People What They Want	The O'Jays
Please Mr. Please	Olivia Newton-John
Jackie Blue	Ozark Mountain Daredevils
I'll Do For You Anything You Want Me To	Barry White
The Rockford Files	Mike Post
I Don't Like To Sleep Alone	Paul Anka with Odia Coates
Shoeshine Boy	Eddie Kendricks
Slippery When Wet	Commodores
Rhinestone Cowboy	Glen Campbell
He Don't Love You (Like I Love You)	Tony Orlando & Dawn
I Dreamed Last Night	Justin Hayward & John Lodge
Spirit Of The Boogie/Summer Madness	Kool & The Gang
Every Time You Touch Me (I Get High)	Charlie Rich
Please Pardon Me (You Remind Me Of A Friend)	Rufus Featuring Chaka Khan
What Can I Do For You?	Labelle
Me And Mrs. Jones	Ron Banks And The Dramatics
Sex Machine (Part I)	James Brown
Long Haired Country Boy	The Charlie Daniels Band
(Just Like) Romeo And Juliet	Sha Na Na
Killer Queen	Queen
Jive Talkin'	Bee Gees
Disco Queen	Hot Chocolate
Ease On Down The Road	Consumer Rapport
Rock And Roll All Nite	KISS
El Bimbo	Bimbo Jet
Mister Magic	Grover Washington, Jr.
Seven Lonely Nights	Four Tops
Reconsider Me	Narvel Felts
Do It In The Name Of Love	Ben E. King
Funny How Love Can Be	First Class
Make The World Go Away	Donny & Marie Osmond
Burnin' Thing	Mac Davis
Sail On Sailor	The Beach Boys
Blanket On The Ground	Billie Jo Spears
Just A Little Bit Of You	Michael Jackson
Sadie	The Spinners
Got To Get You Into My Life	Blood, Sweat & Tears
It's All Down To Goodnight Vienna/Oo-Wee	Ringo Starr
Sweet Emotion	Aerosmith
I Don't Know Why	The Rolling Stones
Rag Doll	Sammy Johns
Feelin' That Glow	Roberta Flack
At Seventeen	Janis Ian
Holdin' On To Yesterday	Ambrosia
Saturday Night Special	Lynyrd Skynyrd
Take Me To The River	Syl Johnson
No Charge	Shirley Caesar
Bloody Well Right	Supertramp
Cry Cry Cry	Shirley And Company
Baby-Get It On	Ike & Tina Turner
Stars In My Eyes	Sugarloaf/Jerry Corbetta
Wonderful Baby	Don McLean
Sneakin' Up Behind You	The Brecker Brothers
Chocolate City	Parliament
Check It Out	Bobby Womack
Ballroom Blitz	Sweet
