The Box	Roddy Ricch
Blinding Lights	The Weeknd
Don't Start Now	Dua Lipa
Life Is Good	Future Featuring Drake
Circles	Post Malone
Roxanne	Arizona Zervas
Adore You	Harry Styles
Intentions	Justin Bieber Featuring Quavo
Someone You Loved	Lewis Capaldi
Everything I Wanted	Billie Eilish
Hot Girl Bummer	blackbear
Memories	Maroon 5
Myron	Lil Uzi Vert
Say So	Doja Cat Featuring Nicki Minaj
Dance Monkey	Tones And I
Heartless	The Weeknd
The Bones	Maren Morris
My Oh My	Camila Cabello Featuring DaBaby
Bean (Kobe)	Lil Uzi Vert Featuring Chief Keef
Suicidal	YNW Melly & Juice WRLD
Ballin'	Mustard & Roddy Ricch
10,000 Hours	Dan + Shay & Justin Bieber
Godzilla	Eminem Featuring Juice WRLD
BOP	DaBaby
Stupid Love	Lady Gaga
Yessirskiii	Lil Uzi Vert & 21 Savage
Baby Pluto	Lil Uzi Vert
Woah	Lil Baby
Falling	Trevor Daniel
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Lose You To Love Me	Selena Gomez
No Guidance	Chris Brown Featuring Drake
High Fashion	Roddy Ricch Featuring Mustard
You Should Be Sad	Halsey
Homesick	Kane Brown
I Hope	Gabby Barrett Featuring Charlie Puth
P2	Lil Uzi Vert
Blueberry Faygo	Lil Mosey
Homemade	Jake Owen
Heart On Ice	Rod Wave
That Way	Lil Uzi Vert
Lo Mein	Lil Uzi Vert
I Love Me	Demi Lovato
Good As Hell	Lizzo
Lotus	Lil Uzi Vert
BEST ON EARTH	Russ & BIA
Slide	H.E.R. Featuring YG
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
What She Wants Tonight	Luke Bryan
Dior	Pop Smoke
Sum 2 Prove	Lil Baby
Silly Watch	Lil Uzi Vert
Nobody But You	Blake Shelton Duet With Gwen Stefani
Wassup	Lil Uzi Vert Featuring Future
Oprah's Bank Account	Lil Yachty, Drake & DaBaby
More Hearts Than Mine	Ingrid Andress
B.S.	Jhene Aiko Featuring H.E.R.
Chasin' You	Morgan Wallen
Slow Dance In A Parking Lot	Jordan Davis
Strawberry Peels	Lil Uzi Vert Featuring Young Thug & Gunna
P*$$y Fairy (OTW)	Jhene Aiko
Moon Relate	Lil Uzi Vert
What A Man Gotta Do	Jonas Brothers
Tusa	Karol G & Nicki Minaj
Catch	Brett Young
I Can Show You	Lil Uzi Vert
We Back	Jason Aldean
Trap This Way (This Way)	Lil Uzi Vert
I Wish Grandpas Never Died	Riley Green
Si Veo A Tu Mama	Bad Bunny
Death Bed	Powfu Featuring beabadoobee
Leaders	Lil Uzi Vert Featuring NAV
Heatin Up	Lil Baby & Gunna
Sunday Best	Surfaces
Grace	Lil Baby & 42 Dugg
No Auto	Lil Uzi Vert Featuring Lil Durk
The Other Side	SZA X Justin Timberlake
Yummy	Justin Bieber
B.I.T.C.H.	Megan Thee Stallion
La Dificil	Bad Bunny
I Hope You're Happy Now	Carly Pearce & Lee Brice
Homecoming	Lil Uzi Vert
Come This Way	Lil Uzi Vert
To Die For	Sam Smith
Emotionally Scarred	Lil Baby
Does To Me	Luke Combs Featuring Eric Church
Got The Guap	Lil Uzi Vert Featuring Young Thug
Supalonely	BENEE Featuring Gus Dapperton
Money Spread	Lil Uzi Vert Featuring Young Nudy
Cardigan	Don Toliver
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Vete	Bad Bunny
Know Your Worth	Khalid x Disclosure
Futsal Shuffle 2020	Lil Uzi Vert
Prices	Lil Uzi Vert
Go Stupid	Polo G Featuring NLE Choppa & Stunna 4 Vegas
Before You Go	Lewis Capaldi
Savage	Megan Thee Stallion
Come Thru	Summer Walker & Usher
Make No Sense	YoungBoy Never Broke Again
