Runaway	Del Shannon
Mother-In-Law	Ernie K-Doe
A Hundred Pounds Of Clay	Gene McDaniels
I've Told Every Little Star	Linda Scott
Daddy's Home	Shep And The Limelites
You Can Depend On Me	Brenda Lee
Blue Moon	The Marcels
Travelin' Man	Ricky Nelson
Mama Said	The Shirelles
Take Good Care Of Her	Adam Wade
Breakin' In A Brand New Broken Heart	Connie Francis
Portrait Of My Love	Steve Lawrence
One Mint Julep	Ray Charles
Flaming Star	Elvis Presley With The Jordanaires
Hello Mary Lou	Ricky Nelson
Running Scared	Roy Orbison
On The Rebound	Floyd Cramer
Tonight I Fell In Love	The Tokens
Bonanza	Al Caiola And His Orchestra
Just For Old Time's Sake	The McGuire Sisters
But I Do	Clarence Henry
Tragedy	The Fleetwoods
Little Devil	Neil Sedaka
Girl Of My Best Friend	Ral Donner
Funny	Maxine Brown
Hello Walls	Faron Young
(Dance The) Mess Around	Chubby Checker
Bumble Boogie	B. Bumble & The Stingers
Baby Blue	The Echoes
Tonight My Love, Tonight	Paul Anka
That Old Black Magic	Bobby Rydell
Some Kind Of Wonderful	The Drifters
The Continental Walk	Hank Ballard And The Midnighters
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Lullaby Of Love	Frank Gari
Triangle	Janie Grant
Asia Minor	Kokomo
I'm In The Mood For Love	The Chimes
Apache	Jorgen Ingmann & His Guitar
Saved	LaVern Baker
Stand By Me	Ben E. King
What A Surprise	Johnny Maestro The Voice Of The Crests
I Feel So Bad	Elvis Presley
Exodus	Eddie Harris
The Touchables In Brooklyn	Dickie Goodman
(It Never Happens) In Real Life	Chuck Jackson
Good, Good Lovin'	Chubby Checker
Peanut Butter	The Marathons
Underwater	The Frogmen
Please Love Me Forever	Cathy Jean and The Roommates
Raindrops	Dee Clark
I'm A Fool To Care	Joe Barry
Glory Of Love	The Roommates
Moody River	Pat Boone
Tossin' And Turnin'	Bobby Lewis
Be My Boy	Paris Sisters
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
Rama Lama Ding Dong	The Edsels
Barbara-Ann	The Regents
Foolin' Around	Kay Starr
Never On Sunday	Don Costa And His Orchestra And Chorus
Buzz Buzz A-Diddle-It	Freddy Cannon
The Bilbao Song	Andy Williams
That's The Way With Love	Piero Soffici
You'd Better Come Home	Russell Byrd
African Waltz	Cannonball Adderley Orchestra
The Wayward Wind	Gogi Grant
Little Egypt (Ying-Yang)	The Coasters
Lullaby Of The Leaves	The Ventures
Three Hearts In A Tangle	Roy Drusky
A Love Of My Own	Carla Thomas
Halfway To Paradise	Tony Orlando
Big Big World	Johnny Burnette
In My Heart	The Timetones
Count Every Star	Donnie and The Dreamers
You Always Hurt The One You Love	Clarence Henry
The Writing On The Wall	Adam Wade
(I've Got) Spring Fever	Little Willie John
Better Tell Him No	The Starlets
Shy Away	Jerry Fuller
Every Beat Of My Heart	Pips
Kissin Game	Dion
Every Beat Of My Heart	Gladys Knight And The Pips
In Between Tears	Lenny Miles
I Don't Mind	James Brown And The Famous Flames
Son-In-Law	The Blossoms
Miss Fine	The New Yorkers
Son-In-Law	Louise Brown
A Cross Stands Alone	Jimmy Witter
The Boll Weevil Song	Brook Benton
I Can't Do It By Myself	Anita Bryant
You're Gonna Need Magic	Roy Hamilton
Our Love Is Here To Stay	Dinah Washington
It Keeps Rainin'	Fats Domino
For Your Love	The Wanderers
What Will I Tell My Heart	The Harptones
(A Ship Will Come) Ein Schiff Wird Kommen	Lale Anderson
Brother-In-Law (He's A Moocher)	Paul Peek
The Girl's A Devil	The Dukays
Here's My Confession	Wyatt (Earp) McPherson
