Can't Stop The Feeling!	Justin Timberlake
One Dance	Drake Featuring WizKid & Kyla
Panda	Desiigner
7 Years	Lukas Graham
I Took A Pill In Ibiza	Mike Posner
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Don't Let Me Down	The Chainsmokers Featuring Daya
Work	Rihanna Featuring Drake
Pillowtalk	Zayn
Needed Me	Rihanna
Love Yourself	Justin Bieber
My House	Flo Rida
Stressed Out	twenty one pilots
Never Forget You	Zara Larsson & MNEK
This Is What You Came For	Calvin Harris Featuring Rihanna
Dangerous Woman	Ariana Grande
Cake By The Ocean	DNCE
Me, Myself & I	G-Eazy x Bebe Rexha
No	Meghan Trainor
H.O.L.Y.	Florida Georgia Line
Low Life	Future Featuring The Weeknd
Oui	Jeremih
Pop Style	Drake Featuring The Throne
Sorry	Justin Bieber
2 Phones	Kevin Gates
Close	Nick Jonas Featuring Tove Lo
My Boo	Ghost Town DJ's
Let It Go	James Bay
Middle	DJ Snake Featuring Bipolar Sunshine
Just Like Fire	P!nk
Sorry	Beyonce
Exchange	Bryson Tiller
Lost Boy	Ruth B
Stitches	Shawn Mendes
Controlla	Drake
Don't Mind	Kent Jones
Cut It	O.T. Genasis Featuring Young Dolph
Cheap Thrills	Sia Featuring Sean Paul
One Call Away	Charlie Puth
Somewhere On A Beach	Dierks Bentley
Too Good	Drake Featuring Rihanna
Roses	The Chainsmokers Featuring Rozes
Humble And Kind	Tim McGraw
Came Here To Forget	Blake Shelton
Ride	twenty one pilots
Don't	Bryson Tiller
Formation	Beyonce
Hold Up	Beyonce
Hype	Drake
T-Shirt	Thomas Rhett
Wild Things	Alessia Cara
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
Think Of You	Chris Young Duet With Cassadee Pope
Snapback	Old Dominion
Still Here	Drake
My Church	Maren Morris
Mind Reader	Dustin Lynch
Never Be Like You	Flume Featuring Kai
The Sound Of Silence	Disturbed
Really Really	Kevin Gates
Kiss It Better	Rihanna
Grammys	Drake Featuring Future
Wasted Time	Keith Urban
Wicked	Future
Childs Play	Drake
If It Ain't Love	Jason Derulo
Uber Everywhere	MadeinTYO
Might Not	Belly Featuring The Weeknd
Go Ahead And Break My Heart	Blake Shelton Featuring Gwen Stefani
With You	Drake Featuring PARTYNEXTDOOR
Body	Dreezy Featuring Jeremih
9	Drake
Feel No Ways	Drake
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Ain't Your Mama	Jennifer Lopez
Head Over Boots	Jon Pardi
I Hate U I Love U	gnash Featuring Olivia O'Brien
Law	Yo Gotti Featuring E-40
U With Me?	Drake
Lights Come On	Jason Aldean
6 Inch	Beyonce Featuring The Weeknd
Into You	Ariana Grande
Piece By Piece	Kelly Clarkson
Record Year	Eric Church
You Don't Own Me	Grace Featuring G-Eazy
Moolah	Young Greatness
Famous	Kanye West
Promise	Kid Ink Featuring Fetty Wap
Church Bells	Carrie Underwood
Youth	Troye Sivan
Fire & Desire	Drake
Noise	Kenny Chesney
Father Stretch My Hands Pt. 1	Kanye West
I Like The Sound Of That	Rascal Flatts
Faded	Alan Walker
Confession	Florida Georgia Line
Messin' Around	Pitbull Featuring Enrique Iglesias
Team	Iggy Azalea
Ophelia	The Lumineers
