Fire	Ohio Players
You're No Good	Linda Ronstadt
Boogie On Reggae Woman	Stevie Wonder
Pick Up The Pieces	AWB
Best Of My Love	Eagles
Some Kind Of Wonderful	Grand Funk
Black Water	The Doobie Brothers
Laughter In The Rain	Neil Sedaka
Lonely People	America
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Doctor's Orders	Carol Douglas
My Eyes Adored You	Frankie Valli
#9 Dream	John Lennon
Look In My Eyes Pretty Woman	Tony Orlando & Dawn
Please Mr. Postman	Carpenters
Mandy	Barry Manilow
Sweet Surrender	John Denver
Morning Side Of The Mountain	Donny & Marie Osmond
Nightingale	Carole King
Never Can Say Goodbye	Gloria Gaynor
Lady	Styx
Rock N' Roll (I Gave You The Best Years Of My Life)	Mac Davis
Can't Get It Out Of My Head	Electric Light Orchestra
Your Bulldog Drinks Champagne	Jim Stafford
I'm A Woman	Maria Muldaur
Big Yellow Taxi	Joni Mitchell
I Belong To You	Love Unlimited
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Lady Marmalade	Labelle
Roll On Down The Highway	Bachman-Turner Overdrive
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Lucy In The Sky With Diamonds	Elton John
Express	B.T. Express
Have You Never Been Mellow	Olivia Newton-John
Struttin'	Billy Preston
Ding Dong; Ding Dong	George Harrison
Poetry Man	Phoebe Snow
Up In A Puff Of Smoke	Polly Brown
Movin' On	Bad Company
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Happy People	The Temptations
My Boy	Elvis Presley
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Ain't That Peculiar	Diamond Reo
Don't Take Your Love	The Manhattans
Ready	Cat Stevens
Sad Sweet Dreamer	Sweet Sensation
Lovin' You	Minnie Riperton
Never Let Her Go	David Gates
Junior's Farm/Sally G	Paul McCartney And Wings
Free Bird	Lynyrd Skynyrd
I Am Love (Parts I & II)	Jackson 5
Shame, Shame, Shame	Shirley And Company
You're The First, The Last, My Everything	Barry White
Bungle In The Jungle	Jethro Tull
Only You	Ringo Starr
Star On A TV Show	The Stylistics
Hot Dawgit	Ramsey Lewis And Earth, Wind & Fire
Changes	David Bowie
Kung Fu Fighting	Carl Douglas
Angie Baby	Helen Reddy
I've Been This Way Before	Neil Diamond
Ride 'em Cowboy	Paul Davis
If Loving You Is Wrong I Don't Want To Be Right	Millie Jackson
Rhyme Tyme People	Kool & The Gang
Thanks For The Smiles	Charlie Ross
It's All Right	Jim Capaldi
Chevy Van	Sammy Johns
I Get Lifted	George McCrae
Cat's In The Cradle	Harry Chapin
Future Shock	Hello People
Emotion	Helen Reddy
My Elusive Dreams	Charlie Rich
I Fought The Law	Sam Neely
I Am I Am	Smokey Robinson
Please, Mr. President	Paula Webb
Part Of The Plan	Dan Fogelberg
No No Song/snookeroo	Ringo Starr
Good Times, Rock & Roll	Flash Cadillac And The Continental Kids
Wolf Creek Pass	C.W. McCall
I Won't Last A Day Without You/Let Me Be The One	Al Wilson
Butter Boy	Fanny
We May Never Love Like This Again	Maureen McGovern
Devil In The Bottle	T.G. Sheppard
Supernatural Thing - Part I	Ben E. King
The South's Gonna Do It	The Charlie Daniels Band
Changes	Loggins & Messina
Walking In Rhythm	The Blackbyrds
Emma	Hot Chocolate
Satin Soul	Love Unlimited Orchestra
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
Before The Next Teardrop Falls	Freddy Fender
I'll Still Love You	Jim Weatherly
Jackie Blue	Ozark Mountain Daredevils
Isn't It Lonely Together	Stark & McBrien
Charmer	Tim Moore
I Just Can't Say Goodbye	Philly Devotions
Killer Queen	Queen
Hijack	Herbie Mann
Believe Half Of What You See (And None Of What You Hear)	Leon Haywood
