No Scrubs	TLC
Believe	Cher
Every Morning	Sugar Ray
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Kiss Me	Sixpence None The Richer
I Still Believe	Mariah Carey
Angel Of Mine	Monica
All Night Long	Faith Evans Featuring Puff Daddy
Stay The Same	Joey McIntyre
All I Have To Give	Backstreet Boys
When I Close My Eyes	Shanice
Angel	Sarah McLachlan
Slide	Goo Goo Dolls
If You (Lovin' Me)	Silk
C'est La Vie	B*Witched
...Baby One More Time	Britney Spears
Sweet Lady	Tyrese
The Animal Song	Savage Garden
Hard Knock Life (Ghetto Anthem)	JAY-Z
Ex-Factor	Lauryn Hill
Fly Away	Lenny Kravitz
What It's Like	Everlast
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
Please Remember Me	Tim McGraw
Have You Ever?	Brandy
You	Jesse Powell
Back 2 Good	matchbox 20
(God Must Have Spent) A Little More Time On You	'N Sync
Save Tonight	Eagle-Eye Cherry
How Forever Feels	Kenny Chesney
I'm Not Ready	Keith Sweat
We Like To Party!	Vengaboys
Nobody's Supposed To Be Here	Deborah Cox
One More Try	Divine
Jumper	Third Eye Blind
Faded Pictures	Case & Joe
Miami	Will Smith
You Got Me	The Roots Featuring Erykah Badu
When A Woman's Fed Up	R. Kelly
I'll Think Of A Reason Later	Lee Ann Womack
Ordinary Life	Chad Brock
My Name Is	Eminem
Anywhere	112 Featuring Lil'z
My First Night With You	Mya
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
Girlfriend/Boyfriend	BLACKstreet With Janet
You Were Mine	Dixie Chicks
The Hardest Thing	98 Degrees
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Written In The Stars	Elton John & LeAnn Rimes
What's So Different	Ginuwine
Wish You Were Here	Mark Wills
Give It To You	Jordan Knight
I Can't Get Over You	Brooks & Dunn
Georgy Porgy	Eric Benet Featuring Faith Evans
I Don't Want To Miss A Thing	Mark Chesnutt
Drive Me Wild	Sawyer Brown
Praise You	Fatboy Slim
Gone Crazy	Alan Jackson
Blue Monday	Orgy
Nann	Trick Daddy Featuring Trina
Meanwhile	George Strait
Stand Beside Me	Jo Dee Messina
Busy Man	Billy Ray Cyrus
That Don't Impress Me Much	Shania Twain
You Won't Ever Be Lonely	Andy Griggs
Hands Of A Working Man	Ty Herndon
Get Involved	Raphael Saadiq & Q-Tip
One	Creed
Hillbilly Shoes	Montgomery Gentry
Anyone Else	Collin Raye
Heavy	Collective Soul
Love Ain't Like That	Faith Hill
Special	Garbage
Unbelievable	Diamond Rio
Two Teardrops	Steve Wariner
Fortunate	Maxwell
Life	K-Ci & JoJo
Powerful Thing	Trisha Yearwood
Everytime I Cry	Terri Clark
Maria	Blondie
Anything But Down	Sheryl Crow
Taking Everything	Gerald Levert
Run	Collective Soul
What'd You Come Here For?	Trina & Tamara
Crush	Dave Matthews Band
Why Don't You Get A Job?	The Offspring
No Place That Far	Sara Evans
You Get What You Give	New Radicals
Sitting Home	Total
Woof	Snoop Dogg Featuring Mystikal And Fiend
With You	Lila McCann
Changes	2Pac
My Favorite Girl	Dave Hollister
Hold On To Me	John Michael Montgomery
Ruff Ryders' Anthem	DMX
Nas Is Like	Nas
Holla Holla	Ja Rule
Ha	Juvenile
