Can't Fight This Feeling	REO Speedwagon
Careless Whisper	Wham! Featuring George Michael
The Heat Is On	Glenn Frey
California Girls	David Lee Roth
Material Girl	Madonna
Too Late For Goodbyes	Julian Lennon
Neutron Dance	The Pointer Sisters
I Want To Know What Love Is	Foreigner
Sugar Walls	Sheena Easton
Misled	Kool & The Gang
Lover Boy	Billy Ocean
Lover Girl	Teena Marie
The Old Man Down The Road	John Fogerty
One More Night	Phil Collins
Private Dancer	Tina Turner
Easy Lover	Philip Bailey With Phil Collins
Relax	Frankie Goes To Hollywood
Only The Young	Journey
Mr. Telephone Man	New Edition
Method Of Modern Love	Daryl Hall John Oates
Save A Prayer	Duran Duran
High On You	Survivor
Naughty Naughty	John Parr
Keeping The Faith	Billy Joel
Just Another Night	Mick Jagger
Solid	Ashford & Simpson
Somebody	Bryan Adams
Nightshift	Commodores
I'm On Fire	Bruce Springsteen
Jungle Love	The Time
Turn Up The Radio	Autograph
Obsession	Animotion
Take Me With U	Prince And The Revolution Duet With Apollonia
Missing You	Diana Ross
This Is Not America	David Bowie/Pat Metheny Group
Why Can't I Have You	The Cars
Rhythm Of The Night	Debarge
The Borderlines	Jeffrey Osborne
The Boys Of Summer	Don Henley
Along Comes A Woman	Chicago
Beat Of A Heart	Scandal Featuring Patty Smyth
Crazy For You	Madonna
I Wanna Hear It From Your Lips	Eric Carmen
All She Wants to Do Is Dance	Don Henley
Lucky	Greg Kihn
Second Nature	Dan Hartman
The Word Is Out	Jermaine Stewart
Small Town Boy	Bronski Beat
Radioactive	The Firm
Rockin' At Midnight	The Honeydrippers
You're The Inspiration	Chicago
Foolish Heart	Steve Perry
Operator	Midnight Star
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
Say It Again	Santana
The Bird	The Time
One Night In Bangkok	Murray Head
Let's Talk About Me	The Alan Parsons Project
Rain Forest	Paul Hardcastle
We Close Our Eyes	Go West
Like A Virgin	Madonna
Don't You (Forget About Me)	Simple Minds
Kiss and Tell	Isley, Jasper, Isley
Forever Man	Eric Clapton
Playing To Win	Little River Band
I Would Die 4 U	Prince And The Revolution
New Attitude	Patti LaBelle
Change	John Waite
Tragedy	John Hunter
Smooth Operator	Sade
Call To The Heart	Giuffria
Yo Little Brother	Nolan Thomas
Restless Heart	John Waite
Tenderness	General Public
Look My Way	The Vels
All I Need	Jack Wagner
One Night In Bangkok	Robey
Treat Her Like A Lady	The Temptations
Roxanne, Roxanne	UTFO
Love Light In Flight	Stevie Wonder
Emotion	Barbra Streisand
Ooh Ooh Song	Pat Benatar
Invisible	Alison Moyet
You Send Me	The Manhattans
Scientific Love	Midnight Star
This Is My Night	Chaka Khan
In My House	Mary Jane Girls
Money Changes Everything	Cyndi Lauper
Follow Your Heart	Triumph
Piece By Piece	The Tubes
Mistake No. 3	Culture Club
Run To You	Bryan Adams
Crazy	Kenny Rogers
20/20	George Benson
Do What You Do	Jermaine Jackson
Jamie	Ray Parker Jr.
We Belong	Pat Benatar
One Foot Back In Your Door	Roman Holliday
Holyanna	Toto
Cool It Now	New Edition
