Someone You Loved	Lewis Capaldi
Truth Hurts	Lizzo
Senorita	Shawn Mendes & Camila Cabello
Circles	Post Malone
No Guidance	Chris Brown Featuring Drake
Panini	Lil Nas X
HIGHEST IN THE ROOM	Travis Scott
Ran$om	Lil Tecca
Bad Guy	Billie Eilish
10,000 Hours	Dan + Shay & Justin Bieber
Memories	Maroon 5
Bandit	Juice WRLD & YoungBoy Never Broke Again
Beautiful People	Ed Sheeran Featuring Khalid
Good As Hell	Lizzo
Lose You To Love Me	Selena Gomez
I Don't Care	Ed Sheeran & Justin Bieber
Goodbyes	Post Malone Featuring Young Thug
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Trampoline	SHAED
Only Human	Jonas Brothers
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Talk	Khalid
Sucker	Jonas Brothers
On Chill	Wale Featuring Jeremih
Money In The Grave	Drake Featuring Rick Ross
Playing Games	Summer Walker
Ballin'	Mustard & Roddy Ricch
Suge	DaBaby
How Do You Sleep?	Sam Smith
Baby	Lil Baby & DaBaby
Hot	Young Thug Featuring Gunna
One Man Band	Old Dominion
Dancing With A Stranger	Sam Smith & Normani
Even Though I'm Leaving	Luke Combs
Hot Girl Summer	Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
One Thing Right	Marshmello & Kane Brown
You Need To Calm Down	Taylor Swift
Lover	Taylor Swift
Camelot	NLE Choppa
My Type	Saweetie
Prayed For You	Matt Stell
Time	NF
Heat	Chris Brown Featuring Gunna
Graveyard	Halsey
223's	YNW Melly & 9lokknine
Wow.	Post Malone
Lonely Child	YoungBoy Never Broke Again
Good Vibes	Chris Janson
Love You Too Late	Cole Swindell
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Dance Monkey	Tones And I
Liar	Camila Cabello
The Git Up	Blanco Brown
I Don't Know About You	Chris Lane
BOP	DaBaby
Hot Girl Bummer	blackbear
VIBEZ	DaBaby
Make No Sense	YoungBoy Never Broke Again
Baby Sitter	DaBaby Featuring Offset
Cash Shit	Megan Thee Stallion Featuring DaBaby
Every Little Thing	Russell Dickerson
Self Control	YoungBoy Never Broke Again
F.N	Lil Tjay
The Bones	Maren Morris
Enemies	Post Malone Featuring DaBaby
Lights Up	Harry Styles
INTRO	DaBaby
What Happens In A Small Town	Brantley Gilbert + Lindsay Ell
Hate Me	Ellie Goulding & Juice WRLD
All Dat	Moneybagg Yo X Megan Thee Stallion
China	Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
Come Thru	Summer Walker & Usher
Living	Dierks Bentley
Tip Of My Tongue	Kenny Chesney
Motivation	Normani
Make It Right	BTS Featuring Lauv
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
Hot Now	YoungBoy Never Broke Again
Rich As Hell	YoungBoy Never Broke Again
Remember You Young	Thomas Rhett
We Were	Keith Urban
Otro Trago	Sech, Darell, Nicky Jam, Ozuna & Anuel AA
Kinfolks	Sam Hunt
Lalala	Y2K & bbno$
Higher Love	Kygo X Whitney Houston
In Control	YoungBoy Never Broke Again
Heartache Medication	Jon Pardi
Hot Shower	Chance The Rapper Featuring MadeinTYO & DaBaby
Callaita	Bad Bunny & Tainy
Nice To Meet Ya	Niall Horan
Don't Call Me Angel (Charlie's Angels)	Ariana Grande, Miley Cyrus & Lana Del Rey
Carter Son	YoungBoy Never Broke Again
La Cancion	J Balvin & Bad Bunny
What If I Never Get Over You	Lady Antebellum
I'll Kill You	Summer Walker Featuring Jhene Aiko
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
Somebody	Internet Money, Lil Tecca & A Boogie Wit da Hoodie
DHL	Frank Ocean
Boyfriend	Ariana Grande & Social House
Wish Wish	DJ Khaled Featuring Cardi B & 21 Savage
