Runaround Sue	Dion
Bristol Stomp	The Dovells
Big Bad John	Jimmy Dean
Hit The Road Jack	Ray Charles and his Orchestra
Sad Movies (Make Me Cry)	Sue Thompson
This Time	Troy Shondell
I Love How You Love Me	The Paris Sisters
Let's Get Together	Hayley Mills and Hayley Mills
Ya Ya	Lee Dorsey
The Fly	Chubby Checker
Crying	Roy Orbison
Mexico	Bob Moore and His Orch.
The Way You Look Tonight	The Lettermen
Look In My Eyes	The Chantels
Take Good Care Of My Baby	Bobby Vee
You Must Have Been A Beautiful Baby	Bobby Darin
Tower Of Strength	Gene McDaniels
Sweets For My Sweet	The Drifters
(He's My) Dreamboat	Connie Francis
I Understand (Just How You Feel)	The G-Clefs
Fool #1	Brenda Lee
Everlovin'	Rick Nelson
Don't Blame Me	The Everly Brothers
You're The Reason	Bobby Edwards
Stick Shift	Duals
The Mountain's High	Dick and DeeDee
A Wonder Like You	Rick Nelson
Foot Stomping - Part 1	The Flares
I Really Love You	The Stereos
Please Mr. Postman	The Marvelettes
Anybody But Me	Brenda Lee
My True Story	The Jive Five With Joe Rene And Orchestra
Big John	The Shirelles
Little Sister	Elvis Presley
(He's) The Great Impostor	The Fleetwoods
One Track Mind	Bobby Lewis
Candy Man	Roy Orbison
Take Five	The Dave Brubeck Quartet
What A Party	Fats Domino
Bless You	Tony Orlando
(Marie's The Name) His Latest Flame	Elvis Presley
So Long Baby	Del Shannon
Moon River	Jerry Butler
Heartaches	The Marcels
It's Just A House Without You	Brook Benton
Hollywood	Connie Francis
It's Gonna Work Out Fine	Ike & Tina Turner
Without You	Johnny Tillotson
September In The Rain	Dinah Washington
Missing You	Ray Peterson
Please Don't Go	Ral Donner
Michael	The Highwaymen
Movin'	Bill Black's Combo
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke
Who Put The Bomp (In The Bomp, Bomp, Bomp)	Barry Mann
Feel It	Sam Cooke
Sad Movies (Make Me Cry)	The Lennon Sisters
Bright Lights Big City	Jimmy Reed
School Is In	Gary U.S. Bonds
I Wanna Thank You	Bobby Rydell
Tonight I Won't Be There	Adam Wade
Rock-A-Bye Your Baby With A Dixie Melody	Aretha Franklin
Your Last Goodbye	Floyd Cramer
God, Country And My Baby	Johnny Burnette
Crazy	Patsy Cline
Tonight	Ferrante & Teicher
Young Boy Blues	Ben E. King
Moon River	Henry Mancini And His Orchestra
Goodbye Cruel World	James Darren
Morning After	Mar-Keys
I'll Be Seeing You	Frank Sinatra
My Heart Belongs To Only You	Jackie Wilson
The Astronaut (Parts 1 & 2)	Jose Jimenez
Don't Get Around Much Anymore	The Belmonts
The Bridge Of Love	Joe Dowell
The Way I Am	Jackie Wilson
Berlin Melody	Billy Vaughn And His Orchestra
Don't Cry No More	Bobby Bland
Come September	Billy Vaughn And His Orchestra
Somewhere Along The Way	Steve Lawrence
Here Comes The Night	Ben E. King
Under The Moon Of Love	Curtis Lee
Let True Love Begin	Nat King Cole
In The Middle Of A Heartache	Wanda Jackson
It's Your World	Marty Robbins
Everybody's Gotta Pay Some Dues	The Miracles
More Money For You And Me	The Four Preps
Gypsy Woman	The Impressions
Wasn't The Summer Short?	Johnny Mathis
Muskrat	The Everly Brothers
Broken Heart And A Pillow Filled With Tears	Patti Page
For Me And My Gal	Freddy Cannon
Why Not Now	Matt Monro
Human	Tommy Hunt
Soothe Me	Sims Twins
Backtrack	Faron Young
I Apologize	Timi Yuro
Three Steps From The Altar	Shep And The Limelites
Who Can I Count On	Patsy Cline
Blue Moon	The Ventures
