Sara	Starship
These Dreams	Heart
Kyrie	Mr. Mister
Secret Lovers	Atlantic Starr
How Will I Know	Whitney Houston
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Rock Me Amadeus	Falco
Silent Running (On Dangerous Ground)	Mike + The Mechanics
King For A Day	Thompson Twins
Nikita	Elton John
What You Need	INXS
This Could Be The Night	Loverboy
The Sweetest Taboo	Sade
Sanctify Yourself	Simple Minds
Kiss	Prince And The Revolution
Let's Go All The Way	Sly Fox
Living In America	James Brown
Life In A Northern Town	The Dream Academy
Manic Monday	The Bangles
Beat's So Lonely	Charlie Sexton
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Russians	Sting
(How To Be A) Millionaire	ABC
Another Night	Aretha Franklin
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Stages	ZZ Top
A Love Bizarre	Sheila E.
Day By Day	Hooters
Tender Love	Force M.D.'s
Night Moves	Marilyn Martin
No Easy Way Out	Robert Tepper
Addicted To Love	Robert Palmer
Calling America	Electric Light Orchestra
Goodbye Is Forever	Arcadia
I Can't Wait	Stevie Nicks
I'm Not The One	The Cars
That's What Friends Are For	Dionne & Friends
Live Is Life	Opus
I Think It's Love	Jermaine Jackson
West End Girls	Pet Shop Boys
Conga	Miami Sound Machine
Bop	Dan Seals
Your Love	The Outfield
So Far Away	Dire Straits
Overjoyed	Stevie Wonder
Do Me Baby	Meli'sa Morgan
Harlem Shuffle	The Rolling Stones
What Have You Done For Me Lately	Janet Jackson
For America	Jackson Browne
Burning Heart	Survivor
Saturday Love	Cherrelle With Alexander O'Neal
Why Can't This Be Love	Van Halen
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
Le Bel Age (The Best Years)	Pat Benatar
Bad Boy	Miami Sound Machine
American Storm	Bob Seger
Something About You	Level 42
I'm Your Man	Wham!
A Little Bit Of Love (Is All It Takes)	New Edition
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
The Power Of Love	Jennifer Rush
Digital Display	Ready For The World
I'd Do It All Again	Sam Harris
I Like You	Phyllis Nelson
All The Kings Horses	The Firm
Let Me Be The One	Five Star
If You Leave	Orchestral Manoeuvres In The Dark
I Miss You	Klymaxx
The Sun Always Shines on T.V.	a-ha
Say You, Say Me	Lionel Richie
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
Walk Of Life	Dire Straits
Take Me Home	Phil Collins
I Can't Wait	Nu Shooz
Baby Talk	Alisha
He'll Never Love You (Like I Do)	Freddie Jackson
Heart's On Fire	John Cafferty
Feel It Again	Honeymoon Suite
Lying	Peter Frampton
The Men All Pause	Klymaxx
Go Home	Stevie Wonder
In My Dreams	Dokken
Twist My Arm	The Pointer Sisters
It's All Right (Baby's Coming Back)	Eurythmics
Spies Like Us	Paul McCartney
Where Are You Now?	Jimmy Harnen With Synch
Jimmy Mack	Sheena Easton
My Hometown	Bruce Springsteen
Whisper In The Dark	Dionne Warwick
I Found Someone	Laura Branigan
Shelter Me	Joe Cocker
I Engineer	Animotion
Now And Forever (You And Me)	Anne Murray
A Good Heart	Feargal Sharkey
Call Me	Dennis DeYoung
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Right Between The Eyes	Wax
Somewhere	Barbra Streisand
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
Talk To Me	Stevie Nicks
