Surf City	Jan & Dean
Easier Said Than Done	The Essex
So Much In Love	The Tymes
Tie Me Kangaroo Down, Sport	Rolf Harris
Memphis	Lonnie Mack
Fingertips - Pt 2	Little Stevie Wonder
Wipe Out	The Surfaris
Sukiyaki	Kyu Sakamoto
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Pride And Joy	Marvin Gaye
Blue On Blue	Bobby Vinton
One Fine Day	The Chiffons
Not Me	The Orlons
Blowin' In The Wind	Peter, Paul & Mary
Just One Look	Doris Troy
Hello Stranger	Barbara Lewis
Harry The Hairy Ape	Ray Stevens
Hopeless	Andy Williams
It's My Party	Lesley Gore
Ring Of Fire	Johnny Cash
No One	Ray Charles
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
Judy's Turn To Cry	Lesley Gore
Detroit City	Bobby Bare
My True Confession	Brook Benton
Falling	Roy Orbison
You Can't Sit Down	The Dovells
My Summer Love	Ruby And The Romantics
Without Love (There Is Nothing)	Ray Charles
Candy Girl	The 4 Seasons
Don't Say Goodnight And Mean Goodbye	The Shirelles
Goodnight My Love	The Fleetwoods
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
Be True To Yourself	Bobby Vee
Till Then	The Classics
Still	Bill Anderson
Six Days On The Road	Dave Dudley
Swinging On A Star	Big Dee Irwin (with Little Eva)
(I Love You) Don't You Forget It	Perry Como
Abilene	George Hamilton IV
Shut Down	The Beach Boys
Denise	Randy & The Rainbows
Hootenanny	The Glencoves
Green, Green	The New Christy Minstrels
String Along	Rick Nelson
Be Careful Of Stones That You Throw	Dion
Rock Me In The Cradle Of Love	Dee Dee Sharp
First Quarrel	Paul and Paula
Summer's Comin'	Kirby St. Romain
More	Kai Winding & Orchestra
My Whole World Is Falling Down	Brenda Lee
Tips Of My Fingers	Roy Clark
I Wonder	Brenda Lee
Come Go With Me	Dion
I (Who Have Nothing)	Ben E. King
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
Danke Schoen	Wayne Newton And The Newton Brothers
Come And Get These Memories	Martha & The Vandellas
Mockingbird	Inez Foxx with Charlie Foxx
I Love You Because	Al Martino
Shake A Tail Feather	The Five Du-Tones
Surf Party	Chubby Checker
True Love Never Runs Smooth	Gene Pitney
Like The Big Guys Do	The Rocky Fellers
Shake! Shake! Shake!	Jackie Wilson
Marlena	The 4 Seasons
Sometimes You Gotta Cry A Little	Bobby Bland
When A Boy Falls In Love	Mel Carter
My Block	The Four Pennies
Cottonfields	Ace Cannon
Twist It Up	Chubby Checker
The Monkey Time	Major Lance
Brenda	The Cupids
Will Power	The Cookies
I Will Love You	Richard Chamberlain
Jack The Ripper	Link Wray And The Wraymen
From Me To You	Del Shannon
Make The World Go Away	Timi Yuro
Leave Me Alone	Baby Washington
How Many Teardrops	Lou Christie
I'm Afraid To Go Home	Brian Hyland
Rat Race	The Drifters
Antony And Cleopatra Theme	Ferrante & Teicher
Land Of 1000 Dances	Chris Kenner
A Letter From Betty	Bobby Vee
Surfin' Hootenanny	Al Casey
Can't Nobody Love You	Solomon Burke
Love Me All The Way	Kim Weston
Dancin' Holiday	The Olympics
Wait Til' My Bobby Gets Home	Darlene Love
Groovy Baby	Billy Abbott And The Jewels
Mama Don't Allow	The Rooftop Singers
Summertime	Chris Columbo Quintet
Dance, Dance, Dance	Joey Dee
I Can't Stop Loving You	Count Basie
It Hurts To Be Sixteen	Andrea Carroll
This Is All I Ask	Tony Bennett
Still No. 2	Ben Colder
I Want To Stay Here	Steve & Eydie
What A Fool I've Been	Carla Thomas
