My Ding-A-Ling	Chuck Berry
Use Me	Bill Withers
Burning Love	Elvis Presley
Everybody Plays The Fool	The Main Ingredient
Nights In White Satin	The Moody Blues
Ben	Michael Jackson
Baby Don't Get Hooked On Me	Mac Davis
Garden Party	Rick Nelson And The Stone Canyon Band
Popcorn	Hot Butter
Go All The Way	Raspberries
Tight Rope	Leon Russell
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
You Wear It Well	Rod Stewart
Good Time Charlie's Got The Blues	Danny O'Keefe
Why/Lonely Boy	Donny Osmond
Speak To The Sky	Rick Springfield
Listen To The Music	The Doobie Brothers
Get On The Good Foot-Part 1	James Brown
The City Of New Orleans	Arlo Guthrie
I Can See Clearly Now	Johnny Nash
If I Could Reach You	The 5th Dimension
Witchy Woman	Eagles
Starting All Over Again	Mel And Tim
Don't Ever Be Lonely (A Poor Little Fool Like Me)	Cornelius Brothers & Sister Rose
Thunder And Lightning	Chi Coltrane
I Believe In Music	Gallery
I Am Woman	Helen Reddy
I'll Be Around	The Spinners
Midnight Rider	Joe Cocker and The Chris Stainton Band
I'd Love You To Want Me	Lobo
Loving You Just Crossed My Mind	Sam Neely
Spaceman	Nilsson
Black & White	Three Dog Night
Summer Breeze	Seals & Crofts
Back Stabbers	The O'Jays
Don't Do It	The Band
Elected	Alice Cooper
Rock Me Baby	David Cassidy
American City Suite	Cashman & West
From The Beginning	Emerson, Lake & Palmer
Play Me	Neil Diamond
Saturday In The Park	Chicago
Geronimo's Cadillac	Michael Murphey
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
A Piece Of Paper	Gladstone
Don't Hide Your Love	Cher
All The Young Dudes	Mott The Hoople
That's How Love Goes	Jermaine Jackson
Can't You Hear The Song?	Wayne Newton
Slaughter	Billy Preston
Operator (That's Not the Way it Feels)	Jim Croce
Rock 'N Roll Soul	Grand Funk Railroad
(It's The Way) Nature Planned It	Four Tops
Papa Was A Rollin' Stone	The Temptations
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
Poor Boy	Casey Kelly
A Lonely Man/The Man & The Woman (The Boy & The Girl)	The Chi-lites
Sweet Caroline (Good Times Never Seemed So Good)	Bobby Womack & Peace
Funny Face	Donna Fargo
Let It Rain	Eric Clapton
Woman Don't Go Astray	King Floyd
Guess Who/Them Changes	B.B. King
Ventura Highway	America
I'll Make You Music	Beverly Bremers
It Never Rains In Southern California	Albert Hammond
Colorado	Danny Holien
Toast To The Fool	The Dramatics
So Long Dixie	Blood, Sweat & Tears
Man Sized Job	Denise LaSalle
We Can Make It Together	Steve & Eydie Featuring The Osmonds
I'm Stone In Love With You	The Stylistics
Something's Wrong With Me	Austin Roberts
Theme From The Men	Isaac Hayes
Sunny Days	Lighthouse
If You Can Beat Me Rockin' (You Can Have My Chair)	Laura Lee
If You Let Me	Eddie Kendricks
Guilty	Al Green
Baby Sitter	Betty Wright
Why Can't We Be Lovers	Holland-Dozier
Convention '72	The Delegates
No	Bulldog
Best Thing	Styx
Wedding Song (There Is Love)	Petula Clark
Dance, Dance, Dance	The New Seekers featuring Marty Kristian
The Mosquito	The Doors
Dinah Flo	Boz Scaggs
I Love You More Than You'll Ever Know	Donny Hathaway
Together Alone	Melanie
Sunday Morning Sunshine	Harry Chapin
Crazy Horses	The Osmonds
You Ought To Be With Me	Al Green
Hey, You Love	Mouth & MacNeal
Deteriorata	National Lampoon
Down To The Nightclub	Tower Of Power
Misty Blue	Joe Simon
The People Tree	Sammy Davis, Jr. with The Mike Curb Congregation
Runnin' Back To Saskatoon	The Guess Who
Song Seller	The Raiders
What Am I Crying For?	Dennis Yost And The Classics IV
I Guess I'll Miss The Man	The Supremes
