Closer	The Chainsmokers Featuring Halsey
Heathens	twenty one pilots
Cold Water	Major Lazer Featuring Justin Bieber & MO
Let Me Love You	DJ Snake Featuring Justin Bieber
Cheap Thrills	Sia Featuring Sean Paul
Treat You Better	Shawn Mendes
Don't Let Me Down	The Chainsmokers Featuring Daya
Broccoli	D.R.A.M. Featuring Lil Yachty
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
This Is What You Came For	Calvin Harris Featuring Rihanna
Ride	twenty one pilots
Needed Me	Rihanna
Send My Love (To Your New Lover)	Adele
One Dance	Drake Featuring WizKid & Kyla
Too Good	Drake Featuring Rihanna
Gold	Kiiara
Can't Stop The Feeling!	Justin Timberlake
Side To Side	Ariana Grande Featuring Nicki Minaj
I Hate U I Love U	gnash Featuring Olivia O'Brien
Into You	Ariana Grande
Forever Country	Artists Of Then, Now & Forever
Luv	Tory Lanez
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
My Way	Calvin Harris
Hymn For The Weekend	Coldplay
This Girl	Kungs vs Cookin' On 3 Burners
Unsteady	X Ambassadors
Panda	Desiigner
Sit Still, Look Pretty	Daya
For Free	DJ Khaled Featuring Drake
Starving	Hailee Steinfeld & Grey Featuring Zedd
No Limit	Usher Featuring Young Thug
Controlla	Drake
The Greatest	Sia Featuring Kendrick Lamar
Tiimmy Turner	Desiigner
Never Be Like You	Flume Featuring Kai
Setting The World On Fire	Kenny Chesney Featuring P!nk
Just Like Fire	P!nk
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Starboy	The Weeknd Featuring Daft Punk
Work	Rihanna Featuring Drake
Perfect Illusion	Lady Gaga
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Low Life	Future Featuring The Weeknd
I Took A Pill In Ibiza	Mike Posner
7 Years	Lukas Graham
H.O.L.Y.	Florida Georgia Line
Different For Girls	Dierks Bentley Featuring Elle King
In The Name Of Love	Martin Garrix & Bebe Rexha
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
Mama Said	Lukas Graham
OOOUUU	Young M.A
It Don't Hurt Like It Used To	Billy Currington
Peter Pan	Kelsea Ballerini
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Father Stretch My Hands Pt. 1	Kanye West
Juju On That Beat (TZ Anthem)	Zay Hilfigerrr & Zayion McCall
Scars To Your Beautiful	Alessia Cara
Middle Of A Memory	Cole Swindell
Blue Ain't Your Color	Keith Urban
Money Longer	Lil Uzi Vert
Fade	Kanye West
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Rock On	Tucker Beathard
Caroline	Amine
Me Too	Meghan Trainor
I Met A Girl	William Michael Morgan
You & Me	Marc E. Bassy Featuring G-Eazy
Vice	Miranda Lambert
1 Night	Lil Yachty
Move	Luke Bryan
Make You Miss Me	Sam Hunt
I Got The Keys	DJ Khaled Featuring Jay Z & Future
May We All	Florida Georgia Line Featuring Tim McGraw
A Little More Summertime	Jason Aldean
Come And See Me	PARTYNEXTDOOR Featuring Drake
Black Beatles	Rae Sremmurd Featuring Gucci Mane
THat Part	ScHoolboy Q Featuring Kanye West
I Know Somebody	LOCASH
You Look Like I Need A Drink	Justin Moore
Sleep Without You	Brett Young
Gangsta	Kehlani
Wat U Mean (Aye, Aye, Aye)	Dae Dae
X	21 Savage & Metro Boomin Featuring Future
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
Key To The Streets	YFN Lucci Featuring Migos & Trouble
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
Hold Up	Beyonce
Purple Lamborghini	Skrillex & Rick Ross
Cancer	twenty one pilots
My PYT	Wale
You Was Right	Lil Uzi Vert
With You Tonight / Hasta El Amanecer	Nicky Jam
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Grass Ain't Greener	Chris Brown
Goosebumps	Travis Scott
No Shopping	French Montana Featuring Drake
You Don't Own Me	Grace Featuring G-Eazy
Lockjaw	French Montana Featuring Kodak Black
