Annie's Song	John Denver
Don't Let The Sun Go Down On Me	Elton John
Feel Like Makin' Love	Roberta Flack
Rikki Don't Lose That Number	Steely Dan
The Night Chicago Died	Paper Lace
The Air That I Breathe	The Hollies
Rock And Roll Heaven	The Righteous Brothers
Please Come To Boston	Dave Loggins
Call On Me	Chicago
Sideshow	Blue Magic
Waterloo	ABBA
Rock Your Baby	George McCrae
Rock The Boat	The Hues Corporation
Wildwood Weed	Jim Stafford
Keep On Smilin'	Wet Willie
Takin' Care Of Business	Bachman-Turner Overdrive
If You Talk In Your Sleep	Elvis Presley
Radar Love	Golden Earring
Tell Me Something Good	Rufus Featuring Chaka Khan
On And On	Gladys Knight And The Pips
Sure As I'm Sittin' Here	Three Dog Night
Shinin' On	Grand Funk
(You're) Having My Baby	Paul Anka with Odia Coates
Rock Me Gently	Andy Kim
You And Me Against The World	Helen Reddy
I'm Leaving It (All) Up To You	Donny & Marie Osmond
One Hell Of A Woman	Mac Davis
Machine Gun	Commodores
Hang On In There Baby	Johnny Bristol
Rub It In	Billy "Crash" Craddock
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Wild Thing	Fancy
This Heart	Gene Redding
I Shot The Sheriff	Eric Clapton
Workin' At The Car Wash Blues	Jim Croce
Fish Ain't Bitin'	Lamont Dozier
My Thang	James Brown
Then Came You	Dionne Warwicke & Spinners
Nothing From Nothing	Billy Preston
Kung Fu	Curtis Mayfield
River's Risin'	Edgar Winter
If You Love Me (let Me Know)	Olivia Newton-John
Happiness Is Just Around The Bend	The Main Ingredient
You Won't See Me	Anne Murray
Come Monday	Jimmy Buffett
Put Out The Light	Joe Cocker
Clap For The Wolfman	The Guess Who
Hollywood Swinging	Kool & The Gang
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
Be Thankful For What You Got	William DeVaughn
Can't Get Enough Of Your Love, Babe	Barry White
Time For Livin'	Sly & The Family Stone
Don't Knock My Love	Diana Ross & Marvin Gaye
Old Home Filler-up An' Keep On-a-truckin' Cafe	C.W. McCall
Midnight At The Oasis	Maria Muldaur
Ballero	War
Let's Put It All Together	The Stylistics
Jive Turkey (Part 1)	Ohio Players
Dancing Machine	Jackson 5
Band On The Run	Paul McCartney And Wings
Room Full Of Roses	Mickey Gilley
Don't Change Horses (In The Middle Of A Stream)	Tower Of Power
Between Her Goodbye And My Hello	Gladys Knight And The Pips
You're Welcome, Stop On By	Bobby Womack
Beach Baby	First Class
Sundown	Gordon Lightfoot
Kalimba Story	Earth, Wind & Fire
You Make Me Feel Brand New	The Stylistics
Rings	Lobo
You Can't Be A Beacon (if Your Light Don't Shine)	Donna Fargo
Sugar Baby Love	The Rubettes
Sweet Home Alabama	Lynyrd Skynyrd
I'm Coming Home	The Spinners
Secretary	Betty Wright
Already Gone	Eagles
Who Do You Think You Are	Bo Donaldson And The Heywoods
Free Man In Paris	Joni Mitchell
It's Better To Have (and Don't Need)	Don Covay
If You Wanna Get To Heaven	Ozark Mountain Daredevils
The Streak	Ray Stevens
Walk On	Neil Young
That's Not How It Goes	Bloodstone
Dance Master Pt. 1	Willie Henderson
Moonlight Special	Ray Stevens
Eyes Of Silver	The Doobie Brothers
Live It Up Part 1	The Isley Brothers
Train Of Thought	Cher
Get Out Of Denver	Bob Seger
It Could Have Been Me	Sami Jo
Rings	Reuben Howell
Ma! (He's Making Eyes At Me)	Lena Zavaroni
La Grange	ZZ Top
You Haven't Done Nothin	Stevie Wonder
It's Only Rock 'N Roll (But I Like It)	The Rolling Stones
Wombling Summer Party	The Wombles
I Love My Friend	Charlie Rich
You Turned My World Around	Frank Sinatra
Makin' The Best Of A Bad Situation	Dick Feller
The Man That Turned My Mama On	Tanya Tucker
Another Saturday Night	Cat Stevens
