Believe	Cher
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Every Morning	Sugar Ray
What's It Gonna Be?!	Busta Rhymes Featuring Janet
I Still Believe	Mariah Carey
Kiss Me	Sixpence None The Richer
Angel Of Mine	Monica
No Scrubs	TLC
All Night Long	Faith Evans Featuring Puff Daddy
All I Have To Give	Backstreet Boys
Stay The Same	Joey McIntyre
Angel	Sarah McLachlan
Slide	Goo Goo Dolls
...Baby One More Time	Britney Spears
If You (Lovin' Me)	Silk
When I Close My Eyes	Shanice
C'est La Vie	B*Witched
Hard Knock Life (Ghetto Anthem)	JAY-Z
The Animal Song	Savage Garden
Sweet Lady	Tyrese
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
You	Jesse Powell
Have You Ever?	Brandy
(God Must Have Spent) A Little More Time On You	'N Sync
Save Tonight	Eagle-Eye Cherry
I'm Not Ready	Keith Sweat
Ex-Factor	Lauryn Hill
Nobody's Supposed To Be Here	Deborah Cox
Fly Away	Lenny Kravitz
What It's Like	Everlast
Back 2 Good	matchbox 20
How Forever Feels	Kenny Chesney
Faded Pictures	Case & Joe
We Like To Party!	Vengaboys
Miami	Will Smith
My Name Is	Eminem
When A Woman's Fed Up	R. Kelly
Jumper	Third Eye Blind
You Got Me	The Roots Featuring Erykah Badu
Written In The Stars	Elton John & LeAnn Rimes
Meanwhile	George Strait
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
You Were Mine	Dixie Chicks
I'll Think Of A Reason Later	Lee Ann Womack
Ordinary Life	Chad Brock
I Don't Want To Miss A Thing	Mark Chesnutt
I'm Your Angel	R. Kelly & Celine Dion
Lullaby	Shawn Mullins
What's So Different	Ginuwine
Doo Wop (That Thing)	Lauryn Hill
Girlfriend/Boyfriend	BLACKstreet With Janet
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
I Can't Get Over You	Brooks & Dunn
Anywhere	112 Featuring Lil'z
My First Night With You	Mya
Busy Man	Billy Ray Cyrus
Powerful Thing	Trisha Yearwood
Wish You Were Here	Mark Wills
Drive Me Wild	Sawyer Brown
The Hardest Thing	98 Degrees
Praise You	Fatboy Slim
Nann	Trick Daddy Featuring Trina
Gone Crazy	Alan Jackson
Taking Everything	Gerald Levert
Stand Beside Me	Jo Dee Messina
Georgy Porgy	Eric Benet Featuring Faith Evans
Blue Monday	Orgy
One More Try	Divine
Unbelievable	Diamond Rio
One	Creed
Love Ain't Like That	Faith Hill
Anyone Else	Collin Raye
Heavy	Collective Soul
No Place That Far	Sara Evans
Hold On To Me	John Michael Montgomery
Hands Of A Working Man	Ty Herndon
You Get What You Give	New Radicals
Run	Collective Soul
You Won't Ever Be Lonely	Andy Griggs
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
Hillbilly Shoes	Montgomery Gentry
Life	K-Ci & JoJo
That Don't Impress Me Much	Shania Twain
Crush	Dave Matthews Band
Woof	Snoop Dogg Featuring Mystikal And Fiend
Get Involved	Raphael Saadiq & Q-Tip
Nas Is Like	Nas
Changes	2Pac
Two Teardrops	Steve Wariner
Special	Garbage
Watch For The Hook	Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor
Ha	Juvenile
Everytime I Cry	Terri Clark
Please Remember Me	Tim McGraw
Give It To You	Jordan Knight
Luv Me, Luv Me	Shaggy Featuring Janet
With You	Lila McCann
What'd You Come Here For?	Trina & Tamara
Holla Holla	Ja Rule
At The Stars	Better Than Ezra
