Poor Little Fool	Ricky Nelson
Nel Blu Dipinto Di Blu (Volaré)	Domenico Modugno
Patricia	Perez Prado And His Orchestra
Splish Splash	Bobby Darin
When	Kalin Twins
My True Love	Jack Scott
Hard Headed Woman	Elvis Presley With The Jordanaires
Rebel-'rouser	Duane Eddy His Twangy Guitar And The Rebels
Just A Dream	Jimmy Clanton And His Rockets
Willie And The Hand Jive	The Johnny Otis Show
Yakety Yak	The Coasters
If Dreams Came True	Pat Boone
Fever	Peggy Lee
Little Star	The Elegants
Ginger Bread	Frankie Avalon
Everybody Loves A Lover	Doris Day
One Summer Night	The Danleers
Born Too Late	Poni-Tails
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)	Patti Page
Endless Sleep	Jody Reynolds
Western Movies	The Olympics
Guess Things Happen That Way	Johnny Cash And The Tennessee Two
For Your Precious Love	Jerry Butler and The Impressions
Early In The Morning	The Rinky-Dinks
Somebody Touched Me	Buddy Knox with the Rhythm Orchids
Are You Really Mine	Jimmie Rodgers
Do You Want To Dance	Bobby Freeman
A Certain Smile	Johnny Mathis
Enchanted Island	The Four Lads
Moon Talk	Perry Como
What Am I Living For	Chuck Willis
Think It Over	The Crickets
Rock-in Robin	Bobby Day
Bird Dog	The Everly Brothers
Stupid Cupid	Connie Francis
Blue Blue Day	Don Gibson
Volare (Nel Blu Dipinto Di Blu)	Dean Martin
Chantilly Lace	Big Bopper
Angel Baby	Dean Martin
Early In The Morning	Buddy Holly
Secretly	Jimmie Rodgers
Susie Darlin'	Robin Luke
Devoted To You	The Everly Brothers
Betty Lou Got A New Pair Of Shoes	Bobby Freeman
Blue Boy	Jim Reeves
Come Closer To Me (Acercate Mas)	Nat King Cole
The Purple People Eater	Sheb Wooley
You Cheated	The Slades
Come What May	Clyde McPhatter
Itchy Twitchy Feeling	Bobby Hendricks
Alone With You	Faron Young
Summertime Blues	Eddie Cochran
Over And Over	Bobby Day
Don't Ask Me Why	Elvis Presley With The Jordanaires
The Freeze	Tony And Joe
Leroy	Jack Scott
That's How Much I Love You	Pat Boone
Drip Drop	The Drifters
No Chemise, Please	Gerry Granahan
I Wonder Why	Dion & The Belmonts
Win Your Love For Me	Sam Cooke
Crazy Eyes For You	Bobby Hamilton
Return To Me	Dean Martin
You Need Hands	Eydie Gorme
Padre	Toni Arden
High School Confidential	Jerry Lee Lewis And His Pumping Piano
Lean Jean	Bill Haley And His Comets
You're Making A Mistake	The Platters
By The Light Of The Silvery Moon	Jimmy Bowen with the Rhythm Orchids
Try The Impossible	Lee Andrews And The Hearts
Midnight	Paul Anka
Little Mary	Fats Domino
Tears On My Pillow	Little Anthony And The Imperials
Kathy-O	The Diamonds
Let's Go Steady For The Summer	The Three G's
Just Married	Marty Robbins
Jennie Lee	Jan & Arnie
Harvey's Got A Girl Friend	Royal Teens
She Was Only Seventeen (He Was One Year More)	Marty Robbins
Happy Years	The Diamonds
Young And Warm And Wonderful	Tony Bennett
Looking Back	Nat King Cole
Jealousy	Kitty Wells
You're A Sweetheart	Little Willie John
The Wizard	Jimmie Rodgers
Moonlight Bay	The Drifters
Come In Stranger	Johnny Cash And The Tennessee Two
Cerveza	Boots Brown And His Blockbusters
The Purple People Eater Meets The Witch Doctor	Joe South
Don't Go Home	The Playmates
All I Have To Do Is Dream	The Everly Brothers
La Paloma	Billy Vaughn And His Orchestra
I Believe In You	Robert & Johnny
Midnighter	The Champs
Chariot Rock	The Champs
Down In Virginia	Jimmy Reed
Sunday Barbecue	Tennessee Ernie Ford
Gotta Have Rain	Eydie Gorme
Nothing In The World	Nat King Cole
Baubles, Bangles And Beads	The Kirby Stone Four
