Smooth	Santana Featuring Rob Thomas
Back At One	Brian McKnight
I Need To Know	Marc Anthony
Mambo No. 5 (A Little Bit Of...)	Lou Bega
I Wanna Love You Forever	Jessica Simpson
My Love Is Your Love	Whitney Houston
Unpretty	TLC
Heartbreaker	Mariah Carey Featuring Jay-Z
Waiting For Tonight	Jennifer Lopez
Satisfy You	Puff Daddy Featuring R. Kelly
U Know What's Up	Donell Jones
Steal My Sunshine	Len
I Knew I Loved You	Savage Garden
Get Gone	Ideal
Where My Girls At?	702
Girl On TV	LFO
(You Drive Me) Crazy	Britney Spears
Someday	Sugar Ray
Bring It All To Me	Blaque
Scar Tissue	Red Hot Chili Peppers
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Genie In A Bottle	Christina Aguilera
I Do (Cherish You)	98 Degrees
We Can't Be Friends	Deborah Cox With R.L.
I Love You	Martina McBride
Will 2K	Will Smith Featuring K-Ci
Then The Morning Comes	Smash Mouth
Larger Than Life	Backstreet Boys
All Star	Smash Mouth
If You Love Me	Mint Condition
Stay The Night	IMx
Meet Virginia	Train
Gotta Man	Eve
She's So High	Tal Bachman
When I Said I Do	Clint Black
Hot Boyz	Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
I Want It All	Warren G Featuring Mack 10
Black Balloon	Goo Goo Dolls
Bug A Boo	Destiny's Child
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Big Deal	LeAnn Rimes
Learn To Fly	Foo Fighters
There She Goes	Sixpence None The Richer
15 Minutes	Marc Nelson
If I Could Turn Back The Hands Of Time	R. Kelly
He Didn't Have To Be	Brad Paisley
4, 5, 6	Sole Featuring JT Money & Kandi
Home To You	John Michael Montgomery
American Woman	Lenny Kravitz
Spend My Life With You	Eric Benet Featuring Tamia
Breathe	Faith Hill
She's All I Ever Had	Ricky Martin
Don't Say You Love Me	M2M
Something Like That	Tim McGraw
Vivrant Thing	Q-Tip
What Do You Say To That	George Strait
Higher	Creed
Come On Over	Shania Twain
Got Your Money	Ol' Dirty Bastard Featuring Kelis
Hanginaround	Counting Crows
Get It On Tonite	Montell Jordan
Music Of My Heart	'N Sync & Gloria Estefan
The Greatest Romance Ever Sold	Prince
All Things Considered	Yankee Grey
That's The Way It Is	Celine Dion
Shake Your Bon-Bon	Ricky Martin
Candy	Mandy Moore
24/7	Kevon Edmonds
What Do You Say	Reba
Pop A Top	Alan Jackson
What A Girl Wants	Christina Aguilera
I'm Already Taken	Steve Wariner
I'll Go Crazy	Andy Griggs
Lonely And Gone	Montgomery Gentry
The Chemicals Between Us	Bush
Got To Get It	Sisqo Featuring Make It Hot
Angels	Robbie Williams
Give You What You Want (Fa Sure)	Chico DeBarge
Cowboy Take Me Away	Dixie Chicks
Deep Inside	Mary J. Blige
The Dolphin's Cry	Live
A Man Ain't Made Of Stone	Randy Travis
Steam	Ty Herndon
Guerrilla Radio	Rage Against The Machine
My Best Friend	Tim McGraw
She Thinks My Tractor's Sexy	Kenny Chesney
The Rockafeller Skank	Fatboy Slim
Sexual (Li Da Di)	Amber
Angels Would Fall	Melissa Etheridge
What's My Age Again?	Blink-182
Take A Picture	Filter
So Anxious	Ginuwine
Still D.R.E.	Dr. Dre Featuring Snoop Dogg
NAStradamus	Nas
Cowboy	Kid Rock
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
Beauty	Dru Hill
Step To This	Master P Featuring D.I.G.
L.A. Song	Beth Hart
U Don't Know Me (Like U Used To)	Brandy
