Miss You Much	Janet Jackson
Cherish	Madonna
Girl I'm Gonna Miss You	Milli Vanilli
Love Song	The Cure
Mixed Emotions	The Rolling Stones
Sowing The Seeds Of Love	Tears For Fears
Bust A Move	Young M.C.
Heaven	Warrant
Listen To Your Heart	Roxette
It's No Crime	Babyface
Love In An Elevator	Aerosmith
If I Could Turn Back Time	Cher
When I Looked At Him	Expose
Dr. Feelgood	Motley Crue
Cover Girl	New Kids On The Block
It's Not Enough	Starship
Rock Wit'cha	Bobby Brown
Healing Hands	Elton John
18 And Life	Skid Row
Don't Look Back	Fine Young Cannibals
The Best	Tina Turner
When I See You Smile	Bad English
Partyman	Prince
(You're My One And Only) True Love	Seduction
Didn't I (Blow Your Mind)	New Kids On The Block
Love Shack	The B-52s
Call It Love	Poco
What I Like About You	Michael Morales
(It's Just) The Way That You Love Me	Paula Abdul
I Feel The Earth Move	Martika
Cold Hearted	Paula Abdul
Don't Wanna Lose You	Gloria Estefan
Glamour Boys	Living Colour
Let Go	Sharon Bryant
Poison	Alice Cooper
Angel Eyes	The Jeff Healey Band
Don't Shut Me Out	Kevin Paige
Back To Life	Soul II Soul
One	Bee Gees
Sunshine	Dino
Angelia	Richard Marx
Get On Your Feet	Gloria Estefan
Right Here Waiting	Richard Marx
Shower Me With Your Love	Surface
My Heart Skips A Beat	The Cover Girls
Blame It On The Rain	Milli Vanilli
Hangin' Tough	New Kids On The Block
Me So Horny	The 2 Live Crew
Don't Close Your Eyes	KIX
Kisses On The Wind	Neneh Cherry
Sugar Daddy	Thompson Twins
What About Me	Moving Pictures
Don't Know Much	Linda Ronstadt (Featuring Aaron Neville)
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
The Way To Your Heart	Soulsister
Talk To Myself	Christopher Williams
Runnin' Down A Dream	Tom Petty
We Didn't Start The Fire	Billy Joel
Don't Make Me Over	Sybil
Leave A Light On	Belinda Carlisle
Living In Sin	Bon Jovi
Congratulations	Vesta
I Like It	Dino
Don't Ask Me Why	Eurythmics
My Fantasy (From "Do The Right Thing")	Teddy Riley Featuring Guy
Licence To Chill	Billy Ocean
Once Bitten Twice Shy	Great White
Love Song	Tesla
The Angel Song	Great White
The Last Worthless Evening	Don Henley
I Love The Bass	Bardeux
On Our Own (From "Ghostbusters II")	Bobby Brown
Radar Love	White Lion
We Could Be Together	Debbie Gibson
Soul Provider	Michael Bolton
Hold On	Donny Osmond
Girl I Am Searching For You	Stevie B
I'm A Believer	Giant
Put Your Mouth On Me	Eddie Murphy
Baby Come To Me	Regina Belle
Puss N' Boots/These Boots (Are Made For Walkin')	Kon Kan
If You Asked Me To (From "Licence To Kill")	Patti LaBelle
Sold Me Down The River	The Alarm
I Want You	Shana
Hungry	Winger
Pump Up The Jam	Technotronic Featuring Felly
Secret Rendezvous	Karyn White
Touch The Fire	Icehouse
Talk It Over	Grayson Hugh
The End Of The Innocence	Don Henley
Love Cries	Stage Dolls
Everything	Jody Watley
Edie (Ciao Baby)	The Cult
If You Leave Me Now	Jaya
Batdance (From "Batman")	Prince
No Big Deal	Love And Rockets
Stand Up	Underworld
Friends	Jody Watley With Eric B. & Rakim
Right Back Where We Started From	Sinitta
I Don't Want A Lover	Texas
