One More Try	Timmy T.
Someday	Mariah Carey
Coming Out Of The Dark	Gloria Estefan
This House	Tracie Spencer
Get Here	Oleta Adams
Hold You Tight	Tara Kemp
You're In Love	Wilson Phillips
I've Been Thinking About You	Londonbeat
Rescue Me	Madonna
Sadeness Part 1	Enigma
Signs	Tesla
Show Me The Way	Styx
Iesha	Another Bad Creation
All This Time	Sting
I'll Be By Your Side	Stevie B
All The Man That I Need	Whitney Houston
Rico Suave	Gerardo
Round And Round	Tevin Campbell
Where Does My Heart Beat Now	Celine Dion
I'll Do 4 U	Father M.C.
The Star Spangled Banner	Whitney Houston
Baby Baby	Amy Grant
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Around The Way Girl	LL Cool J
Mercy Mercy Me (The Ecology)/I Want You	Robert Palmer
Joyride	Roxette
Waiting For Love	Alias
Cry For Help	Rick Astley
Wicked Game	Chris Isaak
My Side Of The Bed	Susanna Hoffs
Something In My Heart	Michel'le
I Like The Way (The Kissing Game)	Hi-Five
Just The Way It Is, Baby	The Rembrandts
Touch Me (All Night Long)	Cathy Dennis
How To Dance	Bingo Boys Featuring Princessa
Here We Go	C+C Music Factory/F. Williams
Together Forever	Lisette Melendez
Ride The Wind	Poison
The First Time	Surface
Rhythm Of My Heart	Rod Stewart
Written All Over Your Face	The Rude Boys
Easy Come Easy Go	Winger
I Touch Myself	Divinyls
Call It Poison	The Escape Club
If You Needed Somebody	Bad Company
Stone Cold Gentleman	Ralph Tresvant
Let's Chill	Guy
Temple Of Love	Harriet
More Than Ever	Nelson
I'll Give All My Love To You	Keith Sweat
I Saw Red	Warrant
I Love You	Vanilla Ice
Deeper Shade Of Soul	Urban Dance Squad
All True Man	Alexander O'Neal
You Don't Have To Go Home Tonight	The Triplets
Voices That Care	Voices That Care
Chasin' The Wind	Chicago
High Enough	Damn Yankees
Save Some Love	Keedy
Funk Boutique	The Cover Girls
Highwire	The Rolling Stones
Call It Rock N' Roll	Great White
Give Peace A Chance	The Peace Choir
Love Will Never Do (Without You)	Janet Jackson
Don't Treat Me Bad	Firehouse
That's Why	The Party
Silent Lucidity	Queensryche
It's A Shame (My Sister)	Monie Love Featuring True Image
Love Makes Things Happen	Pebbles
Mother's Pride	George Michael
Disappear	INXS
She Talks To Angels	The Black Crowes
Baby's Coming Back	Jellyfish
After The Rain	Nelson
Deep, Deep Trouble	The Simpsons Featuring Bart & Homer
From A Distance	Bette Midler
I'll Never Let You Go	Steelheart
Play That Funky Music	Vanilla Ice
In Your Arms	Little Caesar
Another Sleepless Night	Shawn Christopher
More Than Words	Extreme
Another Like My Lover	Jasmine Guy
My Heart Is Failing Me	Riff
Made Up My Mind	SaFire
Heartbreak Station	Cinderella
Here Comes The Hammer	M.C. Hammer
Step On	Happy Mondays
Wrap My Body Tight	Johnny Gill
Unchained Melody	The Righteous Brothers
Oooh This I Need	Elisa Fiorillo
Do You Want Me	Salt-N-Pepa
It Never Rains (In Southern California)	Tony Toni Tone
Sure Lookin'	Donny Osmond
Waiting For That Day	George Michael
One In A Million	Trixter
Heat Of The Moment	After 7
Here I Am (Come And Take Me)	UB40
Moneytalks	AC/DC
Just Another Dream	Cathy Dennis
Secret	Heart
