Batdance (From "Batman")	Prince
On Our Own (From "Ghostbusters II")	Bobby Brown
So Alive	Love And Rockets
Right Here Waiting	Richard Marx
Toy Soldiers	Martika
Once Bitten Twice Shy	Great White
Lay Your Hands On Me	Bon Jovi
I Like It	Dino
Cold Hearted	Paula Abdul
If You Don't Know Me By Now	Simply Red
Express Yourself	Madonna
Crazy About Her	Rod Stewart
Secret Rendezvous	Karyn White
Don't Wanna Lose You	Gloria Estefan
I'm That Type Of Guy	LL Cool J
Dressed For Success	Roxette
Hangin' Tough	New Kids On The Block
Hey Baby	Henry Lee Summer
Friends	Jody Watley With Eric B. & Rakim
No More Rhyme	Debbie Gibson
The End Of The Innocence	Don Henley
Sacred Emotion	Donny Osmond
Headed For A Heartbreak	Winger
Angel Eyes	The Jeff Healey Band
Hooked On You	Sweet Sensation
What You Don't Know	Expose
Baby Don't Forget My Number	Milli Vanilli
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Who Do You Give Your Love To?	Michael Morales
Good Thing	Fine Young Cannibals
Shower Me With Your Love	Surface
18 And Life	Skid Row
Cover Of Love	Michael Damian
If I Could Turn Back Time	Cher
Me Myself And I	De La Soul
Heaven	Warrant
Miss You Like Crazy	Natalie Cole
In My Eyes	Stevie B
Talk It Over	Grayson Hugh
Buffalo Stance	Neneh Cherry
Send Me An Angel '89	Real Life
The Prisoner	Howard Jones
It Isn't, It Wasn't, It Ain't Never Gonna Be	Aretha Franklin/Whitney Houston
The Doctor	The Doobie Brothers
Soul Provider	Michael Bolton
Wind Beneath My Wings (From "Beaches")	Bette Midler
Trouble Me	10,000 Maniacs
Kisses On The Wind	Neneh Cherry
That's The Way	Katrina And The Waves
I'll Be Loving You (Forever)	New Kids On The Block
Into The Night	Benny Mardones
One	Bee Gees
Girl I'm Gonna Miss You	Milli Vanilli
Turned Away	Chuckii Booker
Satisfied	Richard Marx
Jackie Brown	John Mellencamp
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
Little Fighter	White Lion
I Drove All Night	Cyndi Lauper
Tell Me I'm Not Dreaming	Robert Palmer
Don't Say You Love Me	Billy Squier
Forget Me Not	Bad English
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Down Boys	Warrant
This Time I Know It's For Real	Donna Summer
Closer To Fine	Indigo Girls
Hey Ladies	Beastie Boys
(You're My One And Only) True Love	Seduction
Put Your Mouth On Me	Eddie Murphy
Love Has Taken Its Toll	Saraya
Right Next To Me	Whistle
My Paradise	The Outfield
Runnin' Down A Dream	Tom Petty
Come Home With Me Baby	Dead Or Alive
Pride & Passion	John Cafferty & The Beaver Brown Band
Bust A Move	Young M.C.
Joy And Pain	Rob Base & D.J. E-Z Rock
You Better Dance	The Jets
Let The Day Begin	The Call
It's Not Enough	Starship
Every Little Step	Bobby Brown
Smooth Up	BulletBoys
Forever Your Girl	Paula Abdul
Nature Of Love	Waterfront
Fire Woman	The Cult
And The Night Stood Still	Dion
Love Cries	Stage Dolls
Gypsy Road	Cinderella
Comin' Down Tonight	Thirty Eight Special
Rooms On Fire	Stevie Nicks
I Won't Back Down	Tom Petty
Where Are You Now?	Jimmy Harnen With Synch
Nightrain	Guns N' Roses
Patience	Guns N' Roses
Oh Daddy	Adrian Belew
My First Night Without You	Cyndi Lauper
Gonna Make It	SaFire
Rock On (From "Dream A Little Dream")	Michael Damian
Calling It Love	Animotion
Open Letter (To A Landlord)	Living Colour
