Panda	Desiigner
One Dance	Drake Featuring WizKid & Kyla
7 Years	Lukas Graham
Purple Rain	Prince And The Revolution
I Took A Pill In Ibiza	Mike Posner
Work	Rihanna Featuring Drake
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
When Doves Cry	Prince
Pillowtalk	Zayn
Formation	Beyonce
Sorry	Beyonce
No	Meghan Trainor
Hold Up	Beyonce
Don't Let Me Down	The Chainsmokers Featuring Daya
Love Yourself	Justin Bieber
Stressed Out	twenty one pilots
Me, Myself & I	G-Eazy x Bebe Rexha
6 Inch	Beyonce Featuring The Weeknd
My House	Flo Rida
Little Red Corvette	Prince
Dangerous Woman	Ariana Grande
Needed Me	Rihanna
Kiss	Prince And The Revolution
Cake By The Ocean	DNCE
Let's Go Crazy	Prince And The Revolution
Never Forget You	Zara Larsson & MNEK
1999	Prince
Don't Hurt Yourself	Beyonce Featuring Jack White
Low Life	Future Featuring The Weeknd
Oui	Jeremih
Sorry	Justin Bieber
2 Phones	Kevin Gates
Raspberry Beret	Prince And The Revolution
Middle	DJ Snake Featuring Bipolar Sunshine
Freedom	Beyonce Featuring Kendrick Lamar
Close	Nick Jonas Featuring Tove Lo
Pray You Catch Me	Beyonce
All Night	Beyonce
I Would Die 4 U	Prince And The Revolution
Pop Style	Drake Featuring The Throne
Daddy Lessons	Beyonce
Let It Go	James Bay
Sandcastles	Beyonce
Exchange	Bryson Tiller
Stitches	Shawn Mendes
One Call Away	Charlie Puth
Love Drought	Beyonce
Roses	The Chainsmokers Featuring Rozes
Jumpman	Drake & Future
Don't	Bryson Tiller
Somewhere On A Beach	Dierks Bentley
Think Of You	Chris Young Duet With Cassadee Pope
Humble And Kind	Tim McGraw
Cheap Thrills	Sia Featuring Sean Paul
Lost Boy	Ruth B
Cut It	O.T. Genasis Featuring Young Dolph
Wild Things	Alessia Cara
Youth	Troye Sivan
The Sound Of Silence	Disturbed
Snapback	Old Dominion
Came Here To Forget	Blake Shelton
T-Shirt	Thomas Rhett
Forward	Beyonce Featuring James Blake
My Church	Maren Morris
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
Ride	twenty one pilots
Kiss It Better	Rihanna
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Mind Reader	Dustin Lynch
Back To Sleep	Chris Brown
Never Be Like You	Flume Featuring Kai
You Should Be Here	Cole Swindell
Summer Sixteen	Drake
Team	Iggy Azalea
Just Like Fire	P!nk
Really Really	Kevin Gates
Promise	Kid Ink Featuring Fetty Wap
I Like The Sound Of That	Rascal Flatts
Might Not	Belly Featuring The Weeknd
Wicked	Future
Confession	Florida Georgia Line
Father Stretch My Hands Pt. 1	Kanye West
Famous	Kanye West
Wake Up	Fetty Wap
Uber Everywhere	MadeinTYO
Body	Dreezy Featuring Jeremih
If It Ain't Love	Jason Derulo
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Head Over Boots	Jon Pardi
New Level	A$AP Ferg Featuring Future
Company	Justin Bieber
Acquainted	The Weeknd
Piece By Piece	Kelly Clarkson
Go Flex	Post Malone
Law	Yo Gotti Featuring E-40
I Hate U I Love U	gnash Featuring Olivia O'Brien
Moolah	Young Greatness
Lights Come On	Jason Aldean
That Don't Sound Like You	Lee Brice
Record Year	Eric Church
