Missing You	John Waite
Let's Go Crazy	Prince And The Revolution
She Bop	Cyndi Lauper
What's Love Got To Do With It	Tina Turner
Drive	The Cars
If This Is It	Huey Lewis & The News
The Warrior	Scandal Featuring Patty Smyth
The Glamorous Life	Sheila E.
I Just Called To Say I Love You	Stevie Wonder
Cruel Summer	Bananarama
Cover Me	Bruce Springsteen
Stuck On You	Lionel Richie
Ghostbusters	Ray Parker Jr.
Hard Habit To Break	Chicago
Dynamite	Jermaine Jackson
Lucky Star	Madonna
When You Close Your Eyes	Night Ranger
Lights Out	Peter Wolf
Torture	The Jacksons
Sunglasses At Night	Corey Hart
We're Not Gonna Take It	Twisted Sister
Caribbean Queen (No More Love On The Run)	Billy Ocean
When Doves Cry	Prince
Rock Me Tonite	Billy Squier
The Lucky One	Laura Branigan
There Goes My Baby	Donna Summer
Go Insane	Lindsey Buckingham
Are We Ourselves?	The Fixx
I'm So Excited	The Pointer Sisters
If Ever You're In My Arms Again	Peabo Bryson
Some Guys Have All The Luck	Rod Stewart
On The Dark Side	John Cafferty & The Beaver Brown Band
Bop 'til You Drop	Rick Springfield
Only When You Leave	Spandau Ballet
Swept Away	Diana Ross
Who Wears These Shoes?	Elton John
Flesh For Fantasy	Billy Idol
All Of You	Julio Iglesias & Diana Ross
Desert Moon	Dennis DeYoung
Strut	Sheena Easton
(what) In The Name Of Love	Naked Eyes
Shine Shine	Barry Gibb
Round And Round	Ratt
Blue Jean	David Bowie
You Take Me Up	Thompson Twins
The Last Time I Made Love	Joyce Kennedy & Jeffrey Osborne
I Can Dream About You	Dan Hartman
Wake Me Up Before You Go-Go	Wham!
I Feel For You	Chaka Khan
What About Me?	Kenny Rogers With Kim Carnes & James Ingram
Leave A Tender Moment Alone	Billy Joel
Better Be Good To Me	Tina Turner
A Girl In Trouble (Is A Temporary Thing)	Romeo Void
Dancing In The Dark	Bruce Springsteen
Sad Songs (say So Much)	Elton John
Right By Your Side	Eurythmics
Strung Out	Steve Perry
On The Wings Of A Nightingale	The Everly Brothers
Sexy Girl	Glenn Frey
State of Shock	The Jacksons
Body Rock	Maria Vidal
17	Rick James
What The Big Girls Do	Van Stephenson
I Can't Hold Back	Survivor
In The Name Of Love	Ralph MacDonald With Bill Withers
The More You Live, The More You Love	A Flock Of Seagulls
Just The Way You Like It	The S.O.S. Band
Left In The Dark	Barbra Streisand
Layin' It On The Line	Jefferson Starship
New Girl Now	Honeymoon Suite
Sugar Don't Bite	Sam Harris
Stranger	Stephen Stills
Two Sides Of Love	Sammy Hagar
Straight From The Heart (Into Your Life)	Coyote Sisters
High On Emotion	Chris de Burgh
Pretty Mess	Vanity
Panama	Van Halen
Bouncing Off The Wall	Matthew Wilder
Alibis	Sergio Mendes
Turn Around	Neil Diamond
Jump (for My Love)	The Pointer Sisters
Midnite Maniac	Krokus
Hold Me	Teddy Pendergrass And Whitney Houston
Cool It Now	New Edition
You, Me And He	Mtume
Yes Or No	Go-Go's
Infatuation	Rod Stewart
Don't Be My Enemy	Wang Chung
Anywhere With You	Rubber Rodeo
Bullish	Herb Alpert's Tijuana Brass
Breakin'...there's No Stopping Us	Ollie And Jerry
Self Control	Laura Branigan
Legs	ZZ Top
Borderline	Madonna
Eyes Without A Face	Billy Idol
Mama, Weer All Crazee Now	Quiet Riot
She's Mine	Steve Perry
Satisfy Me	Billy Satellite
The Only Flame In Town	Elvis Costello & The Atrractions
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
