Best Of My Love	The Emotions
Float On	The Floaters
Don't Stop	Fleetwood Mac
Keep It Comin' Love	KC And The Sunshine Band
Strawberry Letter 23	The Brothers Johnson
I Just Want To Be Your Everything	Andy Gibb
Telephone Line	Electric Light Orchestra
Star Wars Theme/Cantina Band	Meco
That's Rock 'N' Roll	Shaun Cassidy
Cold As Ice	Foreigner
Handy Man	James Taylor
Nobody Does It Better	Carly Simon
On And On	Stephen Bishop
Swayin' To The Music (slow Dancin')	Johnny Rivers
Boogie Nights	Heatwave
I Feel Love	Donna Summer
Don't Worry Baby	B.J. Thomas
Way Down	Elvis Presley
Brick House	Commodores
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
You Light Up My Life	Debby Boone
It Was Almost Like A Song	Ronnie Milsap
Signed, Sealed, Delivered (I'm Yours)	Peter Frampton
Jungle Love	The Steve Miller Band
Smoke From A Distant Fire	The Sanford/Townsend Band
Heaven On The 7th Floor	Paul Nicholas
The Greatest Love Of All	George Benson
The King Is Gone	Ronnie McDowell
Daytime Friends	Kenny Rogers
How Much Love	Leo Sayer
Cat Scratch Fever	Ted Nugent
Just Remember I Love You	Firefall
Surfin' USA	Leif Garrett
I Believe You	Dorothy Moore
Another Star	Stevie Wonder
Star Wars (Main Title)	London Symphony Orchestra
Help Is On Its Way	Little River Band
Don't It Make My Brown Eyes Blue	Crystal Gayle
She Did It	Eric Carmen
I Wouldn't Want To Be Like You	Alan Parsons
It's Ecstasy When You Lay Down Next To Me	Barry White
Easy	Commodores
Just A Song Before I Go	Crosby, Stills & Nash
Dusic	Brick
Sunshine	Enchantment
Barracuda	Heart
I Go Crazy	Paul Davis
Give A Little Bit	Supertramp
We Just Disagree	Dave Mason
Hard Rock Cafe	Carole King
Christine Sixteen	KISS
Black Betty	Ram Jam
Do Ya Wanna Get Funky With Me	Peter Brown
Look What You've Done To My Heart	Marilyn McCoo & Billy Davis Jr.
It's In His Kiss (The Shoop Shoop Song)	Kate Taylor
Devil's Gun	C.J. & Company
I Just Want To Make Love To You	Foghat
Hound Dog Man (Play It Again)	Lenny LeBlanc
The Martian Boogie	Brownsville Station
O-H-I-O	Ohio Players
Hold On	Wild Cherry
Silver Lady	David Soul
Edge Of The Universe	Bee Gees
Blue Bayou	Linda Ronstadt
Dog Days	Atlanta Rhythm Section
I Believe In Love	Kenny Loggins
We're All Alone	Rita Coolidge
My Fair Share	Seals & Crofts
Good Morning Judge	10cc
Baby, What A Big Surprise	Chicago
Changes In Latitudes, Changes In Attitudes	Jimmy Buffett
Baby Love	Mother's Finest
Do Your Dance - Part 1	Rose Royce
My Own Way To Rock	Burton Cummings
Can't You See	The Marshall Tucker Band
Needles And Pins	Smokie
A Place In The Sun	Pablo Cruise
Little Queen	Heart
Love Me One More Time (Just For Old Times Sake)	Karen Nelson And Billy T
Doctor Love	First Choice
Sheena Is A Punk Rocker	The Ramones
Does She Do It Like She Dances	Addrisi Brothers
How Deep Is Your Love	Bee Gees
You Made Me Believe In Magic	Bay City Rollers
Love Gun	KISS
You Can't Turn Me Off (In The Middle Of Turning Me On)	High Inergy
Whatcha Gonna Do?	Pablo Cruise
Send In The Clowns	Judy Collins
Come Sail Away	Styx
Ten To Eight	David Castle
Some Enchanted Evening	Jane Olivor
Hold Tight	Vicki Sue Robinson
Indian Summer	Poco
So You Win Again	Hot Chocolate
A Real Mother For Ya	Johnny Guitar Watson
I'm In You	Peter Frampton
You're My World	Helen Reddy
I've Never Been To Me	Charlene
The Right Feeling At The Wrong Time	Hot
Da Doo Ron Ron	Shaun Cassidy
