The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Circles	Post Malone
Memories	Maroon 5
Dance Monkey	Tones And I
Someone You Loved	Lewis Capaldi
Roxanne	Arizona Zervas
10,000 Hours	Dan + Shay & Justin Bieber
Don't Start Now	Dua Lipa
Everything I Wanted	Billie Eilish
Lose You To Love Me	Selena Gomez
Ballin'	Mustard & Roddy Ricch
BOP	DaBaby
Yummy	Justin Bieber
Blinding Lights	The Weeknd
Good As Hell	Lizzo
Heartless	The Weeknd
The Bones	Maren Morris
Hot Girl Bummer	blackbear
Godzilla	Eminem Featuring Juice WRLD
High Fashion	Roddy Ricch Featuring Mustard
No Guidance	Chris Brown Featuring Drake
Adore You	Harry Styles
Woah	Lil Baby
Bad Guy	Billie Eilish
HIGHEST IN THE ROOM	Travis Scott
Falling	Trevor Daniel
Senorita	Shawn Mendes & Camila Cabello
What A Man Gotta Do	Jonas Brothers
You Should Be Sad	Halsey
My Oh My	Camila Cabello Featuring DaBaby
Trampoline	SHAED
I Do It	Lil Wayne Featuring Big Sean & Lil Baby
Kinfolks	Sam Hunt
Truth Hurts	Lizzo
One Man Band	Old Dominion
Only Human	Jonas Brothers
Sucker	Jonas Brothers
Suicidal	YNW Melly & Juice WRLD
I Don't Care	Ed Sheeran & Justin Bieber
Juicy	Doja Cat & Tyga
Tusa	Karol G & Nicki Minaj
Even Though I'm Leaving	Luke Combs
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Bandit	Juice WRLD & YoungBoy Never Broke Again
Sum 2 Prove	Lil Baby
Hot	Young Thug Featuring Gunna
Heartache Medication	Jon Pardi
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
Only The Young	Taylor Swift
Homesick	Kane Brown
BEST ON EARTH	Russ & BIA
I Hope	Gabby Barrett Featuring Charlie Puth
Slide	H.E.R. Featuring YG
Heart On Ice	Rod Wave
Anyone	Demi Lovato
Out West	JACKBOYS Featuring Young Thug
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
B.I.T.C.H.	Megan Thee Stallion
Physical	Dua Lipa
Mahogany	Lil Wayne
Nobody But You	Blake Shelton Duet With Gwen Stefani
VIBEZ	DaBaby
What She Wants Tonight	Luke Bryan
Make Me Want To	Jimmie Allen
P*$$y Fairy (OTW)	Jhene Aiko
Say So	Doja Cat Featuring Nicki Minaj
I Wish Grandpas Never Died	Riley Green
King Of My City	A Boogie Wit da Hoodie
Futsal Shuffle 2020	Lil Uzi Vert
More Hearts Than Mine	Ingrid Andress
We Back	Jason Aldean
Letter To Nipsey	Meek Mill Featuring Roddy Ricch
SUGAR	BrockHampton
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
I Hope You're Happy Now	Carly Pearce & Lee Brice
Ridin' Roads	Dustin Lynch
No Idea	Don Toliver
Before You Go	Lewis Capaldi
Make No Sense	YoungBoy Never Broke Again
Homemade	Jake Owen
Good News	Mac Miller
Start Wit Me	Roddy Ricch & Gunna
Vete	Bad Bunny
Chasin' You	Morgan Wallen
homecoming queen?	Kelsea Ballerini
Mama Mia	Lil Wayne
Funeral	Lil Wayne
Nice To Meet Ya	Meghan Trainor Featuring Nicki Minaj
Slow Dance In A Parking Lot	Jordan Davis
Come Thru	Summer Walker & Usher
Jerry Sprunger	Tory Lanez & T-Pain
Get Me	Justin Bieber Featuring Kehlani
Catch	Brett Young
Dive Bar	Garth Brooks & Blake Shelton
Easy	DaniLeigh Featuring Chris Brown
Rare	Selena Gomez
U Played	MoneyBagg Yo Featuring Lil Baby
Camelot	NLE Choppa
ORANGE SODA	Baby Keem
