I Can Help	Billy Swan
Kung Fu Fighting	Carl Douglas
When Will I See You Again	The Three Degrees
Do It ('til You're Satisfied)	B.T. Express
Longfellow Serenade	Neil Diamond
Everlasting Love	Carl Carlton
My Melody Of Love	Bobby Vinton
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Cat's In The Cradle	Harry Chapin
Angie Baby	Helen Reddy
Wishing You Were Here	Chicago
I've Got The Music In Me	The Kiki Dee Band
Sha-La-La (Make Me Happy)	Al Green
Back Home Again	John Denver
Junior's Farm/Sally G	Paul McCartney And Wings
You Got The Love	Rufus Featuring Chaka Khan
You're The First, The Last, My Everything	Barry White
Promised Land	Elvis Presley
Touch Me	Fancy
Fairytale	The Pointer Sisters
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
After The Goldrush	Prelude
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Laughter In The Rain	Neil Sedaka
Tin Man	America
Woman To Woman	Shirley Brown
Ain't Too Proud To Beg	The Rolling Stones
Fire, Baby I'm On Fire	Andy Kim
The Need To Be	Jim Weatherly
Must Of Got Lost	The J. Geils Band
Let's Straighten It Out	Latimore
Willie And The Hand Jive	Eric Clapton
Jazzman	Carole King
Only You	Ringo Starr
Life Is A Rock (But The Radio Rolled Me)	Reunion
Three Ring Circus	Blue Magic
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Boogie On Reggae Woman	Stevie Wonder
Whatever You Got, I Want	Jackson 5
Bungle In The Jungle	Jethro Tull
Ride 'em Cowboy	Paul Davis
Rockin' Soul	The Hues Corporation
Dream On	The Righteous Brothers
Never Can Say Goodbye	Gloria Gaynor
The Heartbreak Kid	Bo Donaldson And The Heywoods
So You Are A Star	The Hudson Brothers
Mandy	Barry Manilow
Lucy In The Sky With Diamonds	Elton John
People Gotta Move	Gino Vannelli
You And I	Johnny Bristol
Heavy Fallin' Out	The Stylistics
Morning Side Of The Mountain	Donny & Marie Osmond
Dark Horse	George Harrison
La La Peace Song	Al Wilson
Without Love	Aretha Franklin
Please Mr. Postman	Carpenters
Dancin' Fool	The Guess Who
Black Lassie (Featuring Johnny Stash)	Cheech & Chong
Love Don't Love Nobody - Pt. I	The Spinners
Someday	Dave Loggins
Sugar Pie Guy Pt. 1	The Joneses
Funky President (People It's Bad)/Coldblooded	James Brown
Nobody	The Doobie Brothers
Carefree Highway	Gordon Lightfoot
You Haven't Done Nothin	Stevie Wonder
Play Something Sweet (Brickyard Blues)	Three Dog Night
You Can Have Her	Sam Neely
I'll Be Your Everything	Percy Sledge
She's Gone	Tavares
Mississippi Cotton Picking Delta Town	Charley Pride
The Black-Eyed Boys	Paper Lace
The Bitch Is Back	Elton John
Ask Me	Ecstasy, Passion & Pain
Sexy Ida (Part 1)	Ike & Tina Turner
California My Way	The Main Ingredient
Free Bird	Lynyrd Skynyrd
Shoe Shoe Shine	Dynamic Superiors
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Doctor's Orders	Carol Douglas
Ruby, Baby	Billy "Crash" Craddock
The Entertainer	Billy Joel
Sunshine Roses	Gene Cotton
Best Of My Love	Eagles
I Feel Sanctified	Commodores
From His Woman To You	Barbara Mason
Dreams Are Ten A Penny	The First Class
I Belong To You	Love Unlimited
I Wouldn't Treat A Dog (The Way You Treated Me)	Bobby Bland
Philadelphia	B.B. King
My Eyes Adored You	Frankie Valli
Give Me A Reason To Be Gone	Maureen McGovern
Evil Boll-weevil	Grand Canyon
Early Morning Love	Sammy Johns
Let This Be A Lesson To You	The Independents
Overnight Sensation (Hit Record)	Raspberries
Do It Baby	The Miracles
Where Are All My Friends	Harold Melvin And The Blue Notes
Ride The Tiger	Jefferson Starship
U.S. Of A	Donna Fargo
Then Came You	Dionne Warwicke & Spinners
