Eye Of The Tiger	Survivor
Hurts So Good	John Cougar
Abracadabra	The Steve Miller Band
Hold Me	Fleetwood Mac
Hard To Say I'm Sorry	Chicago
Even The Nights Are Better	Air Supply
Keep The Fire Burnin'	REO Speedwagon
Vacation	Go-Go's
Wasted On The Way	Crosby, Stills & Nash
Take It Away	Paul McCartney
You Should Hear How She Talks About You	Melissa Manchester
Love Is In Control (Finger On The Trigger)	Donna Summer
Only The Lonely	The Motels
Love Will Turn You Around	Kenny Rogers
Rosanna	Toto
Jack & Diane	John Cougar
Eye In The Sky	The Alan Parsons Project
American Music	The Pointer Sisters
Think I'm In Love	Eddie Money
Who Can It Be Now?	Men At Work
Out Of Work	Gary U.S. Bonds
Let It Whip	Dazz Band
Tainted Love	Soft Cell
And I Am Telling You I'm Not Going	Jennifer Holliday
Kids In America	Kim Wilde
Don't You Want Me	The Human League
You Can Do Magic	America
If The Love Fits Wear It	Leslie Pearl
Only Time Will Tell	Asia
Blue Eyes	Elton John
Hot In The City	Billy Idol
Paperlate	Genesis
Your Imagination	Daryl Hall John Oates
Somebody's Baby	Jackson Browne
Personally	Karla Bonoff
Let Me Tickle Your Fancy	Jermaine Jackson
Route 101	Herb Alpert
Someday, Someway	Marshall Crenshaw
I Really Don't Need No Light	Jeffrey Osborne
Let Me Go	Ray Parker Jr.
Do You Wanna Touch Me (Oh Yeah)	Joan Jett & the Blackhearts
Love Or Let Me Be Lonely	Paul Davis
Words	Missing Persons
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
I Ran (So Far Away)	A Flock Of Seagulls
Valley Girl	Frank Zappa
Gloria	Laura Branigan
I'm The One	Roberta Flack
What's Forever For	Michael Murphey
Never Been In Love	Randy Meisner
Hold On	Santana
Should I Stay Or Should I Go	The Clash
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Workin' For A Livin'	Huey Lewis & The News
Make Believe	Toto
Oh Julie	Barry Manilow
She Got The Goldmine (i Got The Shaft)	Jerry Reed
Hot Fun In The Summertime	Dayton
Themes From E.T. (The Extra-Terrestrial)	Walter Murphy
Calling All Girls	Queen
I Will Always Love You	Dolly Parton
Sara	Bill Champlin
Still In The Game	Steve Winwood
Now Or Never	Axe
Love Plus One	Haircut One Hundred
Let It Be Me	Willie Nelson
I Only Want To Be With You	Nicolette Larson
Emotions In Motion	Billy Squier
You Keep Runnin' Away	38 Special
Night Shift	Quarterflash
Voyeur	Kim Carnes
You Dropped A Bomb On Me	The Gap Band
Love's Been A Little Bit Hard On Me	Juice Newton
Break It To Me Gently	Juice Newton
Luanne	Foreigner
Do I Do	Stevie Wonder
Holdin' On	Tane Cain
Seasons Of The Heart	John Denver
How Can I Live Without Her	Christopher Atkins
Johnny Can't Read	Don Henley
Your Daddy Don't Know	Toronto
In The Driver's Seat	John Schneider
Jump To It	Aretha Franklin
He Got You	Ronnie Milsap
Right Away	Kansas
Don't Run My Life	Spys
The One You Love	Glenn Frey
Steppin' Out	Joe Jackson
Up Where We Belong	Joe Cocker And Jennifer Warnes
He Could Be The One	Josie Cotton
I Found Somebody	Glenn Frey
What Kind Of Fool Am I	Rick Springfield
Enough Is Enough	April Wine
Caught Up In You	38 Special
Still They Ride	Journey
Early In The Morning	The Gap Band
Why	Carly Simon
Foolin' Yourself	Aldo Nova
Going To A Go-Go	The Rolling Stones
Hooked On Swing	Larry Elgart And His Manhattan Swing Orchestra
