Jump	Kris Kross
My Lovin' (You're Never Gonna Get It)	En Vogue
Under The Bridge	Red Hot Chili Peppers
Live And Learn	Joe Public
Baby Got Back	Sir Mix-A-Lot
In The Closet	Michael Jackson
Damn I Wish I Was Your Lover	Sophie B. Hawkins
Ain't 2 Proud 2 Beg	TLC
Bohemian Rhapsody	Queen
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
If You Asked Me To	Celine Dion
I'll Be There	Mariah Carey
Everything About You	Ugly Kid Joe
One	U2
Thought I'd Died And Gone To Heaven	Bryan Adams
Hold On My Heart	Genesis
Achy Breaky Heart	Billy Ray Cyrus
Tennessee	Arrested Development
Let's Get Rocked	Def Leppard
Hazard	Richard Marx
Just Take My Heart	Mr. Big
Make It Happen	Mariah Carey
The Best Things In Life Are Free	Luther Vandross And Janet Jackson With BBD And Ralph Tresvant
You Won't See Me Cry	Wilson Phillips
I Will Remember You	Amy Grant
Will You Marry Me?	Paula Abdul
Slow Motion	Color Me Badd
Do It To Me	Lionel Richie
Just Another Day	Jon Secada
Nu Nu	Lidell Townsell
Come & Talk To Me	Jodeci
Lift Me Up	Howard Jones
Silent Prayer	Shanice
Not The Only One	Bonnie Raitt
Everything Changes	Kathy Troccoli
Money Don't Matter 2 Night	Prince And The N.P.G.
I'm The One You Need	Jody Watley
T.L.C.	Linear
Masterpiece	Atlantic Starr
Wishing On A Star	The Cover Girls
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
High	The Cure
Life Is A Highway	Tom Cochrane
I Can't Dance	Genesis
Why Me Baby?	Keith Sweat
Beauty And The Beast	Celine Dion And Peabo Bryson
To Be With You	Mr. Big
Remember The Time	Michael Jackson
Good For Me	Amy Grant
Take Time	Chris Walker
Your Song	Rod Stewart
Smells Like Nirvana	"Weird Al" Yankovic
Come As You Are	Nirvana
They Want EFX	Das EFX
Please Don't Go	Boyz II Men
Innocent Child	Colourhaus
Anything At All	Mitch Malloy
You Think You Know Her	Cause And Effect
Maria	TKA
Human Touch/Better Days	Bruce Springsteen
Love Me	Tracie Spencer
3-2-1 Pump	Redhead Kingpin & The F.B.I.
Just For Tonight	Vanessa Williams
The Choice Is Yours	Black Sheep
What Goes Around Comes Around	Giggles
Closer To Me	The Outfield
We Got A Love Thang	CeCe Peniston
Never Satisfied	Good 2 Go
Helluva	Brotherhood Creed
Nothing Else Matters	Metallica
Don't Be Afraid	Aaron Hall
Fall In Love Again	Eddie Money
All Woman	Lisa Stansfield
This Is The Last Time	Laura Enea
Everything's Gonna Be Alright	Naughty By Nature
Why	Annie Lennox
Love You All My Lifetime	Chaka Khan
Sometimes I Rhyme Slow	Nice & Smooth
Keep On Walkin'	CeCe Peniston
Thinkin' Back	Color Me Badd
If You Want It	2nd II None
Boom! I Got Your Boyfriend	MC Luscious
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Goodbye	Tevin Campbell
Take My Advice	Kym Sims
This Is The Way We Roll	M.C. Hammer
Missing You Now	Michael Bolton
Don't Talk Just Kiss	Right Said Fred
She's Got That Vibe	R. Kelly & Public Announcement
I Wanna Rock	Luke
James Brown Is Dead	L.A. Style
Mama, I'm Coming Home	Ozzy Osbourne
Set Me Free	Clubland Featuring Zemya Hamilton
Justified And Ancient	The KLF Featuring Tammy Wynette
You Showed Me	Salt-N-Pepa
Victim Of The Ghetto	The College Boyz
Honey Love	R. Kelly & Public Announcement
Can't Cry Hard Enough	The Williams Brothers
Bad Bad Boys	Midi Maxi & Efti
