Happy	Pharrell Williams
All Of Me	John Legend
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
Let It Go	Idina Menzel
Pompeii	Bastille
Team	Lorde
Counting Stars	OneRepublic
The Man	Aloe Blacc
Drunk In Love	Beyonce Featuring Jay Z
Timber	Pitbull Featuring Ke$ha
Best Day Of My Life	American Authors
Show Me	Kid Ink Featuring Chris Brown
Story Of My Life	One Direction
Turn Down For What	DJ Snake & Lil Jon
#SELFIE	The Chainsmokers
Say Something	A Great Big World & Christina Aguilera
Let Her Go	Passenger
Hey Brother	Avicii
Burn	Ellie Goulding
Wake Me Up!	Avicii
The Monster	Eminem Featuring Rihanna
Animals	Martin Garrix
Demons	Imagine Dragons
Royals	Lorde
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Not A Bad Thing	Justin Timberlake
Bottoms Up	Brantley Gilbert
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Na Na	Trey Songz
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Paranoid	Ty Dolla $ign Featuring B.o.B
Radioactive	Imagine Dragons
Can't Remember To Forget You	Shakira Featuring Rihanna
Doin' What She Likes	Blake Shelton
Neon Lights	Demi Lovato
Partition	Beyonce
Roar	Katy Perry
La La La	Naughty Boy Featuring Sam Smith
Drink To That All Night	Jerrod Niemann
Cop Car	Keith Urban
I Hold On	Dierks Bentley
Wrecking Ball	Miley Cyrus
Hold On, We're Going Home	Drake Featuring Majid Jordan
Give Me Back My Hometown	Eric Church
Ain't It Fun	Paramore
Stoner	Young Thug
The Worst	Jhene Aiko
Brave	Sara Bareilles
Get Me Some Of That	Thomas Rhett
Young Girls	Bruno Mars
Let It Go	Demi Lovato
Play It Again	Luke Bryan
Who Do You Love?	YG Featuring Drake
Goodnight Kiss	Randy Houser
Rewind	Rascal Flatts
19 You + Me	Dan + Shay
Human	Christina Perri
Take Me Home	Cash Cash Featuring Bebe Rexha
Magic	Coldplay
When She Says Baby	Jason Aldean
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Trophies	Young Money Featuring Drake
Mmm Yeah	Austin Mahone Featuring Pitbull
For The First Time In Forever	Kristen Bell & Idina Menzel
Man Of The Year	ScHoolboy Q
Adore You	Miley Cyrus
Drink A Beer	Luke Bryan
Summer	Calvin Harris
Classic	MKTO
See You Tonight	Scotty McCreery
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Everything I Shouldn't Be Thinking About	Thompson Square
Helluva Life	Frankie Ballard
Beat Of The Music	Brett Eldredge
Do I Wanna Know?	Arctic Monkeys
I Luh Ya Papi	Jennifer Lopez Featuring French Montana
Sleeping With A Friend	Neon Trees
Automatic	Miranda Lambert
Compass	Lady Antebellum
Headlights	Eminem Featuring Nate Ruess
Part II (On The Run)	Jay Z Featuring Beyonce
Fancy	Iggy Azalea Featuring Charli XCX
Love Is An Open Door	Kristen Bell & Santino Fontana
Love Me Again	John Newman
Invisible	Hunter Hayes
Ride	SoMo
The Walker	Fitz And The Tantrums
Lettin' The Night Roll	Justin Moore
On Top Of The World	Imagine Dragons
Red Lights	Tiesto
Oceans (Where Feet May Fail)	Hillsong UNITED
Wild Wild Love	Pitbull Featuring G.R.L.
Odio	Romeo Santos Featuring Drake
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Lookin' For That Girl	Tim McGraw
Can't Raise A Man	K. Michelle
Beating Heart	Ellie Goulding
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Latch	Disclosure Featuring Sam Smith
