Like A Virgin	Madonna
The Wild Boys	Duran Duran
Out Of Touch	Daryl Hall John Oates
Sea Of Love	The Honeydrippers
Cool It Now	New Edition
We Belong	Pat Benatar
I Feel For You	Chaka Khan
No More Lonely Nights	Paul McCartney
All I Need	Jack Wagner
Valotte	Julian Lennon
Wake Me Up Before You Go-Go	Wham!
Run To You	Bryan Adams
All Through The Night	Cyndi Lauper
Born In The USA	Bruce Springsteen
You're The Inspiration	Chicago
I Can't Hold Back	Survivor
Do What You Do	Jermaine Jackson
Penny Lover	Lionel Richie
Understanding	Bob Seger
Hello Again	The Cars
I Want To Know What Love Is	Foreigner
Easy Lover	Philip Bailey With Phil Collins
Strut	Sheena Easton
Centipede	Rebbie Jackson
Jamie	Ray Parker Jr.
Walking On A Thin Line	Huey Lewis & The News
The Boys Of Summer	Don Henley
We Are The Young	Dan Hartman
Better Be Good To Me	Tina Turner
Stranger In Town	Toto
Lover Boy	Billy Ocean
I Would Die 4 U	Prince And The Revolution
Bruce	Rick Springfield
The Belle Of St. Mark	Sheila E.
Tender Years	John Cafferty & The Beaver Brown Band
Love Light In Flight	Stevie Wonder
Careless Whisper	Wham! Featuring George Michael
(Pride) In The Name Of Love	U2
Foolish Heart	Steve Perry
Neutron Dance	The Pointer Sisters
Call To The Heart	Giuffria
Method Of Modern Love	Daryl Hall John Oates
In Neon	Elton John
It Ain't Enough	Corey Hart
Solid	Ashford & Simpson
Misled	Kool & The Gang
Operator	Midnight Star
Two Tribes	Frankie Goes To Hollywood
Jungle Love	The Time
Mistake No. 3	Culture Club
Tenderness	General Public
The Heat Is On	Glenn Frey
Tonight	David Bowie
Purple Rain	Prince And The Revolution
Ti Amo	Laura Branigan
Missing You	Diana Ross
Money Changes Everything	Cyndi Lauper
Make No Mistake, He's Mine	Barbra Streisand With Kim Carnes
I Do'wanna Know	REO Speedwagon
Sugar Walls	Sheena Easton
The Old Man Down The Road	John Fogerty
Caribbean Queen (No More Love On The Run)	Billy Ocean
I Just Called To Say I Love You	Stevie Wonder
Don't Stop	Jeffrey Osborne
Do They Know It's Christmas?	Band-Aid
Had A Dream (Sleeping With The Enemy)	Roger Hodgson
Desert Moon	Dennis DeYoung
Lover Girl	Teena Marie
Catch My Fall	Billy Idol
20/20	George Benson
Big In Japan	Alphaville
Tragedy	John Hunter
Amnesia	Shalamar
Treat Her Like A Lady	The Temptations
Eat My Shorts	Rick Dees
Naughty Naughty	John Parr
Lonely School	Tommy Shaw
Eye On You	Billy Squier
Mr. Telephone Man	New Edition
All Right Now	Rod Stewart
Tears	John Waite
Hard Habit To Break	Chicago
The Greatest Gift Of All	Kenny Rogers & Dolly Parton
I Wanna Go Back	Billy Satellite
Taxi Dancing	Rick Springfield With Randy Crawford
Small Town Boy	Bronski Beat
Do It Again	The Kinks
What About Me?	Kenny Rogers With Kim Carnes & James Ingram
Turn Up The Radio	Autograph
Fools Like Me	Lorenzo Lamas
I Can't Drive 55	Sammy Hagar
The Wild Life	Bananarama
Let It All Blow	Dazz Band
Blue Jean	David Bowie
I'm So Excited	The Pointer Sisters
The War Song	Culture Club
I Need You Tonight	Peter Wolf
Hands Tied	Scandal Featuring Patty Smyth
Don't Wait For Heroes	Dennis DeYoung
Thief Of Hearts	Melissa Manchester
