Me And Mrs. Jones	Billy Paul
I Am Woman	Helen Reddy
You Ought To Be With Me	Al Green
Clair	Gilbert O'Sullivan
It Never Rains In Southern California	Albert Hammond
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
Funny Face	Donna Fargo
Papa Was A Rollin' Stone	The Temptations
You're So Vain	Carly Simon
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
I Can See Clearly Now	Johnny Nash
Superfly	Curtis Mayfield
Something's Wrong With Me	Austin Roberts
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Keeper Of The Castle	Four Tops
Sweet Surrender	Bread
Living In The Past	Jethro Tull
Corner Of The Sky	Jackson 5
Walk On Water	Neil Diamond
Ventura Highway	America
Sitting	Cat Stevens
Superstition	Stevie Wonder
Crazy Horses	The Osmonds
Summer Breeze	Seals & Crofts
Pieces Of April	Three Dog Night
I'm Stone In Love With You	The Stylistics
Don't Let Me Be Lonely Tonight	James Taylor
Long Dark Road	The Hollies
Been To Canaan	Carole King
Crocodile Rock	Elton John
I Wanna Be With You	Raspberries
Why Can't We Live Together	Timmy Thomas
Dialogue (Part I & II)	Chicago
Operator (That's Not the Way it Feels)	Jim Croce
Smoke Gets In Your Eyes	Blue Haze
Alive	Bee Gees
Oh, Babe, What Would You Say?	Hurricane Smith
Sunny Days	Lighthouse
Separate Ways	Elvis Presley
What Am I Crying For?	Dennis Yost And The Classics IV
The World Is A Ghetto	War
Hi, Hi, Hi	Wings
Angel	Rod Stewart
Do It Again	Steely Dan
You Turn Me On, I'm A Radio	Joni Mitchell
Rocky Mountain High	John Denver
Dancing In The Moonlight	King Harvest
I Didn't Know I Loved You (Till I Saw You Rock And Roll)	Gary Glitter
No	Bulldog
Trouble Man	Marvin Gaye
I Got A Bag Of My Own	James Brown
Love Jones	Brighter Side Of Darkness
Trouble In My Home/I Found My Dad	Joe Simon
I'll Be Around	The Spinners
In Heaven There Is No Beer	Clean Living
Let Us Love	Bill Withers
Harry Hippie	Bobby Womack & Peace
The Relay	The Who
Jambalaya (On The Bayou)	The Blue Ridge Rangers
Reelin' & Rockin'	Chuck Berry
You're A Lady	Peter Skellern
We Need Order	The Chi-lites
Woman To Woman	Joe Cocker and The Chris Stainton Band
I'd Love You To Want Me	Lobo
Everybody Loves A Love Song	Mac Davis
992 Arguments	The O'Jays
Daddy's Home	Jermaine Jackson
I Can't Stand To See You Cry	Smokey Robinson & The Miracles
I'll Be Your Shelter (In Time Of Storm)	Luther Ingram
Good Time Sally	Rare Earth
The Jean Genie	David Bowie
Lies	J.J. Cale
Looking Through The Eyes Of Love	The Partridge Family Starring Shirley Jones Featuring David Cassidy
I'm Never Gonna Be Alone Anymore	Cornelius Brothers & Sister Rose
Dreidel	Don McLean
Remember (Christmas)	Nilsson
You're A Lady	Dawn Featuring Tony Orlando
Daytime Night-Time	Keith Hampshire
You've Got To Take It (If You Want It)	The Main Ingredient
Anthem	Wayne Newton
Do You Want To Dance?	Bette Midler
And You And I (Part II)	Yes
I Just Want To Make Love To You	Foghat
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
Mama Weer All Crazee Now	Slade
One Way Out	The Allman Brothers Band
Silly Wasn't I	Valerie Simpson
Oh No, Not My Baby	Merry Clayton
Me And My Baby Got A Good Thing Going	Lyn Collins
You Can Do Magic	Limmie & Family Cookin'
One Last Time	Glen Campbell
Knock Knock Who's There	Mary Hopkin
Jesus Is Just Alright	The Doobie Brothers
I'm Sorry	Joey Heatherton
Didn't We	Barbra Streisand
Last Song	Edward Bear
Boogie Woogie Man	Paul Davis
What My Baby Needs Now Is A Little More Lovin'	James Brown-Lyn Collins
Choo Choo Mama	Ten Years After
The Red Back Spider	Brownsville Station
