Me And Mrs. Jones	Billy Paul
Clair	Gilbert O'Sullivan
You Ought To Be With Me	Al Green
You're So Vain	Carly Simon
It Never Rains In Southern California	Albert Hammond
Funny Face	Donna Fargo
I Am Woman	Helen Reddy
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
Superfly	Curtis Mayfield
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Keeper Of The Castle	Four Tops
Something's Wrong With Me	Austin Roberts
Living In The Past	Jethro Tull
Papa Was A Rollin' Stone	The Temptations
Sweet Surrender	Bread
Superstition	Stevie Wonder
Walk On Water	Neil Diamond
Sitting	Cat Stevens
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
Crocodile Rock	Elton John
Don't Let Me Be Lonely Tonight	James Taylor
I Can See Clearly Now	Johnny Nash
Pieces Of April	Three Dog Night
Why Can't We Live Together	Timmy Thomas
Corner Of The Sky	Jackson 5
Been To Canaan	Carole King
Hi, Hi, Hi	Wings
I Wanna Be With You	Raspberries
Summer Breeze	Seals & Crofts
Oh, Babe, What Would You Say?	Hurricane Smith
Smoke Gets In Your Eyes	Blue Haze
Long Dark Road	The Hollies
Trouble Man	Marvin Gaye
Separate Ways	Elvis Presley
The World Is A Ghetto	War
Ventura Highway	America
Do It Again	Steely Dan
I'm Stone In Love With You	The Stylistics
Crazy Horses	The Osmonds
You Turn Me On, I'm A Radio	Joni Mitchell
Rocky Mountain High	John Denver
Alive	Bee Gees
Dancing In The Moonlight	King Harvest
No	Bulldog
Harry Hippie	Bobby Womack & Peace
Love Jones	Brighter Side Of Darkness
The Relay	The Who
Dialogue (Part I & II)	Chicago
Jambalaya (On The Bayou)	The Blue Ridge Rangers
Trouble In My Home/I Found My Dad	Joe Simon
In Heaven There Is No Beer	Clean Living
Let Us Love	Bill Withers
You're A Lady	Peter Skellern
Daddy's Home	Jermaine Jackson
Reelin' & Rockin'	Chuck Berry
Operator (That's Not the Way it Feels)	Jim Croce
What Am I Crying For?	Dennis Yost And The Classics IV
Woman To Woman	Joe Cocker and The Chris Stainton Band
I Got A Bag Of My Own	James Brown
I'll Be Your Shelter (In Time Of Storm)	Luther Ingram
We Need Order	The Chi-lites
I Can't Stand To See You Cry	Smokey Robinson & The Miracles
Everybody Loves A Love Song	Mac Davis
Looking Through The Eyes Of Love	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Angel	Rod Stewart
Dreidel	Don McLean
You've Got To Take It (If You Want It)	The Main Ingredient
992 Arguments	The O'Jays
I'm Never Gonna Be Alone Anymore	Cornelius Brothers & Sister Rose
Remember (Christmas)	Nilsson
I Didn't Know I Loved You (Till I Saw You Rock And Roll)	Gary Glitter
Do You Want To Dance?	Bette Midler
Peaceful Easy Feeling	Eagles
You're A Lady	Dawn Featuring Tony Orlando
Anthem	Wayne Newton
Daytime Night-Time	Keith Hampshire
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
What My Baby Needs Now Is A Little More Lovin'	James Brown-Lyn Collins
Could It Be I'm Falling In Love	The Spinners
Last Song	Edward Bear
Don't Expect Me To Be Your Friend	Lobo
Songman	Cashman & West
Mama Weer All Crazee Now	Slade
Silly Wasn't I	Valerie Simpson
One Last Time	Glen Campbell
Lucky Man	Emerson, Lake & Palmer
Oh No, Not My Baby	Merry Clayton
Big City Miss Ruth Ann	Gallery
You Can Do Magic	Limmie & Family Cookin'
Jesus Is Just Alright	The Doobie Brothers
Jesus Was A Capricorn	Kris Kristofferson
Knock Knock Who's There	Mary Hopkin
I'm Sorry	Joey Heatherton
Boogie Woogie Man	Paul Davis
Didn't We	Barbra Streisand
Fever/My Crew	Rita Coolidge
Choo Choo Mama	Ten Years After
But I Do	Bobby Vinton
The Red Back Spider	Brownsville Station
I Never Said Goodbye	Engelbert Humperdinck
