Without Me	Halsey
Thank U, Next	Ariana Grande
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Sicko Mode	Travis Scott
High Hopes	Panic! At The Disco
Happier	Marshmello & Bastille
Girls Like You	Maroon 5 Featuring Cardi B
Drip Too Hard	Lil Baby & Gunna
ZEZE	Kodak Black Featuring Travis Scott & Offset
Better Now	Post Malone
Eastside	benny blanco, Halsey & Khalid
Wake Up In The Sky	Gucci Mane X Bruno Mars X Kodak Black
Wow.	Post Malone
Youngblood	5 Seconds Of Summer
Mo Bamba	Sheck Wes
Breathin	Ariana Grande
Money	Cardi B
Lucid Dreams	Juice WRLD
Taki Taki	DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
MIA	Bad Bunny Featuring Drake
Going Bad	Meek Mill Featuring Drake
Leave Me Alone	Flipp Dinero
Trip	Ella Mai
Speechless	Dan + Shay
Natural	Imagine Dragons
I Like It	Cardi B, Bad Bunny & J Balvin
Love Lies	Khalid & Normani
Beautiful	Bazzi Featuring Camila Cabello
Shallow	Lady Gaga & Bradley Cooper
Better	Khalid
She Got The Best Of Me 	Luke Combs
Baby Shark	Pinkfong
Close To Me	Ellie Goulding X Diplo Featuring Swae Lee
You Say	Lauren Daigle
Uproar	Lil Wayne
A Lot	21 Savage
Best Shot	Jimmie Allen
Swervin	A Boogie Wit da Hoodie Featuring 6ix9ine
Drunk Me	Mitchell Tenpenny
Be Alright	Dean Lewis
Sweet But Psycho	Ava Max
Sixteen	Thomas Rhett
Talk To Me	Tory Lanez & Rich The Kid
Backin' It Up	Pardison Fontaine Featuring Cardi B
Burning Man	Dierks Bentley Featuring Brothers Osborne
Dangerous	Meek Mill Featuring Jeremih & PnB Rock
Good Girl	Dustin Lynch
Beautiful Crazy	Luke Combs
Nothing Breaks Like A Heart	Mark Ronson Featuring Miley Cyrus
This Feeling	The Chainsmokers Featuring Kelsea Ballerini
Consequences	Camila Cabello
Girl Like You	Jason Aldean
Last Shot	Kip Moore
Look Back At It	A Boogie Wit da Hoodie
Arms Around You	XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
Armed And Dangerous	Juice WRLD
This Is It	Scotty McCreery
Calling My Spirit	Kodak Black
You	Jacquees
No Stylist	French Montana Featuring Drake
Startender	A Boogie Wit da Hoodie Featuring Offset & Tyga
Electricity	Silk City x Dua Lipa
Imagine	Ariana Grande
Ella Quiere Beber	Anuel AA & Romeo Santos
Can't Leave Without It	21 Savage
Envy Me	Calboy
Smile (Living My Best Life)	Lil' Duval Featuring Snoop Dogg & Ball Greezy
When The Party's Over	Billie Eilish
Millionaire	Chris Stapleton
BAD!	XXXTENTACION
Lost In Japan	Shawn Mendes X Zedd
Pure Cocaine	Lil Baby
Lovely	Billie Eilish & Khalid
Fine China	Future & Juice WRLD
Take It From Me	Jordan Davis
What Makes You Country	Luke Bryan
Yosemite	Travis Scott
Monster	21 Savage
Blue Tacoma	Russell Dickerson
Down To The Honkytonk	Jake Owen
Close Friends	Lil Baby
Love Someone	Lukas Graham
Love Wins	Carrie Underwood
KIKA	6ix9ine Featuring Tory Lanez
Nuketown	Ski Mask The Slump God Featuring Juice WRLD
Ruin My Life	Zara Larsson
Body	Loud Luxury Featuring Brando
Dip	Tyga & Nicki Minaj
Good Form	Nicki Minaj Featuring Lil Wayne
Demons And Angels	A Boogie Wit da Hoodie Featuring Juice WRLD
Here Tonight	Brett Young
Burn Out	Midland
Solo de Mi	Bad Bunny
Lucky You	Eminem Featuring Joyner Lucas
Roses	benny blanco & Juice WRLD Featuring Brendon Urie
whoa (mind in awe)	XXXTENTACION
All My Friends	21 Savage
Make It Sweet	Old Dominion
Ocean Eyes	Billie Eilish
idontwannabeyouanymore	Billie Eilish
