Sleep Walk	Santo & Johnny
The Three Bells	The Browns
I'm Gonna Get Married	Lloyd Price
('til) I Kissed You	The Everly Brothers
Sea Of Love	Phil Phillips With The Twilights
Red River Rock	Johnny And The Hurricanes
Mack The Knife	Bobby Darin
Broken-Hearted Melody	Sarah Vaughan
I Want To Walk You Home	Fats Domino
Put Your Head On My Shoulder	Paul Anka
Kissin' Time	Bobby Rydell
Poison Ivy	The Coasters
Morgen	Ivo Robic and The Song-Masters
Just Ask Your Heart	Frankie Avalon
Teen Beat	Sandy Nelson
Mr. Blue	The Fleetwoods
Primrose Lane	Jerry Wallace With The Jewels
Baby Talk	Jan & Dean
The Battle Of Kookamonga	Homer And Jethro
Hey Little Girl	Dee Clark
What'd I Say (Part I & II)	Ray Charles and his Orchestra
Lavender-Blue	Sammy Turner
Makin' Love	Floyd Robinson
The Three Bells (The Jimmy Brown Story)	Dick Flood
I Loves You, Porgy	Nina Simone
I Ain't Never	Webb Pierce
Thank You Pretty Baby	Brook Benton
Mary Lou	Ronnie Hawkins and The Hawks
Battle Hymn Of The Republic	The Mormon Tabernacle Choir
It Was I	Skip And Flip
Caribbean	Mitchell Torok
What A Diff'rence A Day Makes	Dinah Washington
My Own True Love	Jimmy Clanton
There Goes My Baby	The Drifters
The Angels Listened In	The Crests
I'm Gonna Be A Wheel Some Day	Fats Domino
You're Gonna Miss Me	Connie Francis
I'm A Hog For You	The Coasters
What Is Love?	The Playmates
A Worried Man	The Kingston Trio
Lonely Street	Andy Williams
A Big Hunk O' Love	Elvis Presley With The Jordanaires
I Got Stripes	Johnny Cash
Robbin' The Cradle	Tony Bellus
My Heart Is An Open Book	Carl Dobkins, Jr.
Okefenokee	Freddie Cannon
The Mummy	Bob McFadden And Dor
Fools Hall Of Fame	Pat Boone
My Wish Came True	Elvis Presley With The Jordanaires
Come On And Get Me	Fabian
Mona Lisa	Conway Twitty
See You In September	The Tempos
I've Been There	Tommy Edwards
Johnny Reb	Johnny Horton
So High So Low	LaVern Baker
The Caterpillar Crawl	The Strangers
You Were Mine	Fireflies
Deck Of Cards	Wink Martindale
You Better Know It	Jackie Wilson
Midnight Flyer	Nat King Cole
Like I Love You	Edd Byrnes and Friend
Got The Feeling	Fabian
Somethin Else	Eddie Cochran
High Hopes	Frank Sinatra "and a bunch of kids"
True True Happiness	Johnny Tillotson
Forty Miles Of Bad Road	Duane Eddy And The Rebels
On An Evening In Roma	Dean Martin
Here Comes Summer	Jerry Keller
Where	The Platters
Ski King	E.C. Beatty
Say Man	Bo Diddley
Linda Lu	Ray Sharpe
Every Little Thing I Do	Dion & The Belmonts
Don't You Know	Della Reese
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
Five Feet High And Rising	Johnny Cash
Wish It Were Me	The Platters
Sweeter Than You	Ricky Nelson
Boogie Bear	Boyd Bennett
Love Potion No. 9	The Clovers
I'll Never Fall In Love Again	Johnnie Ray
Shout - Part 1	The Isley Brothers
Smile	Tony Bennett
With Open Arms	Jane Morgan
Till There Was You	Anita Bryant
Just As Much As Ever	Bob Beckham
Leave My Kitten Alone	Little Willie John
Tucumcari	Jimmie Rodgers
The Shape I'm In	Johnny Restivo
Two Fools	Frankie Avalon
Sal's Got A Sugar Lip	Johnny Horton
Just A Little Too Much	Ricky Nelson
Suzie Baby	Bobby Vee and The Shadows
Six Boys And Seven Girls	Anita Bryant
The Way I Walk	Jack Scott
Angel Face	Jimmy Darren
Small World	Johnny Mathis
Plenty Good Lovin'	Connie Francis
In The Mood	Ernie Fields & Orch.
Chapel Of Dreams	The Dubs
