Open Your Heart	Madonna
At This Moment	Billy Vera & The Beaters
Livin' On A Prayer	Bon Jovi
Change Of Heart	Cyndi Lauper
Touch Me (I Want Your Body)	Samantha Fox
Land Of Confusion	Genesis
Keep Your Hands To Yourself	The Georgia Satellites
Someday	Glass Tiger
Will You Still Love Me?	Chicago
We're Ready	Boston
C'est La Vie	Robbie Nevil
Ballerina Girl	Lionel Richie
Shake You Down	Gregory Abbott
Love You Down	Ready For The World
Jacob's Ladder	Huey Lewis & The News
Control	Janet Jackson
You Got It All	The Jets
Nobody's Fool	Cinderella
Stop To Love	Luther Vandross
This Is The Time	Billy Joel
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
Big Time	Peter Gabriel
Talk To Me	Chico DeBarge
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Stay The Night	Benjamin Orr
Respect Yourself	Bruce Willis
I'll Be Alright Without You	Journey
Jimmy Lee	Aretha Franklin
Victory	Kool & The Gang
Walk Like An Egyptian	The Bangles
Can't Help Falling In Love	Corey Hart
I Wanna Go Back	Eddie Money
Brand New Lover	Dead Or Alive
Is This Love	Survivor
Mandolin Rain	Bruce Hornsby & The Range
Let's Wait Awhile	Janet Jackson
Facts Of Love	Jeff Lorber & Karyn White
Notorious	Duran Duran
Caught Up In The Rapture	Anita Baker
Without Your Love	Toto
Candy	Cameo
Nothing's Gonna Stop Us Now	Starship
Let's Go!	Wang Chung
Come Go With Me	Expose
Coming Around Again	Carly Simon
We Connect	Stacey Q
As We Lay	Shirley Murdock
The Final Countdown	Europe
Everybody Have Fun Tonight	Wang Chung
Falling In Love (Uh-Oh)	Miami Sound Machine
Don't Need A Gun	Billy Idol
Don't Dream It's Over	Crowded House
All I Wanted	Kansas
That Ain't Love	REO Speedwagon
The Way It Is	Bruce Hornsby & The Range
Stand By Me	Ben E. King
Shelter	Lone Justice
Don't Leave Me This Way	The Communards
Fire	Bruce Springsteen
Girlfriend	Bobby Brown
I Need Your Loving	The Human League
You Be Illin'	Run-D.M.C.
Midnight Blue	Lou Gramm
Someone Like You	Daryl Hall
Skin Trade	Duran Duran
Coming Up Close	'Til Tuesday
If I Say Yes	Five Star
Big Mistake	Peter Cetera
For Tonight	Nancy Martinez
Cry Wolf	a-ha
War	Bruce Springsteen
Hooked On You	Sweet Sensation
The Honeythief	Hipsway
What You Get Is What You See	Tina Turner
Deep River Woman	Lionel Richie
The Best Man In The World	Ann Wilson
Don't Get Me Wrong	Pretenders
Someone	El DeBarge
You Give Love A Bad Name	Bon Jovi
All I Want	Howard Jones
Ain't So Easy	David & David
The Next Time I Fall	Peter Cetera With Amy Grant
Love Is Forever	Billy Ocean
My Baby	Pretenders
Suburbia	Pet Shop Boys
Kiss You (When It's Dangerous)	Eight Seconds
Stone Love	Kool & The Gang
Smoking Gun	The Robert Cray Band
(I Know) I'm Losing You	Uptown
Summertime, Summertime	Nocera
Make It Mean Something	Rob Jungklas
Hold Me	Sheila E.
Ronnies Rapp	Ron And The D.C. Crew
A Trick Of The Night	Bananarama
The Finer Things	Steve Winwood
Have You Ever Loved Somebody	Freddie Jackson
Crazay	Jesse Johnson (Featuring Sly Stone)
True To You	Ric Ocasek
Two People	Tina Turner
The Future's So Bright, I Gotta Wear Shades	Timbuk 3
