Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
You Are Not Alone	Michael Jackson
Runaway	Janet Jackson
Kiss From A Rose	Seal
Waterfalls	TLC
Only Wanna Be With You	Hootie & The Blowfish
As I Lay Me Down	Sophie B. Hawkins
Brokenhearted	Brandy
I Can Love You Like That	All-4-One
Carnival	Natalie Merchant
Tell Me	Groove Theory
Roll To Me	Del Amitri
Run-Around	Blues Traveler
I Got 5 On It	Luniz
Back For Good	Take That
I'll Be There For You/This House Is Not A Home	The Rembrandts
Boombastic/In The Summertime	Shaggy
I Hate U	Prince
He's Mine	MoKenStef
1st Of Tha Month	Bone Thugs-N-Harmony
Name	Goo Goo Dolls
Don't Take It Personal (Just One Of Dem Days)	Monica
December	Collective Soul
Sugar Hill	AZ
Do You Sleep?	Lisa Loeb & Nine Stories
Who Can I Run To	Xscape
Can I Touch You...There?	Michael Bolton
How High (From "The Show")	Redman/Method Man
Let Me Be The One	Blessid Union Of Souls
'Til You Do Me Right	After 7
I Wish	Skee-Lo
Pretty Girl	Jon B
Someone To Love	Jon B. Featuring Babyface
Comedown	Bush
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Every Little Thing I Do	Soul For Real
Breakfast At Tiffany's	Deep Blue Something
Water Runs Dry	Boyz II Men
One More Chance/Stay With Me	The Notorious B.I.G.
I Like It, I Love It	Tim McGraw
Brown Sugar	D'Angelo
Player's Anthem	Junior M.A.F.I.A.
Sentimental	Deborah Cox
Macarena (Bayside Boys Mix)	Los Del Rio
Feel The Funk (From "Dangerous Minds")	Immature
Let Her Cry	Hootie & The Blowfish
Downtown Venus	P.M. Dawn
Shy Guy (From "Bad Boys")	Diana King
I Know	Dionne Farris
You Used To Love Me	Faith Evans
Good	Better Than Ezra
Throw Your Set In The Air	Cypress Hill
Heaven	Solo
Freek'n You	Jodeci
Vibin'	Boyz II Men
MC's Act Like They Don't Know	KRS-One
I Wanna B With U	Fun Factory
Summertime In The LBC (From "The Show")	The Dove Shack
Anything	3T
Real Hip Hop	Das EFX
Somethin' 4 Da Honeyz	Montell Jordan
Come And Get Your Love	Real McCoy
Incarcerated Scarfaces/Ice Cream	Raekwon
A Mover La Colita	Artie The 1 Man Party
Crazy Cool	Paula Abdul
Best Friend	Brandy
Can't Cry Anymore	Sheryl Crow
Missing	Everything But The Girl
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Come With Me	Shai
Danger	Blahzay Blahzay
Boom Boom Boom	The Outhere Brothers
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
Rock And Roll Is Dead	Lenny Kravitz
Lie To Me/Something For The Pain	Bon Jovi
Temptations	2Pac
Molly (Sixteen Candles)	Sponge
Hook	Blues Traveler
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
Cell Therapy	Goodie Mob
Feel Me Flow	Naughty By Nature
Runaway	The Corrs
Sittin' On Chrome	Masta Ace Incorporated
Walk In The Sun	Bruce Hornsby
I Love You/You Bring Me Joy	Mary J. Blige
Somebody's Crying	Chris Isaak
This Ain't A Love Song	Bon Jovi
West Up!	WC & The Maad Circle
Magic Carpet Ride	The Mighty Dub Katz
Feels So Good	Xscape
The Hearts Filthy Lesson	David Bowie
Tonight's The Night	BLACKstreet
Solitude	Edwin McCain
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
We Must Be In Love	Pure Soul
On The Down Low	Brian McKnight
One Boy, One Girl	Collin Raye
Send Me On My Way	Rusted Root
Round & Round	Twinz
