Duke Of Earl	Gene Chandler
The Wanderer	Dion
Norman	Sue Thompson
The Twist	Chubby Checker
Hey! Baby	Bruce Channel
Break It To Me Gently	Brenda Lee
Peppermint Twist - Part I	Joey Dee & the Starliters
Crying In The Rain	The Everly Brothers
Dear Lady Twist	Gary U.S. Bonds
A Little Bitty Tear	Burl Ives
Chip Chip	Gene McDaniels
Can't Help Falling In Love	Elvis Presley With The Jordanaires
Cotton Fields	The Highwaymen
Baby It's You	The Shirelles
I Know (You Don't Love Me No More)	Barbara George
Midnight In Moscow	Kenny Ball and his Jazzmen
Let Me In	The Sensations
Tuff	Ace Cannon
Percolator (Twist)	Billy Joe & The Checkmates
I'm Blue (The Gong-Gong Song)	The Ikettes
Her Royal Majesty	James Darren
The Cajun Queen	Jimmy Dean
Don't Break The Heart That Loves You	Connie Francis
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
My Boomerang Won't Come Back	Charlie Drake
What's Your Name	Don & Juan
Shadrack	Brook Benton
She's Everything (I Wanted You To Be)	Ral Donner
To A Sleeping Beauty	Jimmy Dean
Irresistible You	Bobby Darin
Surfer's Stomp	The Marketts
Town Without Pity	Gene Pitney
Twistin' The Night Away	Sam Cooke
The Greatest Hurt	Jackie Wilson
What's So Good About Good-by	The Miracles
She's Got You	Patsy Cline
Letter Full Of Tears	Gladys Knight And The Pips
Chattanooga Choo Choo	Floyd Cramer
The Lion Sleeps Tonight	The Tokens
I'll See You In My Dreams	Pat Boone
Drums Are My Beat	Sandy Nelson
Moon River	Henry Mancini And His Orchestra
Afrikaan Beat	Bert Kaempfert And His Orchestra
Twistin' Postman	The Marvelettes
Where Have All The Flowers Gone	The Kingston Trio
Hey, Let's Twist	Joey Dee & the Starliters
Multiplication	Bobby Darin
Lost Someone	James Brown And The Famous Flames
Run To Him	Bobby Vee
He Knows I Love Him Too Much	The Paris Sisters
That's My Pa	Sheb Wooley
(Do The New) Continental	The Dovells
Dream Baby (How Long Must I Dream)	Roy Orbison
When I Fall In Love	The Lettermen
Cry To Me	Solomon Burke
Jamie	Eddie Holland
Lizzie Borden	The Chad Mitchell Trio
Come Back Silly Girl	The Lettermen
B'wa Nina (Pretty Girl)	The Tokens
If You Gotta Make A Fool Of Somebody	James Ray
Ecstasy	Ben E. King
My Melancholy Baby	The Marcels
Our Anniversary	Shep And The Limelites
You Win Again	Fats Domino
Dreamy Eyes	Johnny Tillotson
(I've Got) Bonnie	Bobby Rydell
Let Me Call You Sweetheart	Timi Yuro
So Deep	Brenda Lee
Pop-Eye	Huey Smith
Blue Water Line	The Brothers Four
Walk On The Wild Side	Brook Benton
Bandit Of My Dreams	Eddie Hodges
Tears And Laughter	Dinah Washington
Yessiree	Linda Scott
The Birth Of The Beat	Sandy Nelson
Midnight	Johnny Gibson
Oliver Twist	Rod McKuen
Bermuda	Linda Scott
Lose Her	Bobby Rydell
Yes Indeed	Pete Fountain
Please Don't Ask About Barbara	Bobby Vee
Pictures In The Fire	Pat Boone
Cry Baby Cry	The Angels
Love Letters	Ketty Lester
Love Me Warm And Tender	Paul Anka
Something's Got A Hold On Me	Etta James
You Better Move On	Arthur Alexander
Shimmy, Shimmy Walk, Part 1	The Megatons
Love Is The Sweetest Thing	Saverio Saridis
Surfin	The Beach Boys
It's Magic	The Platters
I Can't Say Goodbye	Bobby Vee
I Surrender, Dear	Aretha Franklin
When My Little Girl Is Smiling	The Drifters
Joey Baby	Anita & Th' So-And-So's
The White Rose Of Athens	David Carroll And His Orchestra
Aw Shucks, Hush Your Mouth	Jimmy Reed
The Ballad Of Thunder Road	Robert Mitchum
Popeye Joe	Ernie K-Doe
Dear One	Larry Finnegan
