Happy	Pharrell Williams
All Of Me	John Legend
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
Let It Go	Idina Menzel
Pompeii	Bastille
Team	Lorde
Counting Stars	OneRepublic
The Man	Aloe Blacc
Turn Down For What	DJ Snake & Lil Jon
Best Day Of My Life	American Authors
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Timber	Pitbull Featuring Ke$ha
Not A Bad Thing	Justin Timberlake
Show Me	Kid Ink Featuring Chris Brown
Hey Brother	Avicii
Drunk In Love	Beyonce Featuring Jay Z
Story Of My Life	One Direction
Say Something	A Great Big World & Christina Aguilera
#SELFIE	The Chainsmokers
Let Her Go	Passenger
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Animals	Martin Garrix
Bottoms Up	Brantley Gilbert
Wake Me Up!	Avicii
Play It Again	Luke Bryan
Burn	Ellie Goulding
Na Na	Trey Songz
Demons	Imagine Dragons
The Monster	Eminem Featuring Rihanna
Royals	Lorde
Human	Christina Perri
La La La	Naughty Boy Featuring Sam Smith
Ain't It Fun	Paramore
Partition	Beyonce
Drink To That All Night	Jerrod Niemann
Neon Lights	Demi Lovato
Give Me Back My Hometown	Eric Church
Radioactive	Imagine Dragons
Doin' What She Likes	Blake Shelton
My Hitta	YG Featuring Jeezy & Rich Homie Quan
19 You + Me	Dan + Shay
Paranoid	Ty Dolla $ign Featuring B.o.B
Cop Car	Keith Urban
Can't Remember To Forget You	Shakira Featuring Rihanna
The Worst	Jhene Aiko
Classic	MKTO
Get Me Some Of That	Thomas Rhett
Roar	Katy Perry
Rewind	Rascal Flatts
Mmm Yeah	Austin Mahone Featuring Pitbull
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Stoner	Young Thug
Goodnight Kiss	Randy Houser
Trophies	Young Money Featuring Drake
Fancy	Iggy Azalea Featuring Charli XCX
Wild Wild Love	Pitbull Featuring G.R.L.
Automatic	Miranda Lambert
Who Do You Love?	YG Featuring Drake
She Looks So Perfect	5 Seconds Of Summer
Let It Go	Demi Lovato
Beat Of The Music	Brett Eldredge
For The First Time In Forever	Kristen Bell & Idina Menzel
Sleeping With A Friend	Neon Trees
Me And My Broken Heart	Rixton
Magic	Coldplay
I Hold On	Dierks Bentley
Stay With Me	Sam Smith
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Man Of The Year	ScHoolboy Q
When She Says Baby	Jason Aldean
Summer	Calvin Harris
Headlights	Eminem Featuring Nate Ruess
Lettin' The Night Roll	Justin Moore
Red Lights	Tiesto
John Doe	B.o.B Featuring Priscilla
Do I Wanna Know?	Arctic Monkeys
The Walker	Fitz And The Tantrums
Empire	Shakira
Take Me Home	Cash Cash Featuring Bebe Rexha
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Invisible	Hunter Hayes
Part II (On The Run)	Jay Z Featuring Beyonce
Beachin'	Jake Owen
Lookin' For That Girl	Tim McGraw
On Top Of The World	Imagine Dragons
Whiskey In My Water	Tyler Farr
Helluva Life	Frankie Ballard
Adore You	Miley Cyrus
Latch	Disclosure Featuring Sam Smith
Ride	SoMo
Love Is An Open Door	Kristen Bell & Santino Fontana
Oceans (Where Feet May Fail)	Hillsong UNITED
Beating Heart	Ellie Goulding
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Slow Me Down	Sara Evans
Young Girls	Bruno Mars
Come With Me Now	KONGOS
Odio	Romeo Santos Featuring Drake
Everything I Shouldn't Be Thinking About	Thompson Square
