I'm Too Sexy	Right Said Fred
I Love Your Smile	Shanice
Don't Let The Sun Go Down On Me	George Michael/Elton John
Diamonds And Pearls	Prince And The N.P.G.
All 4 Love	Color Me Badd
Smells Like Teen Spirit	Nirvana
Can't Let Go	Mariah Carey
To Be With You	Mr. Big
Finally	CeCe Peniston
Tell Me What You Want Me To Do	Tevin Campbell
Mysterious Ways	U2
The Way I Feel About You	Karyn White
Remember The Time	Michael Jackson
2 Legit 2 Quit	M.C. Hammer
Black Or White	Michael Jackson
Vibeology	Paula Abdul
Good For Me	Amy Grant
Keep It Comin'	Keith Sweat
I Can't Make You Love Me	Bonnie Raitt
Addams Groove	M.C. Hammer
No Son Of Mine	Genesis
Set Adrift On Memory Bliss	P.M. Dawn
I'll Get By	Eddie Money
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
Uhh Ahh	Boyz II Men
Masterpiece	Atlantic Starr
Missing You Now	Michael Bolton
Hearts Don't Think (They Feel)	Natural Selection
I've Got A Lot To Learn About Love	The Storm
Wildside	Marky Mark & The Funky Bunch
Broken Arrow	Rod Stewart
There Will Never Be Another Tonight	Bryan Adams
Live And Let Die	Guns N' Roses
Is It Good To You	Heavy D & The Boyz
Love Me All Up	Stacy Earl
That's What Love Is For	Amy Grant
Paper Doll	P.M. Dawn
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
On A Sunday Afternoon	Lighter Shade Of Brown
Live For Loving You	Gloria Estefan
Too Blind To See It	Kym Sims
When A Man Loves A Woman	Michael Bolton
I Can't Dance	Genesis
In My Dreams	The Party
Keep Coming Back	Richard Marx
Stay	Jodeci
The Unforgiven	Metallica
Forever My Lady	Jodeci
I Wanna Be Your Girl	Icy Blu
Until Your Love Comes Back Around	RTZ
Move Any Mountain	The Shamen
What Becomes Of The Brokenhearted	Paul Young
Justified And Ancient	The KLF Featuring Tammy Wynette
Kiss You Back	Digital Underground
Blowing Kisses In The Wind	Paula Abdul
Mind Playing Tricks On Me	Geto Boys
Oochie Coochie	M.C. Brains
Send Me An Angel	Scorpions
Thinkin' Back	Color Me Badd
Change	Lisa Stansfield
Angel Baby	Angelica
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
You Showed Me	Salt-N-Pepa
Save The Best For Last	Vanessa Williams
Spending My Time	Roxette
Ain't Gonna Hurt Nobody	Kid 'N Play
Cream	Prince And The N.P.G.
Home Sweet Home	Motley Crue
Tender Kisses	Tracie Spencer
Save Up All Your Tears	Cher
I Want You	Jody Watley
Beauty And The Beast	Celine Dion And Peabo Bryson
Again Tonight	John Mellencamp
In Paradise	Laissez Faire
We Got A Love Thang	CeCe Peniston
Street Of Dreams	Nia Peeples
You Are The One	Chris Cuevas
Stars	Simply Red
Blinded By Love	Rhythm Syndicate
Too Much Passion	The Smithereens
Tears In Heaven	Eric Clapton
Hold On (Tighter To Love)	Clubland
Whispers	Corina
The Rush	Luther Vandross
Everlasting Love	Tony Terry
Within My Heart	Voyce
All She Wrote	Firehouse
What Goes Around Comes Around	Giggles
There's No Other Way	Blur
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Boom! I Got Your Boyfriend	MC Luscious
Everything's Gonna Be Alright	Naughty By Nature
The Comfort Zone	Vanessa Williams
A Day In My Life (Without You)	Lisette Melendez
Top Of The World	Van Halen
Can't Cry Hard Enough	The Williams Brothers
Right Now	Van Halen
Cold Shower	Erin Cruise
I'll Take You There	BeBe & CeCe Winans Featuring Mavis Staples
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
