Believe	Cher
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Angel Of Mine	Monica
I Still Believe	Mariah Carey
Angel	Sarah McLachlan
All I Have To Give	Backstreet Boys
Kiss Me	Sixpence None The Richer
No Scrubs	TLC
Every Morning	Sugar Ray
Nobody's Supposed To Be Here	Deborah Cox
...Baby One More Time	Britney Spears
Slide	Goo Goo Dolls
You	Jesse Powell
(God Must Have Spent) A Little More Time On You	'N Sync
Have You Ever?	Brandy
I'm Not Ready	Keith Sweat
Stay The Same	Joey McIntyre
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
All Night Long	Faith Evans Featuring Puff Daddy
Hard Knock Life (Ghetto Anthem)	JAY-Z
Save Tonight	Eagle-Eye Cherry
If You (Lovin' Me)	Silk
Faded Pictures	Case & Joe
Sweet Lady	Tyrese
Miami	Will Smith
Ex-Factor	Lauryn Hill
How Forever Feels	Kenny Chesney
The Animal Song	Savage Garden
Written In The Stars	Elton John & LeAnn Rimes
Jumper	Third Eye Blind
Fly Away	Lenny Kravitz
When A Woman's Fed Up	R. Kelly
Back 2 Good	matchbox 20
What It's Like	Everlast
Taking Everything	Gerald Levert
I Don't Want To Miss A Thing	Mark Chesnutt
My Name Is	Eminem
Meanwhile	George Strait
You Were Mine	Dixie Chicks
Lullaby	Shawn Mullins
I'm Your Angel	R. Kelly & Celine Dion
You Got Me	The Roots Featuring Erykah Badu
C'est La Vie	B*Witched
Doo Wop (That Thing)	Lauryn Hill
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Hands	Jewel
We Like To Party!	Vengaboys
Busy Man	Billy Ray Cyrus
These Are The Times	Dru Hill
When You Believe	Whitney Houston & Mariah Carey
I'll Think Of A Reason Later	Lee Ann Womack
Powerful Thing	Trisha Yearwood
Ordinary Life	Chad Brock
No Place That Far	Sara Evans
I Can't Get Over You	Brooks & Dunn
Unbelievable	Diamond Rio
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
You Get What You Give	New Radicals
What's So Different	Ginuwine
Stand Beside Me	Jo Dee Messina
Hold On To Me	John Michael Montgomery
Woof	Snoop Dogg Featuring Mystikal And Fiend
Drive Me Wild	Sawyer Brown
Somebody's Out There Watching	The Kinleys
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Wish You Were Here	Mark Wills
Girlfriend/Boyfriend	BLACKstreet With Janet
Ha	Juvenile
Keepin' Up	Alabama
Gone Crazy	Alan Jackson
Praise You	Fatboy Slim
Changes	2Pac
Love Like This	Faith Evans
Love Ain't Like That	Faith Hill
Blue Monday	Orgy
One	Creed
Run	Collective Soul
Crush	Dave Matthews Band
Anyone Else	Collin Raye
Heavy	Collective Soul
How Do I Deal	Jennifer Love Hewitt
Georgy Porgy	Eric Benet Featuring Faith Evans
At The Stars	Better Than Ezra
Take Me There	BLACKstreet & Mya Featuring Mase & Blinky Blink
Watch For The Hook	Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor
Father Of Mine	Everclear
Pretty Fly (For A White Guy)	The Offspring
Nann	Trick Daddy Featuring Trina
Nas Is Like	Nas
My First Night With You	Mya
Trippin'	Total Featuring Missy Elliott
Luv Me, Luv Me	Shaggy Featuring Janet
Fly (The Angel Song)	The Wilkinsons
Anywhere	112 Featuring Lil'z
Hands Of A Working Man	Ty Herndon
Life	K-Ci & JoJo
Home Alone	R. Kelly Featuring Keith Murray
Rosa Parks	OutKast
Never There	Cake
Sweetest Thing	U2
