Venus	Frankie Avalon
Charlie Brown	The Coasters
Alvin's Harmonica	David Seville And The Chipmunks
It's Just A Matter Of Time	Brook Benton
Tragedy	Thomas Wayne With the Delons
Come Softly To Me	The Fleetwoods
I've Had It	The Bell Notes
Stagger Lee	Lloyd Price
Never Be Anyone Else But You	Ricky Nelson
Donna	Ritchie Valens
Pink Shoe Laces	Dodie Stevens
Peter Gunn	Ray Anthony and His Orchestra
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
I Cried A Tear	LaVern Baker
Tall Paul	Annette With The Afterbeats
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
It's Late	Ricky Nelson
Please Mr. Sun	Tommy Edwards
She Say (Oom Dooby Doom)	The Diamonds
It Doesn't Matter Anymore	Buddy Holly
16 Candles	The Crests
May You Always	The McGuire Sisters
Raw-Hide	Link Wray And The Wraymen
Sea Cruise	Frankie Ford
The All American Boy	Bill Parsons
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
Since I Don't Have You	The Skyliners
I Got A Wife	The Mark IV
Lonely Teardrops	Jackie Wilson
La Bamba	Ritchie Valens
The Story Of My Love	Conway Twitty
The Morning Side Of The Mountain	Tommy Edwards
Guitar Boogie Shuffle	The Virtues
(All of a Sudden) My Heart Sings	Paul Anka
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
Tomboy	Perry Como
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
This Should Go On Forever	Rod Bernard
The Hanging Tree	Marty Robbins
Goodbye Baby	Jack Scott
Where Were You (On Our Wedding Day)?	Lloyd Price
If I Didn't Care	Connie Francis
First Anniversary	Cathy Carr
Nola	Billy Williams
Smoke Gets In Your Eyes	The Platters
No Other Arms, No Other Lips	The Chordettes
Matilda	Cookie And His Cupcakes
With The Wind And The Rain In Your Hair	Pat Boone
I Go Ape	Neil Sedaka
My Happiness	Connie Francis
Pretty Girls Everywhere	Eugene Church and The Fellows
(I'll Be With You In) Apple Blossom Time	Tab Hunter
When The Saints Go Marching In	Fats Domino
Gotta Travel On	Billy Grammer
Midnight Oil	Charlie Blackwell
Everybody Likes To Cha Cha Cha	Sam Cooke
The Happy Organ	Dave "Baby" Cortez
I'm Never Gonna Tell	Jimmie Rodgers
Telling Lies	Fats Domino
Heavenly Lover	Teresa Brewer
There Must Be A Way	Joni James
Plain Jane	Bobby Darin
Nola	The Morgan Brothers
(Now and Then There's) A Fool Such As I	Elvis Presley With The Jordanaires
Yea - Yea (Class Cutter)	Dale Hawkins
Sorry (I Ran All The Way Home)	The Impalas
Moonlight Serenade	The Rivieras
Don't Take Your Guns To Town	Johnny Cash
Manhattan Spiritual	Reg Owen & His Orchestra
Blah, Blah, Blah	Nicola Paone
The Answer To A Maiden's Prayer	June Valli
The Tijuana Jail	The Kingston Trio
Fried Eggs	The Intruders
Ballad Of A Girl And Boy	Graduates
The Little Space Girl	Jesse Lee Turner
As Time Goes By	Johnny Nash
A Lover's Question	Clyde McPhatter
Come To Me	Marv Johnson
Wishful Thinking	Little Anthony And The Imperials
Come Softly To Me	Ronnie Height
The Beat	The Rockin R's
Record Hop Blues	The Quarter Notes
Hurtin' Inside	Brook Benton
Shirley	John Fred And The Playboys
Tell Him No	Travis & Bob
Nobody But You	Dee Clark
Teardrops On Your Letter	Hank Ballard And The Midnighters
Ambrose (Part Five)	Linda Laurie
I Kneel At Your Throne	Joe Medlin
Because You're Young	Jimmie Rodgers
For A Penny	Pat Boone
The Shag (Is Totally Cool)	Billy Graves
Enchanted	The Platters
Lovers Never Say Goodbye	The Flamingos
Jimmy Kiss And Run	Diane Maxwell
Six Nights A Week	The Crests
That's Why (I Love You So)	Jackie Wilson
Someone	Johnny Mathis
Tell Him No	Dean & Marc
Sweet Annie Laurie	Sammy Turner and The Twisters
