The First Night	Monica
One Week	Barenaked Ladies
How Deep Is Your Love	Dru Hill Featuring Redman
Crush	Jennifer Paige
I Don't Want To Miss A Thing	Aerosmith
Lately	Divine
Because Of You	98 Degrees
This Kiss	Faith Hill
I'll Be	Edwin McCain
My Little Secret	Xscape
Touch It	Monifah
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
Westside	TQ
The Power Of Good-Bye	Madonna
When The Lights Go Out	Five
Too Close	Next
Nobody's Supposed To Be Here	Deborah Cox
I Still Love You	Next
Never Ever	All Saints
My Way	Usher
Time After Time	Inoj
You're Still The One	Shania Twain
Just The Two Of Us	Will Smith
The Boy Is Mine	Brandy & Monica
Love Me	112 Featuring Mase
Daydreamin'	Tatyana Ali
Truly Madly Deeply	Savage Garden
All The Places (I Will Kiss You)	Aaron Hall
I Can Do That	Montell Jordan
Adia	Sarah McLachlan
Splackavellie	Pressha
So Into You	Tamia
Thinkin' Bout It	Gerald Levert
Lookin' At Me	Mase Featuring Puff Daddy
Still A G Thang	Snoop Dogg
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
All My Life	K-Ci & JoJo
Movin' On	Mya Featuring Silkk The Shocker
SuperThug (What What)	Noreaga
Wherever You Go	Voices Of Theory
Still Not A Player	Big Punisher Featuring Joe
I Don't Want To Wait	Paula Cole
Friend Of Mine	Kelly Price
Say It	Voices Of Theory
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
How's It Going To Be	Third Eye Blind
Together Again	Janet
Pushin' Weight	Ice Cube Featuring Mr. Short Khop
Intergalactic	Beastie Boys
I Had No Right	P.M. Dawn
Cruel Summer	Ace Of Base
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Everything's Gonna Be Alright	Sweetbox
Perfect	The Smashing Pumpkins
Nobody Else	Tyrese
Shimmer	Fuel
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
Ray Of Light	Madonna
Whatcha Wanna Do?	Mia X Featuring Charlie Wilson
Lost In Love	Nastyboy Klick
26 Cents	The Wilkinsons
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Don't Let It Go To Your Head	Brand Nubian
Invasion Of The Flat Booty B*****s	Too $hort
Better Days	WC Featuring Jon B.
No Fool No More	En Vogue
Come With Me	Puff Daddy Featuring Jimmy Page
Ooh La La	Rod Stewart
Yesterday	Debelah Morgan
Music Sounds Better With You	Stardust
Money Ain't A Thang	JD Featuring Jay-Z
Only When I Lose Myself	Depeche Mode
Landslide	Fleetwood Mac
Can't We Try	Rockell [Duet With Collage]
For You I Will	Aaron Tippin
Whenever You're Near Me	Ace Of Base
How's It Goin' Down	DMX Featuring Faith Evans
The Rockafeller Skank	Fatboy Slim
Touch Me	Solo
Horse & Carriage	Cam'Ron Featuring Mase
Dr. Greenthumb	Cypress Hill
Gotta Be	Jagged Edge
If I Had The Chance	Cynthia
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
Wide Open Spaces	Dixie Chicks
Cleopatra's Theme	Cleopatra
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
A Little Past Little Rock	Lee Ann Womack
Life Ain't Easy	Cleopatra
If I Lost You	Travis Tritt
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
Let Me Return The Favor	Andrea Martin
The Street Mix	Mag 7
Woof Woof	69 Boyz
Jackie's Strength	Tori Amos
Ava Adore	The Smashing Pumpkins
I Should Cheat On You	J'Son
Nobody Does It Better	Nate Dogg Featuring Warren G
What I Didn't Know	Athenaeum
What U See Is What U Get	Xzibit
