Stagger Lee	Lloyd Price
16 Candles	The Crests
Donna	Ritchie Valens
Smoke Gets In Your Eyes	The Platters
The All American Boy	Bill Parsons
My Happiness	Connie Francis
Lonely Teardrops	Jackie Wilson
Goodbye Baby	Jack Scott
Gotta Travel On	Billy Grammer
Manhattan Spiritual	Reg Owen & His Orchestra
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
Tall Paul	Annette With The Afterbeats
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
I Cried A Tear	LaVern Baker
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
Peter Gunn	Ray Anthony and His Orchestra
A Lover's Question	Clyde McPhatter
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
(All of a Sudden) My Heart Sings	Paul Anka
Charlie Brown	The Coasters
May You Always	The McGuire Sisters
With The Wind And The Rain In Your Hair	Pat Boone
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
The Little Space Girl	Jesse Lee Turner
I've Had It	The Bell Notes
Lucky Ladybug	Billy & Lillie
The Diary	Neil Sedaka
I Got A Wife	The Mark IV
She Say (Oom Dooby Doom)	The Diamonds
Nobody But You	Dee Clark
I'm A Man	Fabian
Don't Take Your Guns To Town	Johnny Cash
There Must Be A Way	Joni James
La Bamba	Ritchie Valens
The Story Of My Love	Conway Twitty
It's Just A Matter Of Time	Brook Benton
Whole Lotta Loving	Fats Domino
Tragedy	Thomas Wayne With the Delons
Nola	Billy Williams
The Chipmunk Song	The Chipmunks With David Seville
Red River Rose	The Ames Brothers
Pretty Girls Everywhere	Eugene Church and The Fellows
To Know Him, Is To Love Him	The Teddy Bears
Love You Most Of All	Sam Cooke
Plain Jane	Bobby Darin
Don't Pity Me	Dion & The Belmonts
It's Only The Beginning	The Kalin Twins
Trust In Me	Patti Page
(I'll Be With You In) Apple Blossom Time	Tab Hunter
Blue Hawaii	Billy Vaughn And His Orchestra
Bimbombey	Jimmie Rodgers
Lovers Never Say Goodbye	The Flamingos
Venus	Frankie Avalon
First Anniversary	Cathy Carr
Good Rockin' Tonight	Pat Boone
Teasin'	Quaker City Boys
Who Cares	Don Gibson
The Girl On Page 44	The Four Lads
Try Me	James Brown And The Famous Flames
Lonesome Town	Ricky Nelson
One Night	Elvis Presley
Ambrose (Part Five)	Linda Laurie
Let's Love	Johnny Mathis
Raw-Hide	Link Wray And The Wraymen
Anthony Boy	Chuck Berry
Evening Rain	Earl Grant
Matilda	Cookie And His Cupcakes
Alright, Okay, You Win	Peggy Lee
Gazachstahagen	The Wild-Cats
Alvin's Harmonica	David Seville And The Chipmunks
Wicked Ruby	Danny Zella and his Zell Rocks
Wiggle, Wiggle	The Accents
Please Mr. Sun	Tommy Edwards
Teardrops Will Fall	Dicky Doo And The Don'ts
Are You Lonesome Tonight	Jaye P. Morgan
When The Saints Go Marching In	Fats Domino
Problems	The Everly Brothers
Rocka-Conga	The Applejacks
The Shag (Is Totally Cool)	Billy Graves
The Wedding	June Valli
Telling Lies	Fats Domino
Give Me Your Love	Nat King Cole
The Little Drummer Boy	The Harry Simeone Chorale
Raspberries, Strawberries	The Kingston Trio
Jupiter-C	Pat and the Satellites
Tom Dooley	The Kingston Trio
Miss You	Jaye P. Morgan
Nola	The Morgan Brothers
The Worryin' Kind	Tommy Sands And The Raiders
My Man	Peggy Lee
Blah, Blah, Blah	Nicola Paone
Sea Cruise	Frankie Ford
The Hanging Tree	Marty Robbins
Since I Don't Have You	The Skyliners
Midnight Oil	Charlie Blackwell
Pink Shoe Laces	Dodie Stevens
Moonlight Serenade	The Rivieras
I Don't Need You Anymore	The Teddy Bears
Madrid	Nat King Cole
I Got Stung	Elvis Presley
