Closer	The Chainsmokers Featuring Halsey
Cheap Thrills	Sia Featuring Sean Paul
Cold Water	Major Lazer Featuring Justin Bieber & MO
Heathens	twenty one pilots
This Is What You Came For	Calvin Harris Featuring Rihanna
Ride	twenty one pilots
One Dance	Drake Featuring WizKid & Kyla
Don't Let Me Down	The Chainsmokers Featuring Daya
Can't Stop The Feeling!	Justin Timberlake
Send My Love (To Your New Lover)	Adele
Needed Me	Rihanna
Treat You Better	Shawn Mendes
Into You	Ariana Grande
Too Good	Drake Featuring Rihanna
For Free	DJ Khaled Featuring Drake
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
Panda	Desiigner
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Let Me Love You	DJ Snake Featuring Justin Bieber
Never Be Like You	Flume Featuring Kai
Broccoli	D.R.A.M. Featuring Lil Yachty
Controlla	Drake
Gold	Kiiara
Just Like Fire	P!nk
Me Too	Meghan Trainor
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
I Hate U I Love U	gnash Featuring Olivia O'Brien
H.O.L.Y.	Florida Georgia Line
Luv	Tory Lanez
Don't Mind	Kent Jones
I Took A Pill In Ibiza	Mike Posner
No Limit	Usher Featuring Young Thug
Stressed Out	twenty one pilots
Hymn For The Weekend	Coldplay
Sit Still, Look Pretty	Daya
Tiimmy Turner	Desiigner
Work	Rihanna Featuring Drake
Rise	Katy Perry
7 Years	Lukas Graham
Low Life	Future Featuring The Weeknd
This Girl	Kungs vs Cookin' On 3 Burners
Gangsta	Kehlani
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Unsteady	X Ambassadors
Love Yourself	Justin Bieber
Cake By The Ocean	DNCE
Peter Pan	Kelsea Ballerini
From The Ground Up	Dan + Shay
Make You Miss Me	Sam Hunt
Make Me...	Britney Spears Featuring G-Eazy
Purple Lamborghini	Skrillex & Rick Ross
Different For Girls	Dierks Bentley Featuring Elle King
THat Part	ScHoolboy Q Featuring Kanye West
Mama Said	Lukas Graham
My PYT	Wale
You Don't Own Me	Grace Featuring G-Eazy
Setting The World On Fire	Kenny Chesney Featuring P!nk
Wicked	Future
Sorry	Beyonce
American Country Love Song	Jake Owen
Starving	Hailee Steinfeld & Grey Featuring Zedd
Money Longer	Lil Uzi Vert
Record Year	Eric Church
Come And See Me	PARTYNEXTDOOR Featuring Drake
Wat U Mean (Aye, Aye, Aye)	Dae Dae
No Shopping	French Montana Featuring Drake
Kill Em With Kindness	Selena Gomez
Vice	Miranda Lambert
She's Got A Way With Words	Blake Shelton
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
You & Me	Marc E. Bassy Featuring G-Eazy
With You Tonight / Hasta El Amanecer	Nicky Jam
Father Stretch My Hands Pt. 1	Kanye West
It Don't Hurt Like It Used To	Billy Currington
Look Alive	Rae Sremmurd
Uber Everywhere	MadeinTYO
Church Bells	Carrie Underwood
You Look Like I Need A Drink	Justin Moore
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Hit Or Miss	Jacob Sartorius
Fix	Chris Lane
Lockjaw	French Montana Featuring Kodak Black
Middle Of A Memory	Cole Swindell
Toothbrush	DNCE
Pop Style	Drake Featuring The Throne
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Duele El Corazon	Enrique Iglesias Feat. Wisin or Tinashe & Javada
Lights Come On	Jason Aldean
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
You Was Right	Lil Uzi Vert
In The Name Of Love	Martin Garrix & Bebe Rexha
1 Night	Lil Yachty
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Castaway	Zac Brown Band
No Money	Galantis
Rock On	Tucker Beathard
Wasted Time	Keith Urban
Sex With Me	Rihanna
