I Swear	All-4-One
Regulate (From "Above The Rim")	Warren G & Nate Dogg
Any Time, Any Place/And On And On	Janet Jackson
Don't Turn Around	Ace Of Base
Back & Forth	Aaliyah
I'll Remember (From "With Honors")	Madonna
You Mean The World To Me	Toni Braxton
Stay (I Missed You) (From "Reality Bites")	Lisa Loeb & Nine Stories
Baby I Love Your Way (From "Reality Bites")	Big Mountain
If You Go	Jon Secada
Can You Feel The Love Tonight (From "The Lion King")	Elton John
Anytime You Need A Friend	Mariah Carey
The Sign	Ace Of Base
Your Body's Callin'	R. Kelly
The Most Beautiful Girl In The World	Prince
Funkdafied	Da Brat
Shine	Collective Soul
Fantastic Voyage	Coolio
Return To Innocence	Enigma
Don't Take The Girl	Tim McGraw
I Miss You	Aaron Hall
Wild Night	John Mellencamp With Me'Shell Ndegeocello
Beautiful In My Eyes	Joshua Kadison
I'm Ready	Tevin Campbell
Crazy	Aerosmith
Anything (From "Above The Rim")	SWV
Always	Erasure
Misled	Celine Dion
Got Me Waiting	Heavy D & The Boyz
Bump N' Grind	R. Kelly
Come To My Window	Melissa Etheridge
I'll Take You There (From "Threesome")	General Public
Willing To Forgive	Aretha Franklin
Back In The Day	Ahmad
Moving On Up	M People
Whatta Man	Salt-N-Pepa Featuring En Vogue
Loser	Beck
Mmm Mmm Mmm Mmm	Crash Test Dummies
The Place Where You Belong (From "Beverly Hills Cop III")	Shai
Now And Forever	Richard Marx
Sweet Potatoe Pie	Domino
Prayer For The Dying	Seal
100% Pure Love	Crystal Waters
(She's) Some Kind Of Wonderful	Huey Lewis & The News
The Power Of Love	Celine Dion
Without You/Never Forget You	Mariah Carey
Pumps And A Bump	M.C. Hammer
Found Out About You	Gin Blossoms
Sending My Love	Zhane
Love Sneakin' Up On You	Bonnie Raitt
Fall Down	Toad The Wet Sprocket
When Can I See You	Babyface
Objects In The Rear View Mirror May Appear Closer Than...	Meat Loaf
Always In My Heart	Tevin Campbell
Ease My Mind	Arrested Development
Bizarre Love Triangle	FRENTE!
Selling The Drama	Live
I Need Your Love	Boston
Worker Man	Patra
And Our Feelings	Babyface
Dreams	The Cranberries
Love On My Mind	Xscape
I Wish	Gabrielle
Backwater	Meat Puppets
How Do You Like It?	Keith Sweat
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
I'm Not Over You	CeCe Peniston
Born To Roll	Masta Ace Incorporated
Maybe Love Will Change Your Mind	Stevie Nicks
(Meet) The Flintstones (From "The Flintstones")	The B.C. 52's
Crooklyn (From "Crooklyn")	The Crooklyn Dodgers
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
Take It Back	Pink Floyd
What's Up	DJ Miko
I'll Remember You	Atlantic Starr
Your Love Is So Divine	Miranda
Night In My Veins	Pretenders
Booti Call	BLACKstreet
Player's Ball	OutKast
Whenever You Come Around	Vince Gill
Closer	Nine Inch Nails
Feenin'	Jodeci
Possession	Sarah McLachlan
Indian Outlaw	Tim McGraw
Regular Thang	Ovis
Sleeping In My Car	Roxette
Girls & Boys	Blur
It's Over Now	Cause And Effect
You	Candlebox
Old To The New	Nice & Smooth
Funky Y-2-C	The Puppies
Nappy Heads	Fugees
Comin' On Strong	Sudden Change
Cleopatra's Cat	Spin Doctors
Thinkin' Problem	David Ball
Warrior's Drum	King Just
Low	Cracker
90's Girl	Blackgirl
Nuttin' But Love	Heavy D & The Boyz
The Right Kinda Lover	Patti LaBelle
