The Reflex	Duran Duran
Time After Time	Cyndi Lauper
Let's Hear It For The Boy	Deniece Williams
Dancing In The Dark	Bruce Springsteen
Self Control	Laura Branigan
The Heart Of Rock & Roll	Huey Lewis & The News
Jump (for My Love)	The Pointer Sisters
When Doves Cry	Prince
Oh, Sherrie	Steve Perry
Eyes Without A Face	Billy Idol
Borderline	Madonna
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
It's A Miracle	Culture Club
Sister Christian	Night Ranger
You Can't Get What You Want	Joe Jackson
Stay The Night	Chicago
Breakdance	Irene Cara
Hello	Lionel Richie
Legs	ZZ Top
Magic	The Cars
Who's That Girl	Eurythmics
Doctor! Doctor!	Thompson Twins
Infatuation	Rod Stewart
Modern Day Delilah	Van Stephenson
Dance Hall Days	Wang Chung
Sad Songs (say So Much)	Elton John
Run, Runaway	Slade
No Way Out	Jefferson Starship
Don't Walk Away	Rick Springfield
Breakin'...there's No Stopping Us	Ollie And Jerry
I Can Dream About You	Dan Hartman
I'll Wait	Van Halen
What Is Love	Howard Jones
Against All Odds (Take A Look At Me Now)	Phil Collins
What's Love Got To Do With It	Tina Turner
Sunglasses At Night	Corey Hart
I'm Free (Heaven Helps The Man)	Kenny Loggins
Prime Time	The Alan Parsons Project
Obscene Phone Caller	Rockwell
Farewell My Summer Love	Michael Jackson
Romancing The Stone	Eddy Grant
If Ever You're In My Arms Again	Peabo Bryson
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
Dancing In The Sheets	Shalamar
Alibis	Sergio Mendes
Ghostbusters	Ray Parker Jr.
Love Of The Common People	Paul Young
Boys Do Fall In Love	Robin Gibb
A Little Love	Juice Newton
Whisper To A Scream (Birds Fly)	Icicle Works
The Longest Time	Billy Joel
Panama	Van Halen
The First Day Of Summer	Tony Carey
She Don't Know Me	Bon Jovi
10-9-8	Face To Face
Strangers In A Strange World	Jenny Burton & Patrick Jude
My Ever Changing Moods	The Style Council
Turn To You	Go-Go's
The Ghost In You	Psychedelic Furs
Rock You Like A Hurricane	Scorpions
Love Will Show Us How	Christine McVie
So You Ran	Orion The Hunter
Head Over Heels	Go-Go's
The Lebanon	The Human League
Bringin' On The Heartbreak	Def Leppard
You Might Think	The Cars
Hold Me	Teddy Pendergrass And Whitney Houston
Round And Round	Ratt
Taking It All Too Hard	Genesis
The Moment Of Truth	Survivor
Don't Waste Your Time	Yarbrough & Peoples
Stuck On You	Lionel Richie
Break-A-Way	Tracey Ullman
Jam On It	Newcleus
Music Time	Styx
The Glamorous Life	Sheila E.
Somebody Else's Guy	Jocelyn Brown
Hold Me Now	Thompson Twins
Young Thing, Wild Dreams (Rock Me)	Red Rider
Tonight Is What It Means To Be Young	Fire Inc.
A Chance For Heaven	Christopher Cross
Footloose	Kenny Loggins
Freakshow On The Dance Floor	Bar-Kays
No More Words	Berlin
It Can Happen	Yes
When We Make Love	Alabama
Heart Don't Lie	LaToya Jackson
Simple	Johnny Mathis
Missing You	John Waite
Too Young To Fall In Love	Motley Crue
Tonight	Kool & The Gang
Believe In Me	Dan Fogelberg
Love Somebody	Rick Springfield
It's My Life	Talk Talk
South Central Rain (I'm Sorry)	R.E.M.
The Authority Song	John Cougar Mellencamp
Give Me Tonight	Shannon
White Horse	Laid Back
Wouldn't It Be Good	Nik Kershaw
Little Lady	Duke Jupiter
