Hello	Lionel Richie
Against All Odds (Take A Look At Me Now)	Phil Collins
Hold Me Now	Thompson Twins
Let's Hear It For The Boy	Deniece Williams
Love Somebody	Rick Springfield
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
You Might Think	The Cars
Footloose	Kenny Loggins
Oh, Sherrie	Steve Perry
Time After Time	Cyndi Lauper
They Don't Know	Tracey Ullman
Head Over Heels	Go-Go's
Tonight	Kool & The Gang
The Longest Time	Billy Joel
Breakdance	Irene Cara
The Authority Song	John Cougar Mellencamp
Sister Christian	Night Ranger
Miss Me Blind	Culture Club
The Reflex	Duran Duran
Dancing In The Sheets	Shalamar
Don't Answer Me	The Alan Parsons Project
I'll Wait	Van Halen
No More Words	Berlin
A Fine Fine Day	Tony Carey
Borderline	Madonna
White Horse	Laid Back
The Heart Of Rock & Roll	Huey Lewis & The News
Self Control	Laura Branigan
Rock You Like A Hurricane	Scorpions
Automatic	The Pointer Sisters
Show Me	Pretenders
It's My Life	Talk Talk
You Can't Get What You Want	Joe Jackson
Run, Runaway	Slade
Jump (for My Love)	The Pointer Sisters
My Ever Changing Moods	The Style Council
Somebody's Watching Me	Rockwell
Love Will Show Us How	Christine McVie
Stay The Night	Chicago
Modern Day Delilah	Van Stephenson
Adult Education	Daryl Hall John Oates
It's A Miracle	Culture Club
Leave It	Yes
Catch Me I'm Falling	Real Life
Who's That Girl	Eurythmics
Give Me Tonight	Shannon
She's Strange	Cameo
Eyes Without A Face	Billy Idol
Whisper To A Scream (Birds Fly)	Icicle Works
Wouldn't It Be Good	Nik Kershaw
I Want To Break Free	Queen
Believe In Me	Dan Fogelberg
Dance Hall Days	Wang Chung
What Is Love	Howard Jones
Girls	Dwight Twilley
Music Time	Styx
Here Comes The Rain Again	Eurythmics
There's No Easy Way	James Ingram
Girls Just Want To Have Fun	Cyndi Lauper
Don't Waste Your Time	Yarbrough & Peoples
Sail Away	The Temptations
Jump	Van Halen
Eat It	"Weird Al" Yankovic
Original Sin	INXS
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
King Of Suede	"Weird Al" Yankovic
I Cry Just A Little Bit	Shakin' Stevens
Obscene Phone Caller	Rockwell
Love Me In A Special Way	Debarge
Runaway	Bon Jovi
I Can Dream About You	Dan Hartman
No Way Out	Jefferson Starship
Don't Look Any Further	Dennis Edwards
Heart Don't Lie	LaToya Jackson
Blue Light	David Gilmour
Baby Come Back	Billy Rankin
I Want A New Drug	Huey Lewis & The News
Relax	Frankie Goes To Hollywood
Olympia	Sergio Mendes
Eyes That See In The Dark	Kenny Rogers
Days Gone By	Poco
Darlin'	Frank Stallone
Hurt	Re-flex
Holding Out For A Hero	Bonnie Tyler
The Ghost In You	Psychedelic Furs
Terms Of Endearment	Michael Gore
Superstar/Until You Come Back To Me	Luther Vandross
Give It Up	KC
Little Lady	Duke Jupiter
If Ever You're In My Arms Again	Peabo Bryson
Come Back And Stay	Paul Young
We're Going All The Way	Jeffrey Osborne
Got A Hold On Me	Christine McVie
One In A Million	The Romantics
Illegal Alien	Genesis
Radio Ga Ga	Queen
Communication	Spandau Ballet
99 Luftballons	Nena
Thriller	Michael Jackson
The Kid's American	Matthew Wilder
