Funkytown	Lipps, Inc.
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Biggest Part Of Me	Ambrosia
The Rose	Bette Midler
Against The Wind	Bob Seger
Call Me	Blondie
It's Still Rock And Roll To Me	Billy Joel
Little Jeannie	Elton John
Cars	Gary Numan
Steal Away	Robbie Dupree
She's Out Of My Life	Michael Jackson
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Cupid/I've Loved You For A Long Time	The Spinners
Let's Get Serious	Jermaine Jackson
Hurt So Bad	Linda Ronstadt
Brass In Pocket (I'm Special)	Pretenders
Stomp!	The Brothers Johnson
Let Me Love You Tonight	Pure Prairie League
Sexy Eyes	Dr. Hook
Lost In Love	Air Supply
Wondering Where The Lions Are	Bruce Cockburn
Shining Star	The Manhattans
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
Ride Like The Wind	Christopher Cross
Breakdown Dead Ahead	Boz Scaggs
Tired Of Toein' The Line	Rocky Burnette
We Live For Love	Pat Benatar
Lady	The Whispers
One Fine Day	Carole King
Twilight Zone/Twilight Tone	The Manhattan Transfer
We Were Meant To Be Lovers	Photoglo
Theme From New York, New York	Frank Sinatra
Another Brick In The Wall (Part II)	Pink Floyd
Two Places At The Same Time	Ray Parker Jr. & Raydio
Answering Machine	Rupert Holmes
Magic	Olivia Newton-John
More Love	Kim Carnes
All Night Long	Joe Walsh
New Romance (It's A Mystery)	Spider
I'm Alive	Electric Light Orchestra
Angel Say No	Tommy Tutone
Coming Down From Love	Bobby Caldwell
Power	The Temptations
Atomic	Blondie
Clones (We're All)	Alice Cooper
Stand By Me	Mickey Gilley
Gimme Some Lovin'	Blues Brothers
Ashes By Now	Rodney Crowell
Misunderstanding	Genesis
Is This Love	Pat Travers Band
Somethin' 'Bout You Baby I Like	Glen Campbell & Rita Coolidge
A Lover's Holiday	Change
All Night Thing	The Invisible Man's Band
Walks Like A Lady	Journey
King Of The Hill	Rick Pinette & Oak
Back Together Again	Roberta Flack With Donny Hathaway
And The Cradle Will Rock...	Van Halen
In America	The Charlie Daniels Band
Everything Works If You Let It	Cheap Trick
I Can't Help It	Andy Gibb & Olivia Newton-John
Train In Vain (Stand By Me)	The Clash
Gee Whiz	Bernadette Peters
I Don't Want To Walk Without You	Barry Manilow
With You I'm Born Again	Billy Preston & Syreeta
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Love Stinks	The J. Geils Band
Take You Tonight	Ozark Mountain Daredevils
Empire Strikes Back (Medley)	Meco
Let My Love Open The Door	Pete Townshend
Slipstream	Allan Clarke
All Out Of Love	Air Supply
It's For You	Player
Shotgun Rider	Joe Sun
JoJo	Boz Scaggs
You May Be Right	Billy Joel
The Very Last Time	Utopia
Sailing	Christopher Cross
Into The Night	Benny Mardones
Time For Me To Fly	REO Speedwagon
The Seduction (Love Theme)	James Last Band
The Blue Side	Crystal Gayle
Happy Together (A Fantasy)	Captain & Tennille
Sweet Sensation	Stephanie Mills
Back Of My Hand (I've Got Your Number)	The Jags
I'm Happy Just To Dance With You	Anne Murray
Sisters Of The Moon	Fleetwood Mac
Landlord	Gladys Knight And The Pips
Fame	Irene Cara
On The Rebound	Russ Ballard
One More Time For Love	Billy Preston & Syreeta
I Can Survive	Triumph
Take A Little Rhythm	Ali Thomson
Only The Lonely (Have A Reason To Be Sad)	La Flavour
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2)	The Isley Brothers
Don't Push It Don't Force It	Leon Haywood
Pilot Of The Airwaves	Charlie Dore
Heart Hotels	Dan Fogelberg
Love And Loneliness	The Motors
Run Like Hell	Pink Floyd
Let Me Be The Clock	Smokey Robinson
