Hello	Adele
Hotline Bling	Drake
The Hills	The Weeknd
Sorry	Justin Bieber
What Do You Mean?	Justin Bieber
Stitches	Shawn Mendes
Focus	Ariana Grande
Wildest Dreams	Taylor Swift
679	Fetty Wap Featuring Remy Boyz
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Locked Away	R. City Featuring Adam Levine
Ex's & Oh's	Elle King
Here	Alessia Cara
Can't Feel My Face	The Weeknd
Watch Me	Silento
Jumpman	Drake & Future
Same Old Love	Selena Gomez
On My Mind	Ellie Goulding
Lean On	Major Lazer & DJ Snake Featuring MO
Renegades	X Ambassadors
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Hit The Quan	iLoveMemphis
Tennessee Whiskey	Chris Stapleton
Trap Queen	Fetty Wap
Good For You	Selena Gomez Featuring A$AP Rocky
Drag Me Down	One Direction
Antidote	Travis Scott
Die A Happy Man	Thomas Rhett
How Deep Is Your Love	Calvin Harris & Disciples
Where Ya At	Future Featuring Drake
Cheerleader	OMI
Confident	Demi Lovato
Photograph	Ed Sheeran
See You Again	Wiz Khalifa Featuring Charlie Puth
My Way	Fetty Wap Featuring Monty
White Iverson	Post Malone
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Shut Up And Dance	WALK THE MOON
Again	Fetty Wap
Fight Song	Rachel Platten
Thinking Out Loud	Ed Sheeran
Break Up In A Small Town	Sam Hunt
Strip It Down	Luke Bryan
Perfect	One Direction
Thriller	Michael Jackson
Where Are U Now	Skrillex & Diplo With Justin Bieber
I'm Comin' Over	Chris Young
Break Up With Him	Old Dominion
Smoke Break	Carrie Underwood
Want To Want Me	Jason Derulo
I'll Show You	Justin Bieber
Back To Back	Drake
Don't	Bryson Tiller
Back Up	DeJ Loaf Featuring Big Sean
Burning House	Cam
No Role Modelz	J. Cole
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Come Get Her	Rae Sremmurd
Lay It All On Me	Rudimental Featuring Ed Sheeran
Love Myself	Hailee Steinfeld
Let Me See Ya Girl	Cole Swindell
Nothin' Like You	Dan + Shay
Gonna	Blake Shelton
Say It	Tory Lanez
Anything Goes	Florida Georgia Line
Blase	Ty Dolla $ign Featuring Future & Rae Sremmurd
Liquor	Chris Brown
Roses	The Chainsmokers Featuring Rozes
The Fix	Nelly Featuring Jeremih
Big Rings	Drake & Future
Stressed Out	twenty one pilots
Cool For The Summer	Demi Lovato
Stay A Little Longer	Brothers Osborne
Right Hand	Drake
Save It For A Rainy Day	Kenny Chesney
Hide Away	Daya
Comfortable	K Camp
I Got The Boy	Jana Kramer
Gonna Know We Were Here	Jason Aldean
Diamonds Dancing	Drake & Future
RGF Island	Fetty Wap
Top Of The World	Tim McGraw
Me, Myself & I	G-Eazy x Bebe Rexha
Levels	Nick Jonas
Cake By The Ocean	DNCE
Exchange	Bryson Tiller
Hold My Hand	Jess Glynne
I Love This Life	LOCASH
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Dibs	Kelsea Ballerini
Ginza	J Balvin
New Americana	Halsey
Play No Games	Big Sean Featuring Chris Brown & Ty Dolla $ign
Scholarships	Drake & Future
Beautiful Drug	Zac Brown Band
Already Callin' You Mine	Parmalee
Jugg	Fetty Wap Featuring Monty
Emperor's New Clothes	Panic! At The Disco
Digital Dash	Drake & Future
We Went	Randy Houser
