Miss You Much	Janet Jackson
Cherish	Madonna
Girl I'm Gonna Miss You	Milli Vanilli
Heaven	Warrant
If I Could Turn Back Time	Cher
Mixed Emotions	The Rolling Stones
Love Song	The Cure
18 And Life	Skid Row
Bust A Move	Young M.C.
It's No Crime	Babyface
Don't Look Back	Fine Young Cannibals
It's Not Enough	Starship
Sowing The Seeds Of Love	Tears For Fears
Listen To Your Heart	Roxette
When I Looked At Him	Expose
Love In An Elevator	Aerosmith
Dr. Feelgood	Motley Crue
Partyman	Prince
Cover Girl	New Kids On The Block
Rock Wit'cha	Bobby Brown
One	Bee Gees
Don't Wanna Lose You	Gloria Estefan
(You're My One And Only) True Love	Seduction
Kisses On The Wind	Neneh Cherry
Healing Hands	Elton John
Runnin' Down A Dream	Tom Petty
Cold Hearted	Paula Abdul
Shower Me With Your Love	Surface
The Best	Tina Turner
What I Like About You	Michael Morales
Angel Eyes	The Jeff Healey Band
Call It Love	Poco
When I See You Smile	Bad English
Love Shack	The B-52s
I Feel The Earth Move	Martika
Hangin' Tough	New Kids On The Block
Right Here Waiting	Richard Marx
Didn't I (Blow Your Mind)	New Kids On The Block
(It's Just) The Way That You Love Me	Paula Abdul
Let Go	Sharon Bryant
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Glamour Boys	Living Colour
Don't Shut Me Out	Kevin Paige
Sunshine	Dino
Back To Life	Soul II Soul
Poison	Alice Cooper
My Heart Skips A Beat	The Cover Girls
Get On Your Feet	Gloria Estefan
What About Me	Moving Pictures
I Like It	Dino
Me So Horny	The 2 Live Crew
Angelia	Richard Marx
Don't Close Your Eyes	KIX
Sugar Daddy	Thompson Twins
Congratulations	Vesta
Talk To Myself	Christopher Williams
The Way To Your Heart	Soulsister
Don't Know Much	Linda Ronstadt (Featuring Aaron Neville)
Once Bitten Twice Shy	Great White
On Our Own (From "Ghostbusters II")	Bobby Brown
Leave A Light On	Belinda Carlisle
My Fantasy (From "Do The Right Thing")	Teddy Riley Featuring Guy
Soul Provider	Michael Bolton
Don't Make Me Over	Sybil
Blame It On The Rain	Milli Vanilli
Puss N' Boots/These Boots (Are Made For Walkin')	Kon Kan
Put Your Mouth On Me	Eddie Murphy
Secret Rendezvous	Karyn White
Don't Ask Me Why	Eurythmics
Talk It Over	Grayson Hugh
The End Of The Innocence	Don Henley
Living In Sin	Bon Jovi
I Love The Bass	Bardeux
We Could Be Together	Debbie Gibson
Love Cries	Stage Dolls
Licence To Chill	Billy Ocean
The Angel Song	Great White
Radar Love	White Lion
Stand Up	Underworld
Hold On	Donny Osmond
Friends	Jody Watley With Eric B. & Rakim
Love Song	Tesla
That's The Way	Katrina And The Waves
No Big Deal	Love And Rockets
Batdance (From "Batman")	Prince
If You Asked Me To (From "Licence To Kill")	Patti LaBelle
Girl I Am Searching For You	Stevie B
I Don't Want A Lover	Texas
I'm A Believer	Giant
Turned Away	Chuckii Booker
The Last Worthless Evening	Don Henley
Right Back Where We Started From	Sinitta
Touch The Fire	Icehouse
Sold Me Down The River	The Alarm
Hungry	Winger
I Want You	Shana
Edie (Ciao Baby)	The Cult
Need A Little Taste Of Love	The Doobie Brothers
Lay Down Your Arms	The Graces
Hey Ladies	Beastie Boys
