With A Little Luck	Wings
Too Much, Too Little, Too Late	Johnny Mathis/Deniece Williams
You're The One That I Want	John Travolta & Olivia Newton-John
Shadow Dancing	Andy Gibb
The Closer I Get To You	Roberta Flack With Donny Hathaway
Feels So Good	Chuck Mangione
If I Can't Have You	Yvonne Elliman
Imaginary Lover	Atlanta Rhythm Section
Count On Me	Jefferson Starship
On Broadway	George Benson
Disco Inferno	The Trammps
This Time I'm In It For Love	Player
Take A Chance On Me	ABBA
Baby Hold On	Eddie Money
Love Is Like Oxygen	Sweet
Night Fever	Bee Gees
Movin' Out (Anthony's Song)	Billy Joel
It's A Heartache	Bonnie Tyler
Baker Street	Gerry Rafferty
You Belong To Me	Carly Simon
Can't Smile Without You	Barry Manilow
Two Out Of Three Ain't Bad	Meat Loaf
Deacon Blues	Steely Dan
Werewolves Of London	Warren Zevon
Every Kinda People	Robert Palmer
Dance With Me	Peter Brown With Betty Wright
Because The Night	Patti Smith Group
Dust In The Wind	Kansas
Heartless	Heart
Jack And Jill	Raydio
Lay Down Sally	Eric Clapton
Tumbling Dice	Linda Ronstadt
Bluer Than Blue	Michael Johnson
Sweet Talkin' Woman	Electric Light Orchestra
You're The Love	Seals & Crofts
Two Doors Down	Dolly Parton
Cheeseburger In Paradise	Jimmy Buffett
Oh What A Night For Dancing	Barry White
I Was Only Joking	Rod Stewart
Stay	Rufus/Chaka Khan
Follow You Follow Me	Genesis
Almost Summer	Celebration featuring Mike Love
The Groove Line	Heatwave
Use Ta Be My Girl	The O'Jays
I Can't Stand The Rain	Eruption
Let's All Chant	The Michael Zager Band
Still The Same	Bob Seger & The Silver Bullet Band
Everybody Dance	Chic
Warm Ride	Rare Earth
Even Now	Barry Manilow
Running On Empty	Jackson Browne
Since You Been Gone	Head East
Ca Plane Pour Moi	Plastic Bertrand
Ego	Elton John
Chattanooga Choo Choo	Tuxedo Junction
Dance Across The Floor	Jimmy "Bo" Horne
Only The Good Die Young	Billy Joel
Thank God It's Friday	Love And Kisses
The Wanderer	Leif Garrett
You Got It	Diana Ross
You Keep Me Dancing	Samantha Sang
Weekend Lover	Odyssey
Roll With The Changes	REO Speedwagon
Wonderful Tonight	Eric Clapton
It's The Same Old Song	KC And The Sunshine Band
Our Love	Natalie Cole
Last Dance	Donna Summer
I Want You To Be Mine	Kayak
Grease	Frankie Valli
Do You Believe In Magic	Shaun Cassidy
Stayin' Alive	Bee Gees
Darlin'	Paul Davis Feat. Susan Collins
Take Me Back To Chicago	Chicago
It's Late	Queen
Stone Blue	Foghat
Miss You	The Rolling Stones
If Ever I See You Again	Roberta Flack
Hold On To The Night	Starz
Runaway	Jefferson Starship
I Want To Live	John Denver
Fantasy	Earth, Wind & Fire
Flash Light	Parliament
(I Will Be Your) Shadow In The Street	Allan Clarke
He's So Fine	Jane Olivor
Can We Still Be Friends	Todd Rundgren
God Knows/Baby, I'm Yours	Debby Boone
Magnet And Steel	Walter Egan
This Night Won't Last Forever	Bill LaBounty
King Tut	Steve Martin And The Toot Uncommons
Over The Rainbow	Gary Tanner
Wheel In The Sky	Journey
Goodbye Girl	David Gates
Georgia On My Mind	Willie Nelson
Stay Awhile	Continental Miniatures
I'm On My Way	Captain & Tennille
We'll Never Have To Say Goodbye Again	England Dan & John Ford Coley
Where Have You Been All My Life	Fotomaker
Runnin' With The Devil	Van Halen
I Go Crazy	Paul Davis
Mama Let Him Play	Doucette
