Vogue	Madonna
All I Wanna Do Is Make Love To You	Heart
Hold On	Wilson Phillips
Alright	Janet Jackson
Poison	Bell Biv DeVoe
It Must Have Been Love (From "Pretty Woman")	Roxette
Nothing Compares 2 U	Sinead O'Connor
Sending All My Love	Linear
U Can't Touch This	M.C. Hammer
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
The Humpty Dance	Digital Underground
Ready Or Not	After 7
Turtle Power	Partners In Kryme
Hold On	En Vogue
Do You Remember?	Phil Collins
Step By Step	New Kids On The Block
Your Baby Never Looked Good In Blue	Expose
This Old Heart Of Mine	Rod Stewart With Ronald Isley
I Wanna Be Rich	Calloway
Baby, It's Tonight	Jude Cole
I'll Be Your Shelter	Taylor Dayne
Children Of The Night	Richard Marx
I'll See You In My Dreams	Giant
Rub You The Right Way	Johnny Gill
Love Child	Sweet Sensation
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Enjoy The Silence	Depeche Mode
Sittin' In The Lap Of Luxury	Louie Louie
Cruising For Bruising	Basia
Deadbeat Club	The B-52s
Cradle Of Love (From "Ford Fairlane")	Billy Idol
What It Takes	Aerosmith
How Can We Be Lovers	Michael Bolton
Expression	Salt-N-Pepa
Up All Night	Slaughter
Nicety	Michel'le
Don't Wanna Fall In Love	Jane Child
Always And Forever	Whistle
Girls Nite Out	Tyler Collins
The Power	Snap!
House Of Pain	Faster Pussycat
Notice Me	Nikki
All Around The World	Lisa Stansfield
Dare To Fall In Love	Brent Bourgeois
Club At The End Of The Street	Elton John
Room At The Top	Adam Ant
Whip Appeal	Babyface
Getting Away With It	Electronic
Mentirosa	Mellow Man Ace
When I'm Back On My Feet Again	Michael Bolton
Love Is	Alannah Myles
The Ballad Of Jayne	L.A. Guns
This & That	Michael Penn
When I Dream Of You	Tommy Page
Bad Of The Heart	George LaMond
I'll Be Your Everything	Tommy Page
The Downeaster "Alexa"	Billy Joel
"B" Girls	Young And Restless
You Can't Deny It	Lisa Stansfield
Kiss This Thing Goodbye	Del Amitri
Without You	Motley Crue
King Of Wishful Thinking (From "Pretty Woman")	Go West
Here And Now	Luther Vandross
Coming Of Age	Damn Yankees
The Heart Of The Matter	Don Henley
That's The Way Of The World	D-Mob With Cathy Dennis
If U Were Mine	The U-Krew
Doubleback (From "Back To The Future Part III")	ZZ Top
Black Velvet	Alannah Myles
Just A Friend	Biz Markie
Time After Time	Timmy T.
Don't Go Away Mad (Just Go Away)	Motley Crue
Vision Of Love	Mariah Carey
Save Me	Fleetwood Mac
All That Glitters Isn't Gold	The Cover Girls
Get A Life	Soul II Soul
Got To Tell Me Something	Ana
When Something Is Wrong With My Baby	Linda Ronstadt (Featuring Aaron Neville)
Tomorrow (A Better You, Better Me)	Quincy Jones With Tevin Campbell
Pure	Lightning Seeds
Show Me	Howard Hewett
Jealous Again	The Black Crowes
Love Will Lead You Back	Taylor Dayne
Shake	Andrew Ridgeley
Counting The Days	Joey Kid
Get Up! (Before The Night Is Over)	Technotronic
Heartbeat	Seduction
Bounce Back	Alisha
The Blues	Tony Toni Tone
Welcome To The Real World	Jane Child
Make You Sweat	Keith Sweat
Pictures Of You	The Cure
Nick Of Time	Bonnie Raitt
Whole Wide World (From "True Love")	A'me Lorain
Heaven Is A 4 Letter Word	Bad English
Now You're Gone	Whitesnake
Try To Find Me	Gorky Park
Bang Bang	Danger Danger
The Secret Garden	Quincy Jones
No More Lies	Michel'le
