Magic	Olivia Newton-John
Sailing	Christopher Cross
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Emotional Rescue	The Rolling Stones
Upside Down	Diana Ross
It's Still Rock And Roll To Me	Billy Joel
Fame	Irene Cara
All Out Of Love	Air Supply
Let My Love Open The Door	Pete Townshend
More Love	Kim Carnes
Give Me The Night	George Benson
Shining Star	The Manhattans
Late In The Evening	Paul Simon
Misunderstanding	Genesis
Take A Little Rhythm	Ali Thomson
Into The Night	Benny Mardones
JoJo	Boz Scaggs
Why Not Me	Fred Knoblock
Lookin' For Love	Johnny Lee
You're The Only Woman (You & I)	Ambrosia
Old-Fashion Love	Commodores
Boulevard	Jackson Browne
Drivin' My Life Away	Eddie Rabbitt
Little Jeannie	Elton John
Make A Little Magic	The Dirt Band
You'll Accomp'ny Me	Bob Seger
All Over The World	Electric Light Orchestra
Hot Rod Hearts	Robbie Dupree
One In A Million You	Larry Graham
Tulsa Time/Cocaine	Eric Clapton And His Band
Someone That I Used To Love	Natalie Cole
Don't Ask Me Why	Billy Joel
Cupid/I've Loved You For A Long Time	The Spinners
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Stand By Me	Mickey Gilley
I'm Alright	Kenny Loggins
Tired Of Toein' The Line	Rocky Burnette
Empire Strikes Back (Medley)	Meco
Hey There Lonely Girl	Robert John
Jesse	Carly Simon
In America	The Charlie Daniels Band
How Does It Feel To Be Back	Daryl Hall John Oates
Xanadu	Olivia Newton-John And The Electric Light Orchestra
You're Supposed To Keep Your Love For Me	Jermaine Jackson
Love The World Away	Kenny Rogers
You Better Run	Pat Benatar
He's So Shy	The Pointer Sisters
No Night So Long	Dionne Warwick
Under The Gun	Poco
Another One Bites The Dust	Queen
The Rose	Bette Midler
First Time Love	Livingston Taylor
One Fine Day	Carole King
The Royal Mile (Sweet Darlin')	Gerry Rafferty
I Can't Let Go	Linda Ronstadt
How Do I Survive	Amy Holland
Never Knew Love Like This Before	Stephanie Mills
Fool For Your Loving	Whitesnake
Don't Misunderstand Me	Rossington Collins Band
First...Be A Woman	Lenore O'malley
Honey, Honey	David Hudson
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?	Elton John
Steal Away	Robbie Dupree
Rock It	Lipps, Inc.
Gimme Some Lovin'	Blues Brothers
Red Light	Linda Clifford
Free Me	Roger Daltrey
Darlin'	Yipes!!
Look What You've Done To Me	Boz Scaggs
All Night Long	Joe Walsh
Let Me Love You Tonight	Pure Prairie League
Late At Night	England Dan Seals
I Hear You Now	Jon & Vangelis
The Legend Of Wooley Swamp	The Charlie Daniels Band
Who'll Be The Fool Tonight	Larsen-Feiten Band
True Love Ways	Mickey Gilley
Treasure	The Brothers Johnson
Out Here On My Own	Irene Cara
I'm Almost Ready	Pure Prairie League
Games Without Frontiers	Peter Gabriel
Shiver And Shake	The Silencers
Let Me Be Your Angel	Stacy Lattisaw
My Prayer	Ray, Goodman & Brown
Girl, Don't Let It Get You Down	The O'Jays
Half Moon Silver	Hotel
Thunder And Lightning	Chicago
Good Morning Girl/stay Awhile	Journey
I Got You	Split Enz
You Can Call Me Blue	Michael Johnson
Switchin' To Glide/This Beat Goes On	The Kings
I'm Alive	Electric Light Orchestra
Let's Get Serious	Jermaine Jackson
Play The Game	Queen
Love That Got Away	Firefall
Funkytown	Lipps, Inc.
Years From Now	Dr. Hook
Over You	Roxy Music
Against The Wind	Bob Seger
Shandi	KISS
(Call Me) When The Spirit Moves You	Touch
