This Is America	Childish Gambino
Nice For What	Drake
God's Plan	Drake
Psycho	Post Malone Featuring Ty Dolla $ign
Meant To Be	Bebe Rexha & Florida Georgia Line
The Middle	Zedd, Maren Morris & Grey
No Tears Left To Cry	Ariana Grande
Look Alive	BlocBoy JB Featuring Drake
Never Be The Same	Camila Cabello
Perfect	Ed Sheeran
Boo'd Up	Ella Mai
Walk It Talk It	Migos Featuring Drake
Freaky Friday	Lil Dicky Featuring Chris Brown
Whatever It Takes	Imagine Dragons
Heaven	Kane Brown
Friends	Marshmello & Anne-Marie
Mine	Bazzi
Pray For Me	The Weeknd & Kendrick Lamar
Rockstar	Post Malone Featuring 21 Savage
In My Blood	Shawn Mendes
I Like It	Cardi B, Bad Bunny & J Balvin
Plug Walk	Rich The Kid
Be Careful	Cardi B
Havana	Camila Cabello Featuring Young Thug
Wait	Maroon 5
Better Now	Post Malone
Sad!	XXXTENTACION
New Rules	Dua Lipa
Chun-Li	Nicki Minaj
Finesse	Bruno Mars & Cardi B
Powerglide	Rae Sremmurd & Juicy J
Call Out My Name	The Weeknd
All The Stars	Kendrick Lamar & SZA
You Make It Easy	Jason Aldean
One Number Away	Luke Combs
Delicate	Taylor Swift
Ric Flair Drip	Offset & Metro Boomin
Te Bote	Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny
One Kiss	Calvin Harris & Dua Lipa
Japan	Famous Dex
X	Nicky Jam x J Balvin
Watch	Travis Scott Featuring Lil Uzi Vert & Kanye West
Dura	Daddy Yankee
Stir Fry	Migos
KOD	J. Cole
Shoota	Playboi Carti Featuring Lil Uzi Vert
Love Lies	Khalid & Normani
Tequila	Dan + Shay
Yes Indeed	Lil Baby & Drake
Back To You	Selena Gomez
Ball For Me	Post Malone Featuring Nicki Minaj
Overdose	YoungBoy Never Broke Again
Done For Me	Charlie Puth Featuring Kehlani
Paranoid	Post Malone
Rich & Sad	Post Malone
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Dame Tu Cosita	Pitbull x El Chombo x Karol G Featuring Cutty Ranks
Esskeetit	Lil Pump
IDGAF	Dua Lipa
Spoil My Night	Post Malone Featuring Swae Lee
I Like Me Better	Lauv
Up Down	Morgan Wallen Featuring Florida Georgia Line
ATM	J. Cole
Get Along	Kenny Chesney
Stay	Post Malone
OTW	Khalid, Ty Dolla $ign & 6LACK
No Excuses	Meghan Trainor
Kevin's Heart	J. Cole
Drip	Cardi B Featuring Migos
I Lived It	Blake Shelton
For The First Time	Darius Rucker
Sit Next To Me	Foster The People
New Freezer	Rich The Kid Featuring Kendrick Lamar
Lucid Dreams	Juice WRLD
Most People Are Good	Luke Bryan
Zombie	Bad Wolves
Me Niego	Reik Featuring Ozuna & Wisin
Woman, Amen	Dierks Bentley
Gucci Flip Flops	Bhad Bhabie Featuring Lil Yachty
Outside Today	YoungBoy Never Broke Again
Everyday	Logic & Marshmello
Everything's Gonna Be Alright	David Lee Murphy & Kenny Chesney
Singles You Up	Jordan Davis
Alone	Halsey Featuring Big Sean & Stefflon Don
Sativa	Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
Mercy	Brett Young
Red Roses	Lil Skies Featuring Landon Cube
Moonlight	XXXTENTACION
Over Now	Post Malone
Zack And Codeine	Post Malone
Lust	Lil Skies
All Girls Are The Same	Juice WRLD
Same Bitches	Post Malone Featuring G-Eazy & YG
When We	Tank
Cry Pretty	Carrie Underwood
El Farsante	Ozuna & Romeo Santos
Takin' Shots	Post Malone
92 Explorer	Post Malone
Beautiful Crazy	Luke Combs
Say Something	Justin Timberlake Featuring Chris Stapleton
