Brother Louie	Stories
Let's Get It On	Marvin Gaye
Delta Dawn	Helen Reddy
Touch Me In The Morning	Diana Ross
Live And Let Die	Wings
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
The Morning After	Maureen McGovern
Get Down	Gilbert O'Sullivan
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Feelin' Stronger Every Day	Chicago
We're An American Band	Grand Funk
If You Want Me To Stay	Sly & The Family Stone
Bad, Bad Leroy Brown	Jim Croce
Here I Am Come & Take Me	Al Green
Gypsy Man	War
Saturday Night's Alright For Fighting	Elton John
Are You Man Enough	Four Tops
Uneasy Rider	Charlie Daniels
I Believe In You (You Believe In Me)	Johnnie Taylor
Angel	Aretha Franklin
That Lady (Part 1)	The Isley Brothers
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
A Million To One/Young Love	Donny Osmond
How Can I Tell Her	Lobo
My Maria	B.W. Stevenson
Diamond Girl	Seals & Crofts
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
You Light Up My Life/Believe In Humanity	Carole King
I Was Checkin' Out She Was Checkin' In	Don Covay
Higher Ground	Stevie Wonder
Why Me	Kris Kristofferson
Nobody Wants You When You're Down And Out	Bobby Womack
Half-Breed	Cher
The Hurt	Cat Stevens
Yesterday Once More	Carpenters
Stoned Out Of My Mind	The Chi-lites
I've Got So Much To Give	Barry White
There It Is	Tyrone Davis
Future Shock	Curtis Mayfield
Smoke On The Water	Deep Purple
Baby I've Been Missing You	The Independents
Ghetto Child	The Spinners
So Very Hard To Go	Tower Of Power
Shambala	Three Dog Night
Free Ride	Edgar Winter Group
Behind Closed Doors	Charlie Rich
Hey Girl (i Like Your Style)	The Temptations
Sweet Charlie Babe	Jackie Moore
Clouds	David Gates
To Know You Is To Love You	B.B. King
You've Never Been This Far Before	Conway Twitty
China Grove	The Doobie Brothers
Sexy, Sexy, Sexy	James Brown
Sweet Harmony	Smokey Robinson
Yes We Can Can	The Pointer Sisters
Evil	Earth, Wind & Fire
Billion Dollar Babies	Alice Cooper
Ramblin Man	The Allman Brothers Band
Everyone's Agreed That Everything Will Turn Out Fine	Stealers Wheel
Keep On Truckin' (Part 1)	Eddie Kendricks
Show Biz Kids	Steely Dan
Ecstasy	Ohio Players
Don't Let It End ('til You Let It Begin)	The Miracles
Rocky Mountain Way	Joe Walsh
Bongo Rock	The Incredible Bongo Band
Love, Love, Love	Donny Hathaway
Just Don't Want To Be Lonely	Ronnie Dyson
Freedom For The Stallion	The Hues Corporation
Jimmy Loves Mary-Anne	Looking Glass
Twisting The Night Away	Rod Stewart
Midnight Train To Georgia	Gladys Knight And The Pips
In The Midnight Hour	Cross Country
All I Need Is Time	Gladys Knight And The Pips
Loving Arms	Dobie Gray
Muskrat Love	America
Get It Together	Jackson 5
Send A Little Love My Way	Anne Murray
The Last Thing On My Mind	Neil Diamond
Top Of The World	Lynn Anderson
Knockin' On Heaven's Door	Bob Dylan
Slick	Willie Hutch
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
Tonight	Raspberries
Rhapsody In Blue	Deodato
You're The Best Thing That Ever Happened To Me	Ray Price
The Peacemaker	Albert Hammond
Ashes To Ashes	The 5th Dimension
Parrty - Part I	Maceo And The Macks
Stay Away From Me	The Sylvers
Summer (The First Time)	Bobby Goldsboro
Blood Red And Goin' Down	Tanya Tucker
Everybody's Had The Blues	Merle Haggard And The Strangers
He	Today's People
They're Coming To Take Me Away, Ha-Haaa!	Napoleon XIV
Make Me Twice The Man	New York City
As Time Goes By	Nilsson
Kid Stuff	Barbara Fairchild
Hang Loose	Mandrill
I Can't Stand The Rain	Ann Peebles
Until It's Time For You To Go	The New Birth
