Lonely Boy	Paul Anka
The Battle Of New Orleans	Johnny Horton
Tiger	Fabian
Waterloo	Stonewall Jackson
Personality	Lloyd Price and His Orchestra
My Heart Is An Open Book	Carl Dobkins, Jr.
Tallahassee Lassie	Freddy Cannon
Lipstick On Your Collar	Connie Francis
A Big Hunk O' Love	Elvis Presley With The Jordanaires
Dream Lover	Bobby Darin
Bobby Sox To Stockings	Frankie Avalon
Forty Miles Of Bad Road	Duane Eddy And The Rebels
I Only Have Eyes For You	The Flamingos
A Boy Without A Girl	Frankie Avalon
Frankie	Connie Francis
There Goes My Baby	The Drifters
Twixt Twelve And Twenty	Pat Boone
Sweeter Than You	Ricky Nelson
M.T.A.	The Kingston Trio
You're So Fine	The Falcons
Hushabye	The Mystics
What A Diff'rence A Day Makes	Dinah Washington
Just A Little Too Much	Ricky Nelson
Lavender-Blue	Sammy Turner
Ragtime Cowboy Joe	David Seville And The Chipmunks
Bongo Rock	Preston Epps
My Wish Came True	Elvis Presley With The Jordanaires
I'll Be Satisfied	Jackie Wilson
The Wonder Of You	Ray Peterson
This I Swear	The Skyliners
Robbin' The Cradle	Tony Bellus
Just Keep It Up	Dee Clark
What'd I Say (Part I & II)	Ray Charles and his Orchestra
A Teenager In Love	Dion & The Belmonts
Here Comes Summer	Jerry Keller
Along Came Jones	The Coasters
Quiet Village	The Exotic Sounds of Martin Denny
Sea Of Love	Phil Phillips With The Twilights
Only Sixteen	Sam Cooke
Small World	Johnny Mathis
Remember When	The Platters
Little Dipper	The Mickey Mozart Quintet
Since You've Been Gone	Clyde McPhatter
Kansas City	Wilbert Harrison
There Is Something On Your Mind	Big Jay McNeely And Band
Like Young	Andre Previn With David Rose
The Quiet Three	Duane Eddy His Twangy Guitar And The Rebels
Ciao, Ciao Bambina	Jacky Noguez And His Musette Orchestra
Mona Lisa	Carl Mann
It Was I	Skip And Flip
High Hopes	Frank Sinatra "and a bunch of kids"
Till There Was You	Anita Bryant
The Way I Walk	Jack Scott
Ten Thousand Drums	Carl Smith
What Is Love?	The Playmates
So Fine	The Fiestas
Lonely Guitar	Annette
Back In The U.S.A.	Chuck Berry
Velvet Waters	The Megatrons
Thank You Pretty Baby	Brook Benton
I Know	Perry Como
The Whistling Organ	Dave "Baby" Cortez
Wonderful You	Jimmie Rodgers
With My Eyes Wide Open I'm Dreaming	Patti Page
Ring-A-Ling-A-Lario	Jimmie Rodgers
Tall Cool One	The Wailers
Cap And Gown	Marty Robbins
Crossfire	Johnny And The Hurricanes
Bei Mir Bist Du Schön	Louis Prima And Keely Smith
Forty Days	Ronnie Hawkins
Danny Boy	Sil Austin
Only You	Franck Pourcel's French Fiddles
I Love An Angel	Little Bill and The Bluenotes
Kissin' Time	Bobby Rydell
Crackin Up	Bo Diddley
To A Soldier Boy	The Tassels
I Still Get Jealous	Joni James
Rockin' In The Jungle	The Eternals
Sugaree	Rusty York
Tennessee Stud	Eddy Arnold
See You In September	The Tempos
With All Of My Heart	Brook Benton
I'm Ready	Fats Domino
Dedicated To The One I Love	The Shirelles
Katy Too	Johnny Cash And The Tennessee Two
Oh, What A Fool	The Impalas
I'm Coming Home	Marv Johnson
Taboo	Arthur Lyman
Mona Lisa	Conway Twitty
Cry	The Knightsbridge Strings
On An Evening In Roma	Dean Martin
Little Girl	Ritchie Valens
Martinique	The Exotic Sounds of Martin Denny
Bells, Bells, Bells (The Bell Song)	Billy & Lillie
Linda Lu	Ray Sharpe
Beach Time	Roger Smith
A Girl Like You	Gary Stites
Makin' Love	Floyd Robinson
Broken-Hearted Melody	Sarah Vaughan
Summer's Love	Richard Barrett With The Chantels
