Work	Rihanna Featuring Drake
7 Years	Lukas Graham
No	Meghan Trainor
Pillowtalk	Zayn
Panda	Desiigner
Love Yourself	Justin Bieber
My House	Flo Rida
I Took A Pill In Ibiza	Mike Posner
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Me, Myself & I	G-Eazy x Bebe Rexha
Stressed Out	twenty one pilots
Cake By The Ocean	DNCE
Dangerous Woman	Ariana Grande
Sorry	Justin Bieber
Never Forget You	Zara Larsson & MNEK
Pop Style	Drake Featuring The Throne
2 Phones	Kevin Gates
Hands To Myself	Selena Gomez
Oui	Jeremih
One Call Away	Charlie Puth
One Dance	Drake Featuring WizKid & Kyla
Don't Let Me Down	The Chainsmokers Featuring Daya
Jumpman	Drake & Future
Middle	DJ Snake Featuring Bipolar Sunshine
Hello	Adele
Roses	The Chainsmokers Featuring Rozes
Stitches	Shawn Mendes
Don't	Bryson Tiller
Low Life	Future Featuring The Weeknd
Humble And Kind	Tim McGraw
Exchange	Bryson Tiller
Down In The DM	Yo Gotti Featuring Nicki Minaj
Close	Nick Jonas Featuring Tove Lo
Famous	Kanye West
You Should Be Here	Cole Swindell
Die A Happy Man	Thomas Rhett
Father Stretch My Hands Pt. 1	Kanye West
Let It Go	James Bay
Somewhere On A Beach	Dierks Bentley
Came Here To Forget	Blake Shelton
Think Of You	Chris Young Duet With Cassadee Pope
The Hills	The Weeknd
Lights Come On	Jason Aldean
Back To Sleep	Chris Brown
Summer Sixteen	Drake
Youth	Troye Sivan
Needed Me	Rihanna
Drunk On Your Love	Brett Eldredge
The Sound Of Silence	Disturbed
Hotline Bling	Drake
Lost Boy	Ruth B
Snapback	Old Dominion
Confession	Florida Georgia Line
Pt. 2	Kanye West
Cheap Thrills	Sia Featuring Sean Paul
Cut It	O.T. Genasis Featuring Young Dolph
Company	Justin Bieber
My Church	Maren Morris
I Like The Sound Of That	Rascal Flatts
Wild Things	Alessia Cara
Really Really	Kevin Gates
New Romantics	Taylor Swift
T-Shirt	Thomas Rhett
Promise	Kid Ink Featuring Fetty Wap
Team	Iggy Azalea
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
Ultralight Beam	Kanye West
Nobody To Blame	Chris Stapleton
That Don't Sound Like You	Lee Brice
When We Were Young	Adele
Waves	Kanye West
Piece By Piece	Kelly Clarkson
Might Not	Belly Featuring The Weeknd
Wasted Time	Keith Urban
Try Everything	Shakira
Best Friend	Young Thug
Acquainted	The Weeknd
Little Bit Of You	Chase Bryant
Mind Reader	Dustin Lynch
Kiss It Better	Rihanna
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Sugar	Robin Schulz Featuring Francesco Yates
Might Be	DJ Luke Nasty
FML	Kanye West
Jimmy Choo	Fetty Wap
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Ride	twenty one pilots
Body	Dreezy Featuring Jeremih
Head Over Boots	Jon Pardi
Tennessee Whiskey	Chris Stapleton
Saved	Ty Dolla $ign Featuring E-40
Real Friends	Kanye West
Noise	Kenny Chesney
Beautiful Drug	Zac Brown Band
Heartbeat	Carrie Underwood
Victorious	Panic! At The Disco
Come And See Me	PARTYNEXTDOOR Featuring Drake
Never Be Like You	Flume Featuring Kai
Feedback	Kanye West
Record Year	Eric Church
